,Hispanic,White,Asian,Black,American Indian/Alaska Native,Native Hawaiian/Pacific Islander,Other,date,Hispanic_discrepancy,White_discrepancy,Asian_discrepancy,Black_discrepancy,American Indian/Alaska Native_discrepancy,Native Hawaiian/Pacific Islander_discrepancy,Other_discrepancy
0,1116,774,460,307,3,9,31,2020-06-14,0.850480109739369,0.5470737913486006,1.4687100893997445,1.2775697045359968,0.15873015873015872,1.6666666666666667,0.3189300411522634
1,1128,779,461,309,3,9,31,2020-06-15,0.8533042846768337,0.5465592725639874,1.461080121703854,1.2764375413086584,0.15756302521008403,1.6544117647058822,0.3165849673202614
2,1144,783,464,311,3,9,34,2020-06-16,0.8565900527731355,0.5437681256041869,1.455604075691412,1.271609178483228,0.15595757953836556,1.6375545851528384,0.34368429564936115
3,1158,795,469,313,3,9,32,2020-06-17,0.8574005215482965,0.5459429911907463,1.4548770954573091,1.2655105910702662,0.15421785842800598,1.6192875134940625,0.3198592619247531
4,1169,805,471,316,3,9,34,2020-06-18,0.8569112198926552,0.5472958824313263,1.4465068854956205,1.2648955460466011,0.1526795256756069,1.6031350195938723,0.33646043621105964
5,1188,818,476,319,3,9,31,2020-06-19,0.8595092983278637,0.5488989811146542,1.4428439788544545,1.260291723952654,0.1506931886678722,1.5822784810126582,0.30278168463822475
6,1216,831,480,321,3,9,32,2020-06-20,0.8651651497817165,0.5483671724050552,1.4308198597796535,1.247144389015805,0.14819205690574985,1.5560165975103732,0.3073613032119257
7,1223,832,480,321,3,9,32,2020-06-21,0.8677451397757912,0.5475125032903395,1.426872770511296,1.2437039907012786,0.1477832512315271,1.5517241379310345,0.3065134099616858
8,1231,835,484,324,3,9,32,2020-06-22,0.8680335197736767,0.5460971385817955,1.429888208740044,1.247583769089187,0.14687163419171642,1.5421521590130225,0.30462264869393046
9,1252,831,490,329,5,9,35,2020-06-23,0.8729690570121309,0.5374035454406709,1.43142593393239,1.2526700147350547,0.24204870019847993,1.5249068112504236,0.3294551752701533
10,1264,836,497,337,5,10,33,2020-06-24,0.8721740594458384,0.5350167160725164,1.4367816091954022,1.2697910308291698,0.2395324326913864,1.676727028839705,0.30739995528727926
11,1285,853,498,340,5,10,30,2020-06-25,0.8752177827906984,0.5388489226811809,1.4210868746361673,1.264556345283391,0.23644015699626425,1.6550810989738498,0.275846849828975
12,1295,853,502,344,6,10,31,2020-06-26,0.8762279031561797,0.5353050297335901,1.4230799759607207,1.2710189211857426,0.2818621693991638,1.644195988161789,0.2831670868500859
13,1305,856,508,342,6,10,28,2020-06-27,0.8789476874583259,0.5347259529491136,1.4334894745753146,1.2578385038342008,0.28057049333645073,1.6366612111292962,0.2545917439534461
14,1326,843,517,351,9,9,21,2020-06-28,0.8869944934097513,0.5230099564220411,1.4489260571274831,1.282126210896977,0.4179825376184284,1.4629388816644995,0.18964022540095365
15,1335,848,520,353,9,9,19,2020-06-29,0.8881065568208579,0.5232203720294287,1.4493238346878936,1.282344692800343,0.41568518775114316,1.454898157129001,0.1706362036138952
16,1355,857,522,355,9,9,23,2020-06-30,0.8907558605819167,0.5225227422383728,1.437699680511182,1.274365509566716,0.41077133728890913,1.4376996805111821,0.20411785587504438
17,1471,901,537,369,9,11,29,2020-07-06,0.9097532224807381,0.5168216558025133,1.3914368334317961,1.2461879818846822,0.3864485379363648,1.6531409678388937,0.2421267074107471
18,1471,901,537,369,9,11,29,2020-07-07,0.9097532224807381,0.5168216558025133,1.3914368334317961,1.2461879818846822,0.3864485379363648,1.6531409678388937,0.2421267074107471
19,1516,913,544,372,9,11,24,2020-07-08,0.9204312669772818,0.5141240519957925,1.383787303751488,1.2333358751545813,0.3793786620579185,1.622897609914429,0.1967148618078096
20,1551,916,544,375,9,12,27,2020-07-09,0.9293413001430861,0.5090540486468943,1.3656538067599864,1.226989850339958,0.37440718861802147,1.7472335468841003,0.21840419336051253
21,1589,920,547,380,9,13,24,2020-07-10,0.9389854466119704,0.5042289462491943,1.3542553823605141,1.2262099142298433,0.3692459177812423,1.8667432510051694,0.1914608462569405
22,1615,928,550,386,9,13,28,2020-07-11,0.9416393503796294,0.5018397184506131,1.3435475518120792,1.2289823325829963,0.36432821924462616,1.8418815528478323,0.22039608324674917
23,1622,934,550,387,9,14,27,2020-07-12,0.9419837876575732,0.5030885543583412,1.3382385860414416,1.227297377008629,0.362888593201887,1.9757267852102736,0.2116850127011008
24,1627,937,551,387,9,14,28,2020-07-13,0.942228152410471,0.5032839681765543,1.3368983957219251,1.223843120388847,0.36186723493225037,1.9701660568533632,0.21890733965037373
25,1662,957,558,391,9,14,28,2020-07-14,0.944944207355555,0.5046520800946658,1.329191718039847,1.2139426435386274,0.3552678324714799,1.9342359767891681,0.21491510853212983
26,1685,963,563,393,9,15,30,2020-07-15,0.9478070501094619,0.5024019298911931,1.3268037932919816,1.2071433398246725,0.35148012184644223,2.0503007107709132,0.22781119008565703
27,1719,962,569,397,9,16,29,2020-07-16,0.9556976592912826,0.49604913877206697,1.3253640674934082,1.2052618636323618,0.34739645655614315,2.1615779519048903,0.21765889099042302
28,1758,971,577,400,9,17,28,2020-07-17,0.9620436038875755,0.4928333604027936,1.3229090242112986,1.1953143676786995,0.34194528875379937,2.2606382978723403,0.20685579196217496
29,1782,980,578,409,9,17,26,2020-07-18,0.9646584232219592,0.4920360451548508,1.31090729299912,1.2090254190943248,0.33825684970120645,2.236253617469087,0.190008477301295
30,1787,985,578,410,9,17,26,2020-07-19,0.9645736444150809,0.49311935791353945,1.3071245070014834,1.2084841482250022,0.3372807675011243,2.2298006295907657,0.18946018421359453
31,1790,990,578,410,9,17,26,2020-07-20,0.9641695214702778,0.4945845489788578,1.3043870734789673,1.2059532913700808,0.3365744203440538,2.225130890052356,0.18906340895869692
32,1820,997,582,413,10,17,28,2020-07-21,0.9684137489211765,0.49202786545776844,1.2974505764960806,1.2000127846398365,0.3694262809856293,2.1980863718644947,0.2011320863143982
33,1855,1008,591,419,10,16,28,2020-07-22,0.9719563096469415,0.4898559007225375,1.2973841574247253,1.1988452173514963,0.3637818763869184,2.037178507766743,0.19805902158843336
34,1882,1016,600,424,10,16,28,2020-07-23,0.9739507000852854,0.48765877709002103,1.3009089016859778,1.1982004385865757,0.3592986490370796,2.012072434607646,0.19561815336463226
