,White,Hispanic,Asian,Black,date,Native Hawaiian/Pacific Islander,White_discrepancy,Hispanic_discrepancy,Asian_discrepancy,Black_discrepancy,Native Hawaiian/Pacific Islander_discrepancy
0,42,5,6,7,2020-06-14,,1.115,0.352,0.588,1.073,
1,42,5,6,7,2020-06-15,,1.115,0.352,0.588,1.073,
2,42,5,6,7,2020-06-16,,1.115,0.352,0.588,1.073,
3,46,5,6,7,2020-06-17,,1.145,0.331,0.553,1.0,
4,46,5,6,7,2020-06-18,,1.145,0.331,0.553,1.0,
5,46,5,6,7,2020-06-19,,1.145,0.331,0.553,1.0,
6,46,5,6,7,2020-06-20,,1.145,0.331,0.553,1.0,
7,45,5,6,7,2020-06-21,,1.137,0.335,0.559,1.018,
8,45,5,6,7,2020-06-22,,1.137,0.335,0.559,1.018,
9,45,5,6,7,2020-06-23,,1.137,0.335,0.559,1.018,
10,45,5,6,7,2020-06-24,,1.137,0.335,0.559,1.018,
11,45,5,6,7,2020-06-25,,1.137,0.335,0.559,1.018,
12,45,5,6,7,2020-06-26,,1.137,0.335,0.559,1.018,
13,45,5,6,7,2020-06-27,,1.137,0.335,0.559,1.018,
14,45,5,6,7,2020-06-28,,1.137,0.335,0.559,1.018,
15,46,7,6,7,2020-07-02,,1.11,0.449,0.535,0.972,
16,46,7,6,7,2020-07-03,,1.11,0.449,0.535,0.972,
17,46,7,6,7,2020-07-05,,1.11,0.449,0.535,0.972,
18,47,7,7,7,2020-07-06,,1.1,0.436,0.606,0.945,
19,47,7,7,7,2020-07-07,,1.1,0.436,0.606,0.945,
20,47,8,7,7,2020-07-08,5.0,1.011,0.458,0.559,0.872,5.231
21,47,8,7,7,2020-07-09,5.0,1.011,0.458,0.559,0.872,5.231
22,48,9,8,7,2020-07-10,5.0,0.992,0.496,0.612,0.835,5.0
23,49,9,8,7,2020-07-11,5.0,1.0,0.487,0.606,0.826,4.923
24,49,9,8,7,2020-07-12,5.0,1.0,0.487,0.606,0.826,4.923
25,49,9,8,7,2020-07-13,5.0,1.0,0.487,0.606,0.826,4.923
26,51,11,10,7,2020-07-14,6.0,0.955,0.547,0.694,0.752,5.462
27,51,12,10,7,2020-07-15,6.0,0.944,0.593,0.682,0.743,5.385
28,51,14,10,7,2020-07-16,6.0,0.924,0.674,0.671,0.734,5.231
29,51,14,10,7,2020-07-17,6.0,0.924,0.674,0.671,0.734,5.231
30,51,14,10,7,2020-07-18,6.0,0.924,0.674,0.671,0.734,5.231
31,51,14,10,7,2020-07-19,6.0,0.924,0.674,0.671,0.734,5.231
32,50,14,11,7,2020-07-20,5.0,0.916,0.682,0.741,0.734,4.385
33,50,14,11,7,2020-07-21,5.0,0.916,0.682,0.741,0.734,4.385
34,50,14,11,7,2020-07-22,5.0,0.916,0.682,0.741,0.734,4.385
35,52,15,11,7,2020-07-23,5.0,0.92,0.708,0.718,0.716,4.308
36,54,16,12,8,2020-07-24,5.0,0.904,0.712,0.741,0.771,4.077
37,54,18,14,8,2020-07-25,5.0,0.868,0.771,0.829,0.743,3.923
