Hispanic,White,Asian,Black,date,Native American,Pacific Islander,Multi-Race,Hispanic_discrepancy,White_discrepancy,Asian_discrepancy,Black_discrepancy,Native American_discrepancy,Pacific Islander_discrepancy,Multi-Race_discrepancy,Hispanic_rates,White_rates,Asian_rates,Black_rates,Native American_rates,Pacific Islander_rates,Multi-Race_rates,Hispanic_covidperc,White_covidperc,Asian_covidperc,Black_covidperc,Native American_covidperc,Pacific Islander_covidperc,Multi-Race_covidperc,White_demperc,Black_demperc,Native American_demperc,Asian_demperc,Pacific Islander_demperc,Hispanic_demperc,Multi-Race_demperc
31,32,19,25,2020-06-14,,,,1.30044843049327,0.977124183006536,0.551083591331269,2.12727272727273,,,,0.083175396893609,0.063821465831483,0.035195661304127,0.135983236856853,,,,0.29,0.299,0.178,0.234,,,,0.306,0.11,0.011,0.323,0.009,0.223,0.054
31,32,19,25,2020-06-15,,,,1.30044843049327,0.977124183006536,0.551083591331269,2.12727272727273,,,,0.083175396893609,0.063821465831483,0.035195661304127,0.135983236856853,,,,0.29,0.299,0.178,0.234,,,,0.306,0.11,0.011,0.323,0.009,0.223,0.054
32,31,19,25,2020-06-16,,,,1.34080717488789,0.947712418300653,0.551083591331269,2.12727272727273,,,,0.085858474212757,0.061827045024249,0.035195661304127,0.135983236856853,,,,0.299,0.29,0.178,0.234,,,,0.306,0.11,0.011,0.323,0.009,0.223,0.054
32,32,21,26,2020-06-17,,,,1.2914798206278,0.941176470588235,0.585139318885449,2.12727272727273,,,,0.085858474212757,0.063821465831483,0.038900467757193,0.141422566331127,,,,0.288,0.288,0.189,0.234,,,,0.306,0.11,0.011,0.323,0.009,0.223,0.054
33,32,21,26,2020-06-18,,,,1.32286995515695,0.934640522875817,0.582043343653251,2.10909090909091,,,,0.088541551531906,0.063821465831483,0.038900467757193,0.141422566331127,,,,0.295,0.286,0.188,0.232,,,,0.306,0.11,0.011,0.323,0.009,0.223,0.054
33,32,21,26,2020-06-19,,,,1.32286995515695,0.934640522875817,0.582043343653251,2.10909090909091,,,,0.088541551531906,0.063821465831483,0.038900467757193,0.141422566331127,,,,0.295,0.286,0.188,0.232,,,,0.306,0.11,0.011,0.323,0.009,0.223,0.054
33,32,21,26,2020-06-20,,,,1.32286995515695,0.934640522875817,0.582043343653251,2.10909090909091,,,,0.088541551531906,0.063821465831483,0.038900467757193,0.141422566331127,,,,0.295,0.286,0.188,0.232,,,,0.306,0.11,0.011,0.323,0.009,0.223,0.054
33,32,21,26,2020-06-21,,,,1.32286995515695,0.934640522875817,0.582043343653251,2.10909090909091,,,,0.088541551531906,0.063821465831483,0.038900467757193,0.141422566331127,,,,0.295,0.286,0.188,0.232,,,,0.306,0.11,0.011,0.323,0.009,0.223,0.054
34,32,21,26,2020-06-22,,,,1.34977578475336,0.924836601307189,0.575851393188855,2.09090909090909,,,,0.091224628851055,0.063821465831483,0.038900467757193,0.141422566331127,,,,0.301,0.283,0.186,0.23,,,,0.306,0.11,0.011,0.323,0.009,0.223,0.054
34,32,21,26,2020-06-23,,,,1.34977578475336,0.924836601307189,0.575851393188855,2.09090909090909,,,,0.091224628851055,0.063821465831483,0.038900467757193,0.141422566331127,,,,0.301,0.283,0.186,0.23,,,,0.306,0.11,0.011,0.323,0.009,0.223,0.054
35,32,22,26,2020-06-24,,,,1.36322869955157,0.908496732026144,0.591331269349845,2.05454545454545,,,,0.093907706170203,0.063821465831483,0.040752870983726,0.141422566331127,,,,0.304,0.278,0.191,0.226,,,,0.306,0.11,0.011,0.323,0.009,0.223,0.054
38,32,24,27,2020-06-25,,,,1.40807174887892,0.862745098039216,0.613003095975232,2.02727272727273,,,,0.101956938127649,0.063821465831483,0.044457677436792,0.146861895805401,,,,0.314,0.264,0.198,0.223,,,,0.306,0.11,0.011,0.323,0.009,0.223,0.054
38,32,25,27,2020-06-26,,,,1.39461883408072,0.856209150326797,0.634674922600619,2.00909090909091,,,,0.101956938127649,0.063821465831483,0.046310080663325,0.146861895805401,,,,0.311,0.262,0.205,0.221,,,,0.306,0.11,0.011,0.323,0.009,0.223,0.054
