Hispanic,White,Asian,Black,Multi-Race,American Indian/Alaska Native,Native Hawaiian/Pacific Islander,date,Hispanic_discrepancy,White_discrepancy,Asian_discrepancy,Black_discrepancy,Multi-Race_discrepancy,American Indian/Alaska Native_discrepancy,Native Hawaiian/Pacific Islander_discrepancy,Hispanic_rates,White_rates,Asian_rates,Black_rates,Multi-Race_rates,American Indian/Alaska Native_rates,Native Hawaiian/Pacific Islander_rates,Hispanic_covidperc,White_covidperc,Asian_covidperc,Black_covidperc,Multi-Race_covidperc,American Indian/Alaska Native_covidperc,Native Hawaiian/Pacific Islander_covidperc,Hispanic_demperc,White_demperc,Asian_demperc,Black_demperc,Multi-Race_demperc,American Indian/Alaska Native_demperc,Native Hawaiian/Pacific Islander_demperc,Other
59702,19045,8350,4966,789,204,743,2020-06-13,1.6154534566650594,0.5547555850881466,0.613931991775517,0.9625999114159969,0.2731040108837313,0.6213895061324138,2.200331441581348,3.8349631399307973,1.3205554694247605,1.3634000734895497,1.9335788826662574,0.4992126107407321,0.32268495751302073,3.760861544034108,0.6364886619260334,0.20304054414226164,0.08902013880744997,0.05294299512787983,0.008411603535218925,0.0021748632714634485,0.007921193189692853,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
60377,19240,8397,4999,789,206,747,2020-06-14,1.61723515119275,0.5547813414693574,0.6111587233136637,0.9592201898676491,0.27034861608235045,0.6211507873689288,2.189858054983906,3.8783218233828305,1.3340765151867888,1.3710743014481137,1.9464278764495813,0.4992126107407321,0.32584853552785426,3.781108443329043,0.6371906495699435,0.20304997097778482,0.08861801488048124,0.0527571104427207,0.008326737375336395,0.002174027755791251,0.007883488997942062,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
61492,19424,8448,5043,794,208,753,2020-06-15,1.6230014557709667,0.5518919973728305,0.6058741391143825,0.9535045973555988,0.26808116282128885,0.6180047360555253,2.1751488807082495,3.94994394493693,1.3468348352904462,1.3794016551903852,1.9635598681606798,0.5023761887555657,0.3290121135426878,3.811478792271445,0.6394625735737609,0.20199247103845594,0.08785175017158545,0.052442752854557934,0.008256899814895698,0.0021630165761943386,0.007830535970549697,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
64787,20087,8652,5202,819,216,772,2020-06-17,1.6355896966457877,0.5459045472840521,0.5935143533818211,0.9407849821636066,0.2644940477536091,0.6138587130281564,2.1330327193956777,4.161598555269448,1.3928063908813424,1.4127110701594712,2.0254686563894224,0.5181940788297333,0.34166642560202193,3.9076515639223843,0.6444223404784404,0.1998010643059631,0.08605958124036406,0.05174317401899836,0.00814641667081116,0.0021485054955985477,0.007678917789824439,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
66261,20475,8749,5296,837,218,778,2020-06-18,1.638910157518012,0.54517534596468,0.588008761323823,0.9383798418433068,0.26483057550943023,0.606990413449571,2.106058735758387,4.256281072911369,1.419709805012968,1.42854937041438,2.0620688204994964,0.5295829596831341,0.3448300036168555,3.9380219128647864,0.6457306020620968,0.19953417662307288,0.08526127039195432,0.05161089130138188,0.008156781725690452,0.0021244664470734986,0.007581811448730193,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
67818,20780,8819,5384,865,224,785,2020-06-19,1.6443936331817481,0.5424022573121854,0.58104313021421,0.9351890049286753,0.26830108033833855,0.6114162885120611,2.0831674760502086,4.3562951027407255,1.4408581073587043,1.4399790716292622,2.0963328039216935,0.5472989965662018,0.3543207376613561,3.973453986630922,0.6478910914736088,0.19851922617625986,0.08425125388106043,0.05143539527107714,0.008263673274420827,0.002139957009792214,0.00749940291378075,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
70439,21547,9010,5573,901,229,805,2020-06-21,1.647673706197549,0.5425752479120913,0.5726787126233388,0.9338574866113022,0.2696052380856628,0.6030060774586322,2.0608559233863373,4.524655264707806,1.4940408873560156,1.4711658278012987,2.1699224955898213,0.5700767582730033,0.3622296826984399,4.074688483105595,0.6491834402418344,0.1985825407358254,0.08303841333038413,0.05136216176362162,0.008303841333038414,0.0021105212711052127,0.007419081324190813,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
71350,21885,9100,5661,908,234,825,2020-06-22,1.6468391236904745,0.5437745602358349,0.570724886458674,0.9360173215288118,0.26809489992560664,0.6079967157784242,2.0840343266977683,4.583173428596402,1.5174773666768646,1.485861157934719,2.2041864790120185,0.5745057674937702,0.3701386277355238,4.175922979580268,0.6488546147340469,0.1990214890463156,0.08275510853650773,0.05148095268408465,0.008257322917708684,0.0021279885052244846,0.007502523576111965,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
73357,22500,9259,5845,925,244,850,2020-06-23,1.6479490103364955,0.5441264811122816,0.565190054999054,0.9406330967669257,0.26582109694164924,0.6170497938952533,2.089848744123837,4.712093247393781,1.5601206648494153,1.5118229078370948,2.2758293534402485,0.5852619327442042,0.3859565178096915,4.30246610017361,0.6492919100725792,0.19915029208709506,0.08195255797486281,0.051734820322180915,0.008187289785802796,0.0021596742786333866,0.007523455478845814,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
76036,22871,9422,5981,935,248,871,2020-06-24,1.6584576980303536,0.5370137760669225,0.558414203231477,0.9345283295989699,0.26088088117581776,0.6089266685327323,2.079203571933282,4.884179044383406,1.5858453211453767,1.5384377835231782,2.328782782365462,0.5915890887738714,0.3922836738393585,4.408762321472016,0.6534323330239593,0.1965470420404936,0.08097005946856416,0.05139905812794335,0.008035131140215188,0.002131243339864563,0.007485132858959816,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
