Hispanic,Multi-Race,White,Asian/Pacific Islander,American Indian/Alaska Native,Black,date,Asian,Native Hawaiian/Pacifc Islander,Hispanic_discrepancy,Multi-Race_discrepancy,White_discrepancy,Asian/Pacific Islander_discrepancy,American Indian/Alaska Native_discrepancy,Black_discrepancy,Asian_discrepancy,Native Hawaiian/Pacifc Islander_discrepancy
4851,57,1446,370.0,19,338,2020-06-14,,,1.37,0.22222222222222224,0.2562814070351758,0.6842105263157895,0.75,0.6575342465753425,,
5094,55,1494,378.0,20,344,2020-06-15,,,1.38,0.19444444444444448,0.2537688442211055,0.6710526315789473,0.75,0.6438356164383562,,
5204,56,1527,382.0,20,349,2020-06-16,,,1.38,0.19444444444444448,0.2550251256281407,0.6710526315789473,0.75,0.6301369863013699,,
5371,57,1544,390.0,21,354,2020-06-17,,,1.3880000000000001,0.19444444444444448,0.25125628140703515,0.6578947368421053,0.75,0.6301369863013699,,
5515,60,1561,397.0,21,366,2020-06-18,,,1.392,0.22222222222222224,0.24748743718592964,0.6578947368421053,0.75,0.6301369863013699,,
5746,63,1586,403.0,21,373,2020-06-19,,,1.402,0.22222222222222224,0.2437185929648241,0.6447368421052632,0.75,0.6301369863013699,,
5746,63,1586,403.0,21,373,2020-06-20,,,1.402,0.22222222222222224,0.2437185929648241,0.6447368421052632,0.75,0.6301369863013699,,
5746,63,1586,403.0,21,373,2020-06-21,,,1.402,0.22222222222222224,0.2437185929648241,0.6447368421052632,0.75,0.6301369863013699,,
6082,63,1699,420.0,21,397,2020-06-22,,,1.402,0.19444444444444448,0.2462311557788945,0.6315789473684211,0.5,0.6301369863013699,,
6257,63,1757,428.0,21,412,2020-06-23,,,1.4,0.19444444444444448,0.24748743718592964,0.6315789473684211,0.5,0.6301369863013699,,
6454,64,1818,,21,423,2020-06-24,395.0,42.0,1.4,0.19444444444444448,0.24748743718592964,,0.5,0.6301369863013699,0.5972222222222222,1.25
6658,64,1852,,22,435,2020-06-25,402.0,42.0,1.406,0.19444444444444448,0.2449748743718593,,0.5,0.6301369863013699,0.5833333333333334,1.0
6871,66,1891,,23,442,2020-06-26,413.0,41.0,1.41,0.19444444444444448,0.2437185929648241,,0.5,0.6164383561643836,0.5833333333333334,1.0
6871,66,1891,,23,442,2020-06-27,413.0,41.0,1.41,0.19444444444444448,0.2437185929648241,,0.5,0.6164383561643836,0.5833333333333334,1.0
6871,66,1891,,23,442,2020-06-28,413.0,41.0,1.41,0.19444444444444448,0.2437185929648241,,0.5,0.6164383561643836,0.5833333333333334,1.0
7074,68,1982,,25,454,2020-06-29,420.0,42.0,1.406,0.19444444444444448,0.24748743718592964,,0.5,0.6164383561643836,0.5833333333333334,1.0
7265,68,2043,,25,468,2020-06-30,427.0,45.0,1.406,0.19444444444444448,0.2487437185929648,,0.5,0.6164383561643836,0.5694444444444445,1.0
7738,71,2172,,28,490,2020-07-02,445.0,48.0,1.4080000000000001,0.16666666666666669,0.2487437185929648,,0.75,0.6164383561643836,0.5555555555555556,1.0
7982,78,2259,,31,504,2020-07-03,449.0,49.0,1.406,0.19444444444444448,0.25,,0.75,0.6027397260273972,0.5555555555555556,1.0
7982,78,2259,,31,504,2020-07-05,449.0,49.0,1.406,0.19444444444444448,0.25,,0.75,0.6027397260273972,0.5555555555555556,1.0
8512,86,2455,,34,542,2020-07-06,465.0,50.0,1.402,0.19444444444444448,0.2537688442211055,,0.75,0.6164383561643836,0.5277777777777778,1.0
8512,86,2455,,34,542,2020-07-07,465.0,50.0,1.402,0.19444444444444448,0.2537688442211055,,0.75,0.6164383561643836,0.5277777777777778,1.0
8722,92,2561,,36,567,2020-07-08,475.0,50.0,1.396,0.19444444444444448,0.25753768844221103,,0.75,0.6164383561643836,0.5277777777777778,1.0
8990,90,2676,,39,607,2020-07-09,491.0,57.0,1.3880000000000001,0.19444444444444448,0.2600502512562814,,0.75,0.6438356164383562,0.5277777777777778,1.0
9247,91,2796,,42,627,2020-07-10,508.0,62.0,1.382,0.19444444444444448,0.26256281407035176,,0.75,0.6438356164383562,0.5277777777777778,1.25
9247,91,2796,,42,627,2020-07-11,508.0,62.0,1.382,0.19444444444444448,0.26256281407035176,,0.75,0.6438356164383562,0.5277777777777778,1.25
9247,91,2796,,42,627,2020-07-12,508.0,62.0,1.382,0.19444444444444448,0.26256281407035176,,0.75,0.6438356164383562,0.5277777777777778,1.25
9635,93,2937,,43,657,2020-07-13,524.0,64.0,1.382,0.19444444444444448,0.2638190954773869,,0.75,0.6438356164383562,0.5277777777777778,1.25
9776,94,3050,,44,690,2020-07-14,536.0,65.0,1.3719999999999999,0.19444444444444448,0.26884422110552764,,0.75,0.6575342465753425,0.5277777777777778,1.25
9959,96,3157,,44,709,2020-07-15,550.0,70.0,1.3659999999999999,0.19444444444444448,0.271356783919598,,0.75,0.6712328767123288,0.5277777777777778,1.25
10157,101,3257,,44,728,2020-07-16,554.0,75.0,1.362,0.19444444444444448,0.2738693467336683,,0.75,0.6712328767123288,0.513888888888889,1.25
10361,103,3302,,43,735,2020-07-17,564.0,74.0,1.364,0.19444444444444448,0.27261306532663315,,0.75,0.6575342465753425,0.513888888888889,1.25
10361,103,3302,,43,735,2020-07-18,564.0,74.0,1.364,0.19444444444444448,0.27261306532663315,,0.75,0.6575342465753425,0.513888888888889,1.25
10361,103,3302,,43,735,2020-07-19,564.0,74.0,1.364,0.19444444444444448,0.27261306532663315,,0.75,0.6575342465753425,0.513888888888889,1.25
10765,110,3452,,46,754,2020-07-20,590.0,77.0,1.364,0.19444444444444448,0.2751256281407035,,0.75,0.6575342465753425,0.513888888888889,1.25
10951,112,3509,,48,764,2020-07-21,596.0,79.0,1.364,0.19444444444444448,0.2751256281407035,,0.75,0.6575342465753425,0.513888888888889,1.25
11196,113,3591,,51,775,2020-07-22,611.0,80.0,1.364,0.19444444444444448,0.2751256281407035,,0.75,0.6438356164383562,0.513888888888889,1.25
11447,113,3660,,52,791,2020-07-23,620.0,81.0,1.366,0.19444444444444448,0.2738693467336683,,0.75,0.6438356164383562,0.513888888888889,1.25
11687,115,3726,,53,809,2020-07-24,630.0,84.0,1.366,0.19444444444444448,0.2738693467336683,,0.75,0.6438356164383562,0.513888888888889,1.25
11687,115,3726,,53,809,2020-07-25,630.0,84.0,1.366,0.19444444444444448,0.2738693467336683,,0.75,0.6438356164383562,0.513888888888889,1.25
11687,115,3726,,53,809,2020-07-26,630.0,84.0,1.366,0.19444444444444448,0.2738693467336683,,0.75,0.6438356164383562,0.513888888888889,1.25
