hispanic,white,asian_pacific_islander,non_hispanic,date,hispanic_discrepancy,white_discrepancy,asian_pacific_islander_discrepancy,non_hispanic_discrepancy
492,126,17,15,2020-06-14,2.772612003381234,0.30818148465207285,0.523076923076923,0.4807692307692308
503,126,17,15,2020-06-15,2.7874294137531654,0.3030528971616451,0.5143721633888049,0.472768532526475
503,126,17,15,2020-06-16,2.7874294137531654,0.3030528971616451,0.5143721633888049,0.472768532526475
527,133,17,13,2020-06-17,2.797685406381058,0.3064445519688487,0.4927536231884058,0.392512077294686
528,133,17,13,2020-06-18,2.7989376759275455,0.3060010721541325,0.492040520984081,0.39194404245055475
535,134,17,13,2020-06-19,2.8035864945736186,0.30477334188518235,0.4864091559370529,0.38745827372436814
535,134,17,13,2020-06-20,2.8035864945736186,0.30477334188518235,0.4864091559370529,0.38745827372436814
552,138,17,13,2020-06-21,2.808302808302808,0.30471648118706945,0.4722222222222222,0.3761574074074074
573,142,19,13,2020-06-22,2.809773894111243,0.30221575225118813,0.5087014725568942,0.3625613565372602
580,143,19,13,2020-06-23,2.813963078863741,0.30111919476937005,0.5033112582781457,0.358719646799117
604,154,19,13,2020-06-24,2.8005749524736863,0.3099152764082027,0.48101265822784806,0.3428270042194093
604,154,19,13,2020-06-25,2.8005749524736863,0.3099152764082027,0.48101265822784806,0.3428270042194093
604,154,19,13,2020-06-26,2.8005749524736863,0.3099152764082027,0.48101265822784806,0.3428270042194093
642,175,20,16,2020-06-27,2.7569148319441403,0.32616576303218603,0.46893317702227433,0.3907776475185619
656,193,21,17,2020-06-30,2.709053441860657,0.3459258714912273,0.4735062006764374,0.39928598271326565
690,210,20,20,2020-07-02,2.6888005611409866,0.3551736968507932,0.42553191489361697,0.4432624113475177
690,210,20,20,2020-07-03,2.6888005611409866,0.3551736968507932,0.42553191489361697,0.4432624113475177
