time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,0.08317539689360874,0.08617226417050043,california,alameda,Hispanic
3,2020-06-16,0.0858584742127574,0.08678518472717929,california,alameda,Hispanic
5,2020-06-18,0.08854155153190607,0.09188759286500427,california,alameda,Hispanic
9,2020-06-22,0.09122462885105474,0.09337109070637364,california,alameda,Hispanic
11,2020-06-24,0.0939077061702034,0.09414918312892682,california,alameda,Hispanic
12,2020-06-25,0.10195693812764944,0.09881201376596467,california,alameda,Hispanic
15,2020-06-28,0.10464001544679807,0.10074382943575162,california,alameda,Hispanic
62,2020-08-14,0.16635079378721748,0.1599358242248648,california,alameda,Hispanic
69,2020-08-21,0.17976618038296086,0.17574299870150437,california,alameda,Hispanic
73,2020-08-25,0.18244925770210949,0.1815169777696158,california,alameda,Hispanic
74,2020-08-26,0.1851323350212581,0.18719830455700265,california,alameda,Hispanic
75,2020-08-27,0.18781541234040688,0.1880032277527474,california,alameda,Hispanic
78,2020-08-30,0.19318156697870412,0.19114242821615143,california,alameda,Hispanic
81,2020-09-02,0.1985477216170015,0.20713356903827715,california,alameda,Hispanic
82,2020-09-03,0.21732926285104212,0.21400224697529746,california,alameda,Hispanic
83,2020-09-04,0.22001234017019086,0.2206831094999779,california,alameda,Hispanic
84,2020-09-05,0.22269541748933952,0.22537536455161597,california,alameda,Hispanic
87,2020-09-08,0.2253784948084881,0.231701532385242,california,alameda,Hispanic
90,2020-09-11,0.2414769587233802,0.24637796532098474,california,alameda,Hispanic
92,2020-09-13,0.2575754226382722,0.255366274340133,california,alameda,Hispanic
94,2020-09-15,0.2817231185106102,0.27276164026465344,california,alameda,Hispanic
98,2020-09-19,0.2844061958297589,0.2825548724795465,california,alameda,Hispanic
101,2020-09-22,0.2951385051063536,0.2974718067095333,california,alameda,Hispanic
102,2020-09-23,0.3031877370637996,0.3002363520127356,california,alameda,Hispanic
104,2020-09-25,0.3058708143829483,0.303697521754438,california,alameda,Hispanic
108,2020-09-29,0.3085538917020969,0.31061986123784147,california,alameda,Hispanic
