time,date,y,y_pred,state,county,ethnicity
10,2020-06-23,-1.7276256608110059,-16.020023959222954,california,sanfrancisco,Native American
13,2020-06-26,-0.9994114617784792,-15.892067482440552,california,sanfrancisco,Native American
14,2020-06-27,-2.346851367740767,-15.849415323513085,california,sanfrancisco,Native American
19,2020-07-02,-2.6158489518267385,-15.636154528875522,california,sanfrancisco,Native American
23,2020-07-06,-2.1574496653909945,-15.465545893165654,california,sanfrancisco,Native American
25,2020-07-08,-2.2513331880550718,-15.38024157531072,california,sanfrancisco,Native American
28,2020-07-11,-2.560741709392251,-15.252285098528091,california,sanfrancisco,Native American
36,2020-07-19,-2.2905181325400648,-14.911067827108354,california,sanfrancisco,Native American
37,2020-07-20,-3.20609071264534,-14.868415668180887,california,sanfrancisco,Native American
38,2020-07-21,-2.7215681298862675,-14.825763509253193,california,sanfrancisco,Native American
39,2020-07-22,-3.4216157113184416,-14.783111350325726,california,sanfrancisco,Native American
70,2020-08-22,-7.027164132283436,-13.460894423573563,california,sanfrancisco,Native American
77,2020-08-29,-7.728029042226421,-13.162329311081294,california,sanfrancisco,Native American
87,2020-09-08,-8.751364121668246,-12.735807721806395,california,sanfrancisco,Native American
93,2020-09-14,-7.29616171636941,-12.479894768241365,california,sanfrancisco,Native American
94,2020-09-15,-10.798851609062703,-12.437242609313898,california,sanfrancisco,Native American
97,2020-09-18,-9.775516529620882,-12.309286132531497,california,sanfrancisco,Native American
102,2020-09-23,-9.828989115033751,-12.096025337893934,california,sanfrancisco,Native American
103,2020-09-24,-6.4875343070898746,-12.053373178966467,california,sanfrancisco,Native American
104,2020-09-25,-8.373786709734915,-12.010721020039,california,sanfrancisco,Native American
105,2020-09-26,-7.134109303109178,-11.968068861111533,california,sanfrancisco,Native American
109,2020-09-30,-9.882461700446624,-11.797460225401665,california,sanfrancisco,Native American
121,2020-10-12,-8.858309292493988,-11.285634318271832,california,sanfrancisco,Native American
148,2020-11-08,-11.389502034136715,-10.134026027229538,california,sanfrancisco,Native American
150,2020-11-10,-8.210099639453068,-10.048721709374604,california,sanfrancisco,Native American
152,2020-11-12,-11.496447204962456,-9.96341739151967,california,sanfrancisco,Native American
155,2020-11-15,-11.980969787721529,-9.835460914737041,california,sanfrancisco,Native American
10,2020-06-23,4.009029768601149,13.165593639249892,california,sanfrancisco,Native Hawaiian/Pacific Islander
14,2020-06-27,3.45462502697548,13.336202274959817,california,sanfrancisco,Native Hawaiian/Pacific Islander
16,2020-06-29,3.173870398742883,13.421506592814808,california,sanfrancisco,Native Hawaiian/Pacific Islander
19,2020-07-02,3.0235750296292783,13.549463069597266,california,sanfrancisco,Native Hawaiian/Pacific Islander
23,2020-07-06,3.7736686599334384,13.720071705307248,california,sanfrancisco,Native Hawaiian/Pacific Islander
25,2020-07-08,4.425226238266419,13.805376023162182,california,sanfrancisco,Native Hawaiian/Pacific Islander
26,2020-07-09,3.4305450519291734,13.848028182089706,california,sanfrancisco,Native Hawaiian/Pacific Islander
27,2020-07-10,3.603537180825223,13.890680341017173,california,sanfrancisco,Native Hawaiian/Pacific Islander
28,2020-07-11,4.180638682233334,13.93333249994464,california,sanfrancisco,Native Hawaiian/Pacific Islander
29,2020-07-12,3.787877689612493,13.975984658872164,california,sanfrancisco,Native Hawaiian/Pacific Islander
30,2020-07-13,3.3525838272145947,14.018636817799631,california,sanfrancisco,Native Hawaiian/Pacific Islander
32,2020-07-15,4.172150952129947,14.103941135654622,california,sanfrancisco,Native Hawaiian/Pacific Islander
33,2020-07-16,4.410372710585485,14.14659329458209,california,sanfrancisco,Native Hawaiian/Pacific Islander
34,2020-07-17,4.637246089149814,14.189245453509614,california,sanfrancisco,Native Hawaiian/Pacific Islander
35,2020-07-18,5.113689606060898,14.23189761243708,california,sanfrancisco,Native Hawaiian/Pacific Islander
37,2020-07-20,5.771612981971425,14.317201930292072,california,sanfrancisco,Native Hawaiian/Pacific Islander
39,2020-07-22,5.782961361862648,14.402506248147063,california,sanfrancisco,Native Hawaiian/Pacific Islander
40,2020-07-23,5.363259744407667,14.44515840707453,california,sanfrancisco,Native Hawaiian/Pacific Islander
41,2020-07-24,5.3859565041901085,14.487810566001997,california,sanfrancisco,Native Hawaiian/Pacific Islander
42,2020-07-25,5.8624000211011955,14.53046272492952,california,sanfrancisco,Native Hawaiian/Pacific Islander
43,2020-07-26,5.851051641209973,14.573114883856988,california,sanfrancisco,Native Hawaiian/Pacific Islander
45,2020-07-28,7.24633705226957,14.658419201711979,california,sanfrancisco,Native Hawaiian/Pacific Islander
46,2020-07-29,7.257685432160795,14.701071360639446,california,sanfrancisco,Native Hawaiian/Pacific Islander
47,2020-07-30,7.949653947744986,14.74372351956697,california,sanfrancisco,Native Hawaiian/Pacific Islander
49,2020-08-01,8.414749084764853,14.829027837421904,california,sanfrancisco,Native Hawaiian/Pacific Islander
54,2020-08-06,9.401681258260695,15.042288632059353,california,sanfrancisco,Native Hawaiian/Pacific Islander
55,2020-08-07,9.628554636825019,15.084940790986877,california,sanfrancisco,Native Hawaiian/Pacific Islander
56,2020-08-08,9.639903016716234,15.127592949914344,california,sanfrancisco,Native Hawaiian/Pacific Islander
60,2020-08-12,10.558744910864746,15.29820158562427,california,sanfrancisco,Native Hawaiian/Pacific Islander
61,2020-08-13,9.923518294736665,15.340853744551794,california,sanfrancisco,Native Hawaiian/Pacific Islander
62,2020-08-14,10.173088433083432,15.38350590347926,california,sanfrancisco,Native Hawaiian/Pacific Islander
64,2020-08-16,11.2847585661226,15.468810221334252,california,sanfrancisco,Native Hawaiian/Pacific Islander
70,2020-08-22,14.68785924458744,15.724723174899168,california,sanfrancisco,Native Hawaiian/Pacific Islander
71,2020-08-23,13.644279390895598,15.767375333826692,california,sanfrancisco,Native Hawaiian/Pacific Islander
73,2020-08-25,14.120722907806686,15.852679651681626,california,sanfrancisco,Native Hawaiian/Pacific Islander
74,2020-08-26,14.358944666262223,15.89533181060915,california,sanfrancisco,Native Hawaiian/Pacific Islander
75,2020-08-27,14.80134304349965,15.937983969536617,california,sanfrancisco,Native Hawaiian/Pacific Islander
76,2020-08-28,14.812691423390875,15.980636128464084,california,sanfrancisco,Native Hawaiian/Pacific Islander
77,2020-08-29,17.09840066924088,16.02328828739161,california,sanfrancisco,Native Hawaiian/Pacific Islander
79,2020-08-31,11.591164823185576,16.1085926052466,california,sanfrancisco,Native Hawaiian/Pacific Islander
80,2020-09-01,15.266438180519517,16.151244764174066,california,sanfrancisco,Native Hawaiian/Pacific Islander
81,2020-09-02,15.289134940301965,16.193896923101534,california,sanfrancisco,Native Hawaiian/Pacific Islander
82,2020-09-03,13.360758332135275,16.236549082029057,california,sanfrancisco,Native Hawaiian/Pacific Islander
