time,date,y,y_pred,state,county,ethnicity
4,2020-06-17,-0.660994256498943,-8.179192929977898,california,santaclara,White
5,2020-06-18,-0.5569312352833199,-8.176547740831285,california,santaclara,White
6,2020-06-19,-0.5598996430762967,-8.173902551684673,california,santaclara,White
7,2020-06-20,-0.6999977546460652,-8.171257362538062,california,santaclara,White
8,2020-06-21,-0.7468403041098336,-8.16861217339145,california,santaclara,White
9,2020-06-22,-0.5912788583175416,-8.16596698424484,california,santaclara,White
10,2020-06-23,-0.7549017938288012,-8.163321795098227,california,santaclara,White
11,2020-06-24,-0.8513405321385461,-8.160676605951616,california,santaclara,White
12,2020-06-25,-1.129308531935463,-8.158031416805004,california,santaclara,White
13,2020-06-26,-0.7549171338119107,-8.155386227658393,california,santaclara,White
15,2020-06-28,-0.9061486921032292,-8.150095849365169,california,santaclara,White
23,2020-07-06,-1.3918668874507365,-8.128934336192277,california,santaclara,White
25,2020-07-08,-1.4192115228367206,-8.123643957899054,california,santaclara,White
26,2020-07-09,-1.465632205470508,-8.120998768752443,california,santaclara,White
27,2020-07-10,-1.5277463307206944,-8.11835357960583,california,santaclara,White
29,2020-07-12,-1.6144437819831017,-8.113063201312608,california,santaclara,White
30,2020-07-13,-1.646881499295077,-8.110418012165995,california,santaclara,White
31,2020-07-14,-1.707929452482979,-8.107772823019385,california,santaclara,White
32,2020-07-15,-1.7736409507753368,-8.105127633872772,california,santaclara,White
33,2020-07-16,-1.8285373199665176,-8.10248244472616,california,santaclara,White
34,2020-07-17,-1.8993265602017584,-8.09983725557955,california,santaclara,White
35,2020-07-18,-1.959523109738144,-8.097192066432939,california,santaclara,White
36,2020-07-19,-1.5167854631327395,-8.094546877286326,california,santaclara,White
37,2020-07-20,-2.008668667124,-8.091901688139714,california,santaclara,White
38,2020-07-21,-2.152327717114245,-8.089256498993104,california,santaclara,White
39,2020-07-22,-1.6812904822617338,-8.086611309846491,california,santaclara,White
40,2020-07-23,-2.24739730572444,-8.08396612069988,california,santaclara,White
41,2020-07-24,-1.7586685133067843,-8.081320931553268,california,santaclara,White
42,2020-07-25,-2.3086159227098597,-8.078675742406656,california,santaclara,White
43,2020-07-26,-2.303589955371782,-8.076030553260045,california,santaclara,White
45,2020-07-28,-2.425729966360836,-8.070740174966822,california,santaclara,White
46,2020-07-29,-2.5716613443069507,-8.06809498582021,california,santaclara,White
47,2020-07-30,-2.649927213625213,-8.0654497966736,california,santaclara,White
49,2020-08-01,-2.84196095658474,-8.060159418380376,california,santaclara,White
50,2020-08-02,-2.9708374122064614,-8.057514229233764,california,santaclara,White
54,2020-08-06,-3.3319131602151693,-8.046933472647318,california,santaclara,White
55,2020-08-07,-3.803172833470001,-8.044288283500705,california,santaclara,White
56,2020-08-08,-3.5314676368709663,-8.041643094354095,california,santaclara,White
60,2020-08-12,-3.8990209564883234,-8.031062337767649,california,santaclara,White
61,2020-08-13,-3.9465078111843948,-8.028417148621037,california,santaclara,White
62,2020-08-14,-4.166960031583746,-8.025771959474426,california,santaclara,White
64,2020-08-16,-4.243264220574957,-8.020481581181201,california,santaclara,White
69,2020-08-21,-4.630729651108527,-8.007255635448145,california,santaclara,White
70,2020-08-22,-4.1703963261560295,-8.004610446301532,california,santaclara,White
71,2020-08-23,-4.275533189425492,-8.001965257154922,california,santaclara,White
72,2020-08-24,-4.3196220995070505,-7.999320068008309,california,santaclara,White
73,2020-08-25,-4.814724914323749,-7.996674878861698,california,santaclara,White
74,2020-08-26,-5.4174957933897945,-7.994029689715086,california,santaclara,White
75,2020-08-27,-4.925798593179163,-7.991384500568475,california,santaclara,White
76,2020-08-28,-5.000407644858899,-7.988739311421863,california,santaclara,White
77,2020-08-29,-5.068236147292714,-7.986094122275251,california,santaclara,White
79,2020-08-31,-4.618932719852163,-7.980803743982028,california,santaclara,White
80,2020-09-01,-4.664716767245202,-7.978158554835417,california,santaclara,White
81,2020-09-02,-5.2174695906352895,-7.975513365688805,california,santaclara,White
82,2020-09-03,-4.844455012202843,-7.972868176542193,california,santaclara,White
83,2020-09-04,-4.91058837732518,-7.970222987395582,california,santaclara,White
84,2020-09-05,-5.453170376846397,-7.96757779824897,california,santaclara,White
85,2020-09-06,-5.680387806508553,-7.964932609102359,california,santaclara,White
86,2020-09-07,-5.032699623684093,-7.9622874199557465,california,santaclara,White
88,2020-09-09,-5.518483018283435,-7.9569970416625235,california,santaclara,White
90,2020-09-11,-5.63125183445033,-7.9517066633693005,california,santaclara,White
91,2020-09-12,-5.264174071603834,-7.949061474222689,california,santaclara,White
92,2020-09-13,-5.3108095226483885,-7.946416285076078,california,santaclara,White
93,2020-09-14,-6.125518585598619,-7.943771095929466,california,santaclara,White
94,2020-09-15,-5.337095655963641,-7.941125906782855,california,santaclara,White
95,2020-09-16,-6.512109602506008,-7.938480717636243,california,santaclara,White
96,2020-09-17,-5.512592222646808,-7.935835528489632,california,santaclara,White
97,2020-09-18,-5.945811020607196,-7.933190339343019,california,santaclara,White
98,2020-09-19,-6.004312432832105,-7.930545150196409,california,santaclara,White
99,2020-09-20,-5.656732584063393,-7.927899961049796,california,santaclara,White
100,2020-09-21,-6.503656925923276,-7.925254771903186,california,santaclara,White
101,2020-09-22,-6.001781231852218,-7.922609582756573,california,santaclara,White
102,2020-09-23,-6.078085420843428,-7.919964393609962,california,santaclara,White
103,2020-09-24,-5.693204881230629,-7.91731920446335,california,santaclara,White
104,2020-09-25,-5.798334074508535,-7.914674015316739,california,santaclara,White
105,2020-09-26,-5.8119028429919215,-7.912028826170127,california,santaclara,White
106,2020-09-27,-6.265463288690058,-7.909383637023515,california,santaclara,White
107,2020-09-28,-6.799561931662321,-7.906738447876904,california,santaclara,White
108,2020-09-29,-5.928905667441733,-7.904093258730292,california,santaclara,White
109,2020-09-30,-5.908564019703988,-7.901448069583681,california,santaclara,White
110,2020-10-01,-6.843658511735437,-7.898802880437069,california,santaclara,White
111,2020-10-02,-6.335846002078424,-7.896157691290457,california,santaclara,White
112,2020-10-03,-6.384176590434457,-7.893512502143846,california,santaclara,White
113,2020-10-04,-6.023879376833878,-7.890867312997234,california,santaclara,White
114,2020-10-05,-6.462183586728702,-7.888222123850623,california,santaclara,White
115,2020-10-06,-7.077671830626618,-7.885576934704011,california,santaclara,White
116,2020-10-07,-6.083239862701856,-7.8829317455574,california,santaclara,White
117,2020-10-08,-6.5283246218425965,-7.880286556410788,california,santaclara,White
118,2020-10-09,-6.431686455105192,-7.877641367264177,california,santaclara,White
119,2020-10-10,-6.510537185059397,-7.874996178117565,california,santaclara,White
120,2020-10-11,-6.5224108162313055,-7.872350988970954,california,santaclara,White
121,2020-10-12,-6.215521932929644,-7.869705799824342,california,santaclara,White
122,2020-10-13,-6.257915705699722,-7.86706061067773,california,santaclara,White
123,2020-10-14,-7.359172004213871,-7.864415421531119,california,santaclara,White
124,2020-10-15,-6.267250465900188,-7.861770232384507,california,santaclara,White
125,2020-10-16,-6.271492144174662,-7.859125043237896,california,santaclara,White
126,2020-10-17,-6.3189713288791785,-7.856479854091283,california,santaclara,White
127,2020-10-18,-6.739480431999255,-7.853834664944673,california,santaclara,White
129,2020-10-20,-6.37410547645579,-7.84854428665145,california,santaclara,White
131,2020-10-22,-6.732722892727998,-7.843253908358226,california,santaclara,White
