time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,1.37,1.3479992388172972,california,riverside,Hispanic
2,2020-06-15,1.38,1.3482783642609188,california,riverside,Hispanic
3,2020-06-16,1.38,1.3485574897045396,california,riverside,Hispanic
4,2020-06-17,1.388,1.3488366151481603,california,riverside,Hispanic
5,2020-06-18,1.392,1.349115740591782,california,riverside,Hispanic
6,2020-06-19,1.402,1.3493948660354036,california,riverside,Hispanic
9,2020-06-22,1.402,1.3502322423662658,california,riverside,Hispanic
10,2020-06-23,1.4,1.3505113678098875,california,riverside,Hispanic
11,2020-06-24,1.4,1.350790493253509,california,riverside,Hispanic
12,2020-06-25,1.406,1.3510696186971298,california,riverside,Hispanic
13,2020-06-26,1.41,1.3513487441407506,california,riverside,Hispanic
16,2020-06-29,1.406,1.3521861204716146,california,riverside,Hispanic
17,2020-06-30,1.406,1.3524652459152353,california,riverside,Hispanic
19,2020-07-02,1.408,1.3530234968024777,california,riverside,Hispanic
20,2020-07-03,1.406,1.3533026222460993,california,riverside,Hispanic
23,2020-07-06,1.402,1.3541399985769624,california,riverside,Hispanic
25,2020-07-08,1.396,1.3546982494642048,california,riverside,Hispanic
26,2020-07-09,1.388,1.3549773749078255,california,riverside,Hispanic
27,2020-07-10,1.382,1.3552565003514463,california,riverside,Hispanic
30,2020-07-13,1.382,1.3560938766823103,california,riverside,Hispanic
31,2020-07-14,1.372,1.356373002125931,california,riverside,Hispanic
32,2020-07-15,1.366,1.3566521275695527,california,riverside,Hispanic
33,2020-07-16,1.362,1.3569312530131743,california,riverside,Hispanic
34,2020-07-17,1.364,1.357210378456795,california,riverside,Hispanic
37,2020-07-20,1.364,1.3580477547876582,california,riverside,Hispanic
38,2020-07-21,1.364,1.3583268802312798,california,riverside,Hispanic
39,2020-07-22,1.364,1.3586060056749005,california,riverside,Hispanic
40,2020-07-23,1.366,1.3588851311185213,california,riverside,Hispanic
41,2020-07-24,1.366,1.359164256562143,california,riverside,Hispanic
45,2020-07-28,1.366,1.3602807583366268,california,riverside,Hispanic
46,2020-07-29,1.368,1.3605598837802484,california,riverside,Hispanic
47,2020-07-30,1.37,1.36083900922387,california,riverside,Hispanic
49,2020-08-01,1.376,1.3613972601111115,california,riverside,Hispanic
54,2020-08-06,1.378,1.362792887329217,california,riverside,Hispanic
55,2020-08-07,1.382,1.3630720127728386,california,riverside,Hispanic
60,2020-08-12,1.382,1.3644676399909441,california,riverside,Hispanic
61,2020-08-13,1.384,1.3647467654345657,california,riverside,Hispanic
62,2020-08-14,1.384,1.3650258908781865,california,riverside,Hispanic
69,2020-08-21,1.39,1.3669797689835343,california,riverside,Hispanic
72,2020-08-24,1.392,1.3678171453143975,california,riverside,Hispanic
73,2020-08-25,1.394,1.368096270758019,california,riverside,Hispanic
74,2020-08-26,1.396,1.3683753962016407,california,riverside,Hispanic
75,2020-08-27,1.398,1.3686545216452615,california,riverside,Hispanic
76,2020-08-28,1.4,1.3689336470888822,california,riverside,Hispanic
79,2020-08-31,1.402,1.3697710234197462,california,riverside,Hispanic
80,2020-09-01,1.402,1.370050148863367,california,riverside,Hispanic
81,2020-09-02,1.404,1.3703292743069877,california,riverside,Hispanic
82,2020-09-03,1.404,1.3706083997506093,california,riverside,Hispanic
83,2020-09-04,1.406,1.37088752519423,california,riverside,Hispanic
87,2020-09-08,1.408,1.3720040269687148,california,riverside,Hispanic
88,2020-09-09,1.41,1.3722831524123364,california,riverside,Hispanic
89,2020-09-10,1.41,1.3725622778559572,california,riverside,Hispanic
90,2020-09-11,1.412,1.372841403299578,california,riverside,Hispanic
93,2020-09-14,1.414,1.373678779630442,california,riverside,Hispanic
94,2020-09-15,1.414,1.3739579050740627,california,riverside,Hispanic
