time,date,y,y_pred,state,county,ethnicity
4,2020-06-17,0.8440462277626282,1.0510512151678064,california,santaclara,White
7,2020-06-20,0.8599931200550395,1.05037288020299,california,santaclara,White
9,2020-06-22,0.8912655971479501,1.0499206568931116,california,santaclara,White
12,2020-06-25,0.9276829011174362,1.0492423219282951,california,santaclara,White
23,2020-07-06,0.9110714993067937,1.046755093723967,california,santaclara,White
31,2020-07-14,0.9034986543637064,1.0449462004844552,california,santaclara,White
32,2020-07-15,0.8878310476406361,1.0447200888295165,california,santaclara,White
33,2020-07-16,0.9284016636957816,1.0444939771745778,california,santaclara,White
34,2020-07-17,0.9416195856873824,1.0442678655196387,california,santaclara,White
47,2020-07-30,0.997592019263846,1.0413284140054326,california,santaclara,White
54,2020-08-06,1.0004001600640255,1.0397456324208605,california,santaclara,White
55,2020-08-07,1.0141987829614605,1.0395195207659214,california,santaclara,White
61,2020-08-13,0.9898190045248868,1.038162850836288,california,santaclara,White
62,2020-08-14,1.0007192669731368,1.0379367391813492,california,santaclara,White
69,2020-08-21,1.0010010010010009,1.0363539575967762,california,santaclara,White
73,2020-08-25,0.9958203596173806,1.0354495109770205,california,santaclara,White
74,2020-08-26,1.0203800226138275,1.0352233993220818,california,santaclara,White
75,2020-08-27,1.0212418300653594,1.0349972876671432,california,santaclara,White
76,2020-08-28,1.0470588235294118,1.034771176012204,california,santaclara,White
85,2020-09-06,0.992961287078934,1.0327361711177536,california,santaclara,White
86,2020-09-07,1.0055304172951232,1.0325100594628145,california,santaclara,White
90,2020-09-11,1.0301221938050582,1.0316056128430589,california,santaclara,White
91,2020-09-12,1.0270774976657329,1.0313795011881202,california,santaclara,White
95,2020-09-16,0.9926610006915167,1.0304750545683645,california,santaclara,White
101,2020-09-22,0.9946007388462632,1.029118384638731,california,santaclara,White
105,2020-09-26,0.987747725027846,1.0282139380189754,california,santaclara,White
107,2020-09-28,0.9887182049040424,1.0277617147090972,california,santaclara,White
109,2020-09-30,0.9844517517151788,1.0273094913992198,california,santaclara,White
112,2020-10-03,0.9813735303931382,1.0266311564344028,california,santaclara,White
113,2020-10-04,0.9879920960632316,1.0264050447794641,california,santaclara,White
115,2020-10-06,0.9982859618391065,1.0259528214695859,california,santaclara,White
116,2020-10-07,1.0090910774130235,1.0257267098146472,california,santaclara,White
119,2020-10-10,0.9977847348089564,1.0250483748498302,california,santaclara,White
120,2020-10-11,0.9977847348089564,1.0248222631948911,california,santaclara,White
121,2020-10-12,1.011085833965262,1.0245961515399524,california,santaclara,White
122,2020-10-13,0.9902951079421668,1.0243700398850137,california,santaclara,White
123,2020-10-14,0.9542843767442698,1.0241439282300746,california,santaclara,White
124,2020-10-15,0.94388345710673,1.0239178165751355,california,santaclara,White
126,2020-10-17,0.9462229932187352,1.023465593265258,california,santaclara,White
127,2020-10-18,0.9462229932187352,1.023239481610319,california,santaclara,White
131,2020-10-22,0.9421950598421186,1.0223350349905633,california,santaclara,White
134,2020-10-25,0.934910046492824,1.0216567000257468,california,santaclara,White
136,2020-10-27,0.9587168200613579,1.0212044767158686,california,santaclara,White
138,2020-10-29,0.9706853038245,1.0207522534059907,california,santaclara,White
141,2020-11-01,0.9739527995106092,1.0200739184411738,california,santaclara,White
143,2020-11-03,0.975632971635256,1.0196216951312964,california,santaclara,White
145,2020-11-05,0.9634356887409052,1.0191694718214181,california,santaclara,White
148,2020-11-08,0.9727922176622588,1.0184911368566016,california,santaclara,White
150,2020-11-10,0.9893865803202015,1.0180389135467238,california,santaclara,White
151,2020-11-11,1.002673796791444,1.0178128018917851,california,santaclara,White
155,2020-11-15,1.0010010010010009,1.0169083552720295,california,santaclara,White
156,2020-11-16,1.0235264874033134,1.0166822436170904,california,santaclara,White
157,2020-11-17,1.0171839155088085,1.0164561319621512,california,santaclara,White
158,2020-11-18,1.0252466999871843,1.016230020307212,california,santaclara,White
159,2020-11-19,1.0252466999871843,1.0160039086522734,california,santaclara,White
162,2020-11-22,1.0234475359618291,1.0153255736874565,california,santaclara,White
163,2020-11-23,1.0356747981133925,1.0150994620325178,california,santaclara,White
164,2020-11-24,1.0356747981133925,1.014873350377579,california,santaclara,White
166,2020-11-26,1.0366891854781128,1.0144211270677008,california,santaclara,White
169,2020-11-29,1.0366891854781128,1.0137427921028843,california,santaclara,White
182,2020-12-12,1.0624021471706553,1.0108033405886783,california,santaclara,White
