time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,0.9885239954579441,-5.607921887602422,california,sacramento,White
2,2020-06-15,1.0002921382610148,-5.50286984658942,california,sacramento,White
3,2020-06-16,1.0017631561113989,-5.397817805576419,california,sacramento,White
4,2020-06-17,1.0120602810640855,-5.292765764563417,california,sacramento,White
5,2020-06-18,1.0238284238671564,-5.187713723550416,california,sacramento,White
6,2020-06-19,1.0297124952686918,-5.082661682537414,california,sacramento,White
7,2020-06-20,1.0532487808748332,-4.977609641524412,california,sacramento,White
8,2020-06-21,1.0767850664809748,-4.872557600511411,california,sacramento,White
9,2020-06-22,1.0914952449848132,-4.767505559498409,california,sacramento,White
10,2020-06-23,1.122386619842874,-4.662453518485408,california,sacramento,White
11,2020-06-24,1.1444518875986318,-4.557401477472406,california,sacramento,White
12,2020-06-25,1.162104101803238,-4.452349436459405,california,sacramento,White
13,2020-06-26,1.2018215837636017,-4.347297395446404,california,sacramento,White
15,2020-06-28,1.2312419407712791,-4.1371933134204,california,sacramento,White
16,2020-06-29,1.2827275655347132,-4.032141272407399,california,sacramento,White
17,2020-06-30,1.3150899582431577,-3.927089231394396,california,sacramento,White
19,2020-07-02,1.3724596544081278,-3.716985149368394,california,sacramento,White
20,2020-07-03,1.4974961716907549,-3.6119331083553914,california,sacramento,White
22,2020-07-05,1.54162670720227,-3.401829026329388,california,sacramento,White
23,2020-07-06,1.635771849626836,-3.2967769853163866,california,sacramento,White
25,2020-07-08,1.6607791530833609,-3.0866729032903835,california,sacramento,White
26,2020-07-09,1.7196198670987153,-2.981620862277382,california,sacramento,White
27,2020-07-10,1.7946417774682917,-2.8765688212643794,california,sacramento,White
28,2020-07-11,1.8358302772790391,-2.7715167802513787,california,sacramento,White
30,2020-07-13,1.8902579377432407,-2.5614126982253747,california,sacramento,White
31,2020-07-14,1.944685598207444,-2.456360657212374,california,sacramento,White
32,2020-07-15,2.0094103836243327,-2.3513086161993724,california,sacramento,White
33,2020-07-16,2.063838044088535,-2.24625657518637,california,sacramento,White
34,2020-07-17,2.1653382757650204,-2.1412045341733683,california,sacramento,White
36,2020-07-19,2.216823900528455,-1.9311004521473654,california,sacramento,White
37,2020-07-20,2.3006719180003343,-1.8260484111343638,california,sacramento,White
38,2020-07-21,2.408056221078355,-1.7209963701213622,california,sacramento,White
39,2020-07-22,2.481607113597548,-1.6159443291083606,california,sacramento,White
40,2020-07-23,2.5492739347152042,-1.5108922880953581,california,sacramento,White
41,2020-07-24,2.6287088986359315,-1.4058402470823566,california,sacramento,White
42,2020-07-25,2.6434190771397703,-1.3007882060693559,california,sacramento,White
43,2020-07-26,2.7463903266666394,-1.1957361650563534,california,sacramento,White
45,2020-07-28,2.8846660046027206,-0.9856320830303502,california,sacramento,White
46,2020-07-29,2.9067312723584786,-0.8805800420173482,california,sacramento,White
47,2020-07-30,2.9361516293661563,-0.775528001004347,california,sacramento,White
49,2020-08-01,3.0302967717907214,-0.5654239189783434,california,sacramento,White
50,2020-08-02,3.0405938967434083,-0.4603718779653418,california,sacramento,White
54,2020-08-06,3.333326448969794,-0.04016371391333545,california,sacramento,White
60,2020-08-12,3.598109662038886,0.5901485321646744,california,sacramento,White
61,2020-08-13,3.845240660903372,0.695200573177676,california,sacramento,White
62,2020-08-14,3.96292208893408,0.8002526141906776,california,sacramento,White
69,2020-08-21,4.411582533301154,1.5356169012816892,california,sacramento,White
72,2020-08-24,4.766097835243659,1.850773024320694,california,sacramento,White
73,2020-08-25,4.811699388605559,1.9558250653336955,california,sacramento,White
74,2020-08-26,4.8470038170147705,2.0608771063466977,california,sacramento,White
75,2020-08-27,4.888192316825519,2.1659291473596993,california,sacramento,White
76,2020-08-28,4.970569316447014,2.270981188372701,california,sacramento,White
79,2020-08-31,5.245649654468792,2.586137311411706,california,sacramento,White
80,2020-09-01,5.300077314932995,2.6911893524247077,california,sacramento,White
81,2020-09-02,5.330968689791057,2.7962413934377093,california,sacramento,White
82,2020-09-03,5.4045195823102485,2.901293434450711,california,sacramento,White
83,2020-09-04,5.4589472427744505,3.0063454754637124,california,sacramento,White
86,2020-09-07,5.597222920710531,3.3215015985027176,california,sacramento,White
87,2020-09-08,5.6384114205212805,3.4265536395157192,california,sacramento,White
88,2020-09-09,5.661947706127421,3.5316056805287204,california,sacramento,White
89,2020-09-10,5.729614527245077,3.636657721541722,california,sacramento,White
90,2020-09-11,5.8296437410711786,3.7417097625547244,california,sacramento,White
93,2020-09-14,5.917904812094211,4.056865885593729,california,sacramento,White
94,2020-09-15,5.9370280441492,4.161917926606731,california,sacramento,White
95,2020-09-16,5.963506365456111,4.266969967619732,california,sacramento,White
96,2020-09-17,6.013520972369161,4.372022008632734,california,sacramento,White
97,2020-09-18,6.078245757786049,4.4770740496457355,california,sacramento,White
100,2020-09-21,6.2091663464702105,4.79223017268474,california,sacramento,White
101,2020-09-22,6.248883828430575,4.897282213697742,california,sacramento,White
102,2020-09-23,6.282717238989402,5.0023342547107434,california,sacramento,White
103,2020-09-24,6.326847774500918,5.107386295723745,california,sacramento,White
104,2020-09-25,6.366565256461282,5.2124383367367475,california,sacramento,White
107,2020-09-28,6.447471238232392,5.527594459775751,california,sacramento,White
108,2020-09-29,6.487188720192759,5.632646500788754,california,sacramento,White
109,2020-09-30,6.523964166452353,5.737698541801755,california,sacramento,White
110,2020-10-01,6.557797577011183,5.842750582814758,california,sacramento,White
111,2020-10-02,6.590159969719628,5.947802623827759,california,sacramento,White
114,2020-10-05,6.707841397750335,6.262958746866764,california,sacramento,White
115,2020-10-06,6.734319719057244,6.368010787879766,california,sacramento,White
116,2020-10-07,6.77109516531684,6.473062828892767,california,sacramento,White
117,2020-10-08,6.797573486623747,6.578114869905768,california,sacramento,White
118,2020-10-09,6.850530129237567,6.68316691091877,california,sacramento,White
121,2020-10-12,6.932907128859062,6.998323033957775,california,sacramento,White
122,2020-10-13,6.953501378764438,7.103375074970777,california,sacramento,White
123,2020-10-14,6.988805807173648,7.2084271159837785,california,sacramento,White
124,2020-10-15,7.018226164181327,7.31347915699678,california,sacramento,White
125,2020-10-16,7.0638277175432265,7.418531198009782,california,sacramento,White
129,2020-10-20,7.31831380565963,7.838739362061788,california,sacramento,White
131,2020-10-22,7.427169126588034,8.04884344408779,california,sacramento,White
134,2020-10-25,7.483067804902621,8.363999567126795,california,sacramento,White
136,2020-10-27,7.66253198264945,8.574103649152798,california,sacramento,White
138,2020-10-29,7.787568499932077,8.784207731178801,california,sacramento,White
141,2020-11-01,7.859648374600887,9.099363854217806,california,sacramento,White
