time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,-0.3187550798649305,-2.09174691790162,california,sacramento,White
2,2020-06-15,-0.30698693706185964,-2.09174691790162,california,sacramento,White
3,2020-06-16,-0.3303597550282218,-2.09174691790162,california,sacramento,White
4,2020-06-17,-0.3863128589201905,-2.09174691790162,california,sacramento,White
5,2020-06-18,0.04158953381337138,-2.09174691790162,california,sacramento,White
6,2020-06-19,-0.4266295949546573,-2.09174691790162,california,sacramento,White
7,2020-06-20,-0.4527809809820074,-2.09174691790162,california,sacramento,White
8,2020-06-21,-0.4623698097981934,-2.09174691790162,california,sacramento,White
9,2020-06-22,-0.4973473029278466,-2.09174691790162,california,sacramento,White
10,2020-06-23,-0.052391997790690585,-2.09174691790162,california,sacramento,White
11,2020-06-24,-0.5106408891586833,-2.09174691790162,california,sacramento,White
12,2020-06-25,-0.5426763465875686,-2.09174691790162,california,sacramento,White
13,2020-06-26,-0.09303557365090054,-2.09174691790162,california,sacramento,White
15,2020-06-28,-0.5894764080976738,-2.09174691790162,california,sacramento,White
16,2020-06-29,-0.6042410121788948,-2.09174691790162,california,sacramento,White
17,2020-06-30,-0.6712539627374334,-2.09174691790162,california,sacramento,White
19,2020-07-02,-0.7629472814729379,-2.09174691790162,california,sacramento,White
20,2020-07-03,-0.7869737790907845,-2.09174691790162,california,sacramento,White
22,2020-07-05,-0.4033108207504119,-2.09174691790162,california,sacramento,White
23,2020-07-06,-0.8722926235054149,-2.09174691790162,california,sacramento,White
25,2020-07-08,-0.9425200240130821,-2.09174691790162,california,sacramento,White
26,2020-07-09,-0.9457888995395924,-2.09174691790162,california,sacramento,White
27,2020-07-10,-1.0281112826760717,-2.09174691790162,california,sacramento,White
28,2020-07-11,-1.020047897287652,-2.09174691790162,california,sacramento,White
30,2020-07-13,-1.1064019731183423,-2.09174691790162,california,sacramento,White
31,2020-07-14,-1.1265058201043765,-2.09174691790162,california,sacramento,White
32,2020-07-15,-1.1363125421377251,-2.09174691790162,california,sacramento,White
33,2020-07-16,-0.7671962946614101,-2.09174691790162,california,sacramento,White
34,2020-07-17,-1.1791353365310029,-2.09174691790162,california,sacramento,White
36,2020-07-19,-1.17733738340106,-2.09174691790162,california,sacramento,White
37,2020-07-20,-0.8616135649728873,-2.09174691790162,california,sacramento,White
38,2020-07-21,-1.2842310926521088,-2.09174691790162,california,sacramento,White
39,2020-07-22,-1.276930428977571,-2.09174691790162,california,sacramento,White
40,2020-07-23,-1.308638951126898,-2.09174691790162,california,sacramento,White
41,2020-07-24,-1.3948295593178075,-2.09174691790162,california,sacramento,White
42,2020-07-25,-1.0654307938018572,-2.09174691790162,california,sacramento,White
43,2020-07-26,-1.3848047531596652,-2.09174691790162,california,sacramento,White
45,2020-07-28,-1.4701235975742954,-2.09174691790162,california,sacramento,White
46,2020-07-29,-1.133369742806425,-2.09174691790162,california,sacramento,White
47,2020-07-30,-1.5014507588666786,-2.09174691790162,california,sacramento,White
49,2020-08-01,-1.5563686313425888,-2.09174691790162,california,sacramento,White
50,2020-08-02,-1.5791966208122292,-2.09174691790162,california,sacramento,White
54,2020-08-06,-1.6839654416537742,-2.09174691790162,california,sacramento,White
60,2020-08-12,-1.7504333728079589,-2.09174691790162,california,sacramento,White
61,2020-08-13,-1.801428403744421,-2.09174691790162,california,sacramento,White
62,2020-08-14,-1.816247433403024,-2.09174691790162,california,sacramento,White
69,2020-08-21,-1.8810262625820284,-2.09174691790162,california,sacramento,White
72,2020-08-24,-1.9240123337074542,-2.09174691790162,california,sacramento,White
73,2020-08-25,-1.994348680823701,-2.09174691790162,california,sacramento,White
74,2020-08-26,-2.025294481259145,-2.09174691790162,california,sacramento,White
75,2020-08-27,-1.9841059814483968,-2.09174691790162,california,sacramento,White
76,2020-08-28,-2.001104325093884,-2.09174691790162,california,sacramento,White
79,2020-08-31,-2.0572751312953823,-2.09174691790162,california,sacramento,White
80,2020-09-01,-2.0690976996758352,-2.09174691790162,california,sacramento,White
81,2020-09-02,-2.0713314392401005,-2.09174691790162,california,sacramento,White
82,2020-09-03,-2.0971558899878917,-2.09174691790162,california,sacramento,White
83,2020-09-04,-2.075853343946017,-2.09174691790162,california,sacramento,White
86,2020-09-07,-2.1363283525439023,-2.09174691790162,california,sacramento,White
87,2020-09-08,-2.1945151960001352,-2.09174691790162,california,sacramento,White
88,2020-09-09,-2.2041040248163224,-2.09174691790162,california,sacramento,White
89,2020-09-10,-1.8051860594753908,-2.09174691790162,california,sacramento,White
90,2020-09-11,-2.2185961191953663,-2.09174691790162,california,sacramento,White
93,2020-09-14,-2.2297103914393173,-2.09174691790162,california,sacramento,White
94,2020-09-15,-1.8627734579498885,-2.09174691790162,california,sacramento,White
95,2020-09-16,-2.200671395288582,-2.09174691790162,california,sacramento,White
96,2020-09-17,-1.8856558729969104,-2.09174691790162,california,sacramento,White
97,2020-09-18,-2.2349950178591174,-2.09174691790162,california,sacramento,White
100,2020-09-21,-2.2862625584977594,-2.09174691790162,california,sacramento,White
101,2020-09-22,-2.31279530538205,-2.09174691790162,california,sacramento,White
102,2020-09-23,-2.378337238090204,-2.09174691790162,california,sacramento,White
103,2020-09-24,-2.367331817001016,-2.09174691790162,california,sacramento,White
104,2020-09-25,-2.327614335040652,-2.09174691790162,california,sacramento,White
107,2020-09-28,-2.395771368170016,-2.09174691790162,california,sacramento,White
108,2020-09-29,-2.4057415578431405,-2.09174691790162,california,sacramento,White
109,2020-09-30,-2.4186537832170383,-2.09174691790162,california,sacramento,White
110,2020-10-01,-2.451070601502863,-2.09174691790162,california,sacramento,White
111,2020-10-02,-2.4518333232167477,-2.09174691790162,california,sacramento,White
114,2020-10-05,-2.499777467297677,-2.09174691790162,california,sacramento,White
115,2020-10-06,-2.0923603301340004,-2.09174691790162,california,sacramento,White
116,2020-10-07,-2.4862113713646643,-2.09174691790162,california,sacramento,White
117,2020-10-08,-2.1284819058344797,-2.09174691790162,california,sacramento,White
118,2020-10-09,-2.539276865133248,-2.09174691790162,california,sacramento,White
121,2020-10-12,-2.5397126515675708,-2.09174691790162,california,sacramento,White
122,2020-10-13,-2.187867257438919,-2.09174691790162,california,sacramento,White
123,2020-10-14,-2.566626759308804,-2.09174691790162,california,sacramento,White
124,2020-10-15,-2.537206402301125,-2.09174691790162,california,sacramento,White
125,2020-10-16,-2.5578550777838807,-2.09174691790162,california,sacramento,White
129,2020-10-20,-2.601495019468426,-2.09174691790162,california,sacramento,White
131,2020-10-22,-2.6582652706516603,-2.09174691790162,california,sacramento,White
134,2020-10-25,-2.7017419356040566,-2.09174691790162,california,sacramento,White
136,2020-10-27,-2.3897773001679172,-2.09174691790162,california,sacramento,White
138,2020-10-29,-2.6953672703755496,-2.09174691790162,california,sacramento,White
141,2020-11-01,-2.76406913200163,-2.09174691790162,california,sacramento,White
143,2020-11-03,-2.843449288529712,-2.09174691790162,california,sacramento,White
145,2020-11-05,-2.8710715014998107,-2.09174691790162,california,sacramento,White
148,2020-11-08,-2.869709334804192,-2.09174691790162,california,sacramento,White
150,2020-11-10,-2.9548099041863978,-2.09174691790162,california,sacramento,White
151,2020-11-11,-3.0162109112303104,-2.09174691790162,california,sacramento,White
155,2020-11-15,-3.0365870770108883,-2.09174691790162,california,sacramento,White
156,2020-11-16,-3.0103805017756247,-2.09174691790162,california,sacramento,White
157,2020-11-17,-2.900544375008544,-2.09174691790162,california,sacramento,White
158,2020-11-18,-2.842248298582275,-2.09174691790162,california,sacramento,White
162,2020-11-22,-2.8823469504919466,-2.09174691790162,california,sacramento,White
163,2020-11-23,-2.6971614053528303,-2.09174691790162,california,sacramento,White
166,2020-11-26,-2.618652439878135,-2.09174691790162,california,sacramento,White
169,2020-11-29,-2.6568985221728454,-2.09174691790162,california,sacramento,White
1,2020-06-14,-0.3954225356264613,1.4266127207814914,california,sacramento,Hispanic
2,2020-06-15,-0.3735816604241521,1.4266127207814914,california,sacramento,Hispanic
3,2020-06-16,-0.3465534176354135,1.4266127207814914,california,sacramento,Hispanic
4,2020-06-17,-0.3554713490740069,1.4266127207814914,california,sacramento,Hispanic
5,2020-06-18,0.09615432306023664,1.4266127207814914,california,sacramento,Hispanic
6,2020-06-19,-0.3233466891035541,1.4266127207814914,california,sacramento,Hispanic
7,2020-06-20,-0.2720203129263652,1.4266127207814914,california,sacramento,Hispanic
8,2020-06-21,-0.2478131299426309,1.4266127207814914,california,sacramento,Hispanic
9,2020-06-22,-0.2237878477683286,1.4266127207814914,california,sacramento,Hispanic
10,2020-06-23,0.2503384893171172,1.4266127207814914,california,sacramento,Hispanic
11,2020-06-24,-0.18356381000172586,1.4266127207814914,california,sacramento,Hispanic
12,2020-06-25,-0.15134819962655754,1.4266127207814914,california,sacramento,Hispanic
13,2020-06-26,0.3240977169566745,1.4266127207814914,california,sacramento,Hispanic
15,2020-06-28,-0.08982898908594072,1.4266127207814914,california,sacramento,Hispanic
16,2020-06-29,-0.027764076117029024,1.4266127207814914,california,sacramento,Hispanic
17,2020-06-30,0.07488867623734885,1.4266127207814914,california,sacramento,Hispanic
19,2020-07-02,0.19337638256516326,1.4266127207814914,california,sacramento,Hispanic
20,2020-07-03,0.2736425572889374,1.4266127207814914,california,sacramento,Hispanic
22,2020-07-05,0.7606008877333825,1.4266127207814914,california,sacramento,Hispanic
23,2020-07-06,0.4704848825826797,1.4266127207814914,california,sacramento,Hispanic
25,2020-07-08,0.4585639905296493,1.4266127207814914,california,sacramento,Hispanic
26,2020-07-09,0.5069783564971173,1.4266127207814914,california,sacramento,Hispanic
27,2020-07-10,0.6170938338146352,1.4266127207814914,california,sacramento,Hispanic
28,2020-07-11,0.6686930612059725,1.4266127207814914,california,sacramento,Hispanic
30,2020-07-13,0.6316554821220492,1.4266127207814914,california,sacramento,Hispanic
31,2020-07-14,0.7263907574897092,1.4266127207814914,california,sacramento,Hispanic
