time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,1.143529411764706,1.1267205337958914,california,imperial,Hispanic
2,2020-06-15,1.1423529411764706,1.1264782757914455,california,imperial,Hispanic
3,2020-06-16,1.143529411764706,1.1262360177869997,california,imperial,Hispanic
4,2020-06-17,1.1411764705882352,1.1259937597825536,california,imperial,Hispanic
5,2020-06-18,1.14,1.1257515017781077,california,imperial,Hispanic
6,2020-06-19,1.1411764705882352,1.1255092437736618,california,imperial,Hispanic
7,2020-06-20,1.1423529411764706,1.1252669857692157,california,imperial,Hispanic
10,2020-06-23,1.1423529411764706,1.1245402117558778,california,imperial,Hispanic
11,2020-06-24,1.1423529411764706,1.124297953751432,california,imperial,Hispanic
12,2020-06-25,1.1423529411764706,1.124055695746986,california,imperial,Hispanic
13,2020-06-26,1.1411764705882352,1.12381343774254,california,imperial,Hispanic
14,2020-06-27,1.1411764705882352,1.123571179738094,california,imperial,Hispanic
16,2020-06-29,1.1388235294117648,1.123086663729202,california,imperial,Hispanic
17,2020-06-30,1.14,1.1228444057247562,california,imperial,Hispanic
19,2020-07-02,1.14,1.1223598897158642,california,imperial,Hispanic
20,2020-07-03,1.1388235294117648,1.1221176317114183,california,imperial,Hispanic
22,2020-07-05,1.1388235294117648,1.1216331157025263,california,imperial,Hispanic
23,2020-07-06,1.1376470588235297,1.1213908576980804,california,imperial,Hispanic
25,2020-07-08,1.136470588235294,1.1209063416891885,california,imperial,Hispanic
26,2020-07-09,1.136470588235294,1.1206640836847426,california,imperial,Hispanic
27,2020-07-10,1.136470588235294,1.1204218256802967,california,imperial,Hispanic
30,2020-07-13,1.136470588235294,1.1196950516669588,california,imperial,Hispanic
31,2020-07-14,1.1294117647058823,1.119452793662513,california,imperial,Hispanic
32,2020-07-15,1.128235294117647,1.1192105356580668,california,imperial,Hispanic
33,2020-07-16,1.1247058823529412,1.118968277653621,california,imperial,Hispanic
34,2020-07-17,1.123529411764706,1.118726019649175,california,imperial,Hispanic
35,2020-07-18,1.1211764705882352,1.118483761644729,california,imperial,Hispanic
37,2020-07-20,1.1223529411764706,1.1179992456358372,california,imperial,Hispanic
39,2020-07-22,1.1223529411764706,1.1175147296269452,california,imperial,Hispanic
40,2020-07-23,1.12,1.1172724716224993,california,imperial,Hispanic
41,2020-07-24,1.1211764705882352,1.1170302136180532,california,imperial,Hispanic
42,2020-07-25,1.12,1.1167879556136073,california,imperial,Hispanic
45,2020-07-28,1.12,1.1160611816002695,california,imperial,Hispanic
46,2020-07-29,1.1176470588235294,1.1158189235958236,california,imperial,Hispanic
47,2020-07-30,1.1176470588235294,1.1155766655913775,california,imperial,Hispanic
49,2020-08-01,1.116470588235294,1.1150921495824857,california,imperial,Hispanic
54,2020-08-06,1.1141176470588234,1.1138808595602558,california,imperial,Hispanic
55,2020-08-07,1.1141176470588234,1.11363860155581,california,imperial,Hispanic
56,2020-08-08,1.1141176470588234,1.1133963435513639,california,imperial,Hispanic
60,2020-08-12,1.1141176470588234,1.11242731153358,california,imperial,Hispanic
62,2020-08-14,1.1141176470588234,1.1119427955246883,california,imperial,Hispanic
69,2020-08-21,1.112941176470588,1.1102469894935665,california,imperial,Hispanic
72,2020-08-24,1.112941176470588,1.1095202154802286,california,imperial,Hispanic
73,2020-08-25,1.112941176470588,1.1092779574757827,california,imperial,Hispanic
74,2020-08-26,1.1105882352941177,1.1090356994713368,california,imperial,Hispanic
75,2020-08-27,1.1094117647058823,1.1087934414668907,california,imperial,Hispanic
76,2020-08-28,1.108235294117647,1.1085511834624449,california,imperial,Hispanic
77,2020-08-29,1.108235294117647,1.108308925457999,california,imperial,Hispanic
79,2020-08-31,1.1070588235294117,1.107824409449107,california,imperial,Hispanic
80,2020-09-01,1.1058823529411763,1.107582151444661,california,imperial,Hispanic
81,2020-09-02,1.1058823529411763,1.107339893440215,california,imperial,Hispanic
82,2020-09-03,1.1058823529411763,1.1070976354357691,california,imperial,Hispanic
83,2020-09-04,1.1058823529411763,1.1068553774313232,california,imperial,Hispanic
84,2020-09-05,1.1058823529411763,1.1066131194268771,california,imperial,Hispanic
87,2020-09-08,1.1058823529411763,1.1058863454135393,california,imperial,Hispanic
88,2020-09-09,1.1047058823529412,1.1056440874090934,california,imperial,Hispanic
89,2020-09-10,1.1047058823529412,1.1054018294046475,california,imperial,Hispanic
90,2020-09-11,1.1047058823529412,1.1051595714002016,california,imperial,Hispanic
91,2020-09-12,1.1047058823529412,1.1049173133957555,california,imperial,Hispanic
93,2020-09-14,1.1047058823529412,1.1044327973868637,california,imperial,Hispanic
95,2020-09-16,1.1047058823529412,1.1039482813779717,california,imperial,Hispanic
96,2020-09-17,1.1047058823529412,1.1037060233735259,california,imperial,Hispanic
97,2020-09-18,1.1011764705882354,1.1034637653690798,california,imperial,Hispanic
98,2020-09-19,1.1011764705882354,1.1032215073646339,california,imperial,Hispanic
100,2020-09-21,1.1011764705882354,1.1027369913557419,california,imperial,Hispanic
101,2020-09-22,1.1011764705882354,1.102494733351296,california,imperial,Hispanic
102,2020-09-23,1.1011764705882354,1.1022524753468501,california,imperial,Hispanic
103,2020-09-24,1.1011764705882354,1.102010217342404,california,imperial,Hispanic
104,2020-09-25,1.1011764705882354,1.1017679593379581,california,imperial,Hispanic
105,2020-09-26,1.1,1.1015257013335122,california,imperial,Hispanic
107,2020-09-28,1.1,1.1010411853246203,california,imperial,Hispanic
108,2020-09-29,1.1,1.1007989273201744,california,imperial,Hispanic
109,2020-09-30,1.0988235294117648,1.1005566693157283,california,imperial,Hispanic
110,2020-10-01,1.0988235294117648,1.1003144113112824,california,imperial,Hispanic
111,2020-10-02,1.0988235294117648,1.1000721533068365,california,imperial,Hispanic
112,2020-10-03,1.0988235294117648,1.0998298953023904,california,imperial,Hispanic
114,2020-10-05,1.0988235294117648,1.0993453792934986,california,imperial,Hispanic
115,2020-10-06,1.0976470588235294,1.0991031212890525,california,imperial,Hispanic
