time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,2.17166980722634,10.778765427169535,california,riverside,Hispanic
2,2020-06-15,2.3136247336137585,10.785248527478256,california,riverside,Hispanic
3,2020-06-16,2.0880069142996645,10.791731627786977,california,riverside,Hispanic
4,2020-06-17,2.4630899476047348,10.798214728095697,california,riverside,Hispanic
5,2020-06-18,2.2374335531563987,10.804697828404418,california,riverside,Hispanic
6,2020-06-19,2.360219683837029,10.811180928713139,california,riverside,Hispanic
9,2020-06-22,2.0789539867771216,10.8306302296393,california,riverside,Hispanic
10,2020-06-23,2.13662220835967,10.837113329948021,california,riverside,Hispanic
11,2020-06-24,2.405481944472931,10.843596430256742,california,riverside,Hispanic
12,2020-06-25,2.8443334825121265,10.850079530565463,california,riverside,Hispanic
13,2020-06-26,2.9967702397943996,10.856562630874183,california,riverside,Hispanic
16,2020-06-29,3.0832373620579228,10.876011931800344,california,riverside,Hispanic
17,2020-06-30,2.310099265760587,10.882495032109064,california,riverside,Hispanic
19,2020-07-02,3.3624198724762264,10.895461232726506,california,riverside,Hispanic
20,2020-07-03,3.4678869551755738,10.901944333035226,california,riverside,Hispanic
23,2020-07-06,3.722828234822168,10.921393633961387,california,riverside,Hispanic
25,2020-07-08,4.108426442968471,10.934359834578828,california,riverside,Hispanic
26,2020-07-09,3.8220994071846537,10.940842934887549,california,riverside,Hispanic
27,2020-07-10,3.867322685994455,10.94732603519627,california,riverside,Hispanic
30,2020-07-13,4.040882674837311,10.966775336122431,california,riverside,Hispanic
31,2020-07-14,4.064934573133397,10.973258436431152,california,riverside,Hispanic
32,2020-07-15,3.5629964496726725,10.979741536739873,california,riverside,Hispanic
33,2020-07-16,3.5613610064935326,10.986224637048593,california,riverside,Hispanic
34,2020-07-17,4.228470769506977,10.992707737357314,california,riverside,Hispanic
37,2020-07-20,4.383047738082179,11.012157038283476,california,riverside,Hispanic
38,2020-07-21,4.452204949525873,11.018640138592197,california,riverside,Hispanic
39,2020-07-22,4.562393214592113,11.025123238900917,california,riverside,Hispanic
40,2020-07-23,4.135175585440163,11.031606339209638,california,riverside,Hispanic
41,2020-07-24,4.770661757955349,11.038089439518359,california,riverside,Hispanic
45,2020-07-28,5.065732943052526,11.06402184075324,california,riverside,Hispanic
46,2020-07-29,5.804293771013031,11.07050494106196,california,riverside,Hispanic
47,2020-07-30,5.3013218458531535,11.076988041370681,california,riverside,Hispanic
49,2020-08-01,5.375638245063639,11.089954241988123,california,riverside,Hispanic
54,2020-08-06,5.8208645467083935,11.122369743531724,california,riverside,Hispanic
55,2020-08-07,5.240804551460792,11.128852843840445,california,riverside,Hispanic
60,2020-08-12,6.370392763347808,11.161268345384048,california,riverside,Hispanic
61,2020-08-13,6.509566709292315,11.167751445692769,california,riverside,Hispanic
62,2020-08-14,4.668854268352797,11.17423454600149,california,riverside,Hispanic
69,2020-08-21,7.262535183408974,11.219616248162534,california,riverside,Hispanic
72,2020-08-24,7.455758030916141,11.239065549088695,california,riverside,Hispanic
73,2020-08-25,6.6295275596345755,11.245548649397415,california,riverside,Hispanic
74,2020-08-26,7.733202785139634,11.252031749706136,california,riverside,Hispanic
75,2020-08-27,5.610262498995571,11.258514850014857,california,riverside,Hispanic
76,2020-08-28,7.982308634939246,11.264997950323577,california,riverside,Hispanic
79,2020-08-31,8.2116084365833,11.284447251249738,california,riverside,Hispanic
80,2020-09-01,8.263837968509613,11.290930351558458,california,riverside,Hispanic
81,2020-09-02,8.348023336828284,11.297413451867179,california,riverside,Hispanic
82,2020-09-03,8.707591112164245,11.3038965521759,california,riverside,Hispanic
83,2020-09-04,9.717593529572984,11.31037965248462,california,riverside,Hispanic
87,2020-09-08,8.676497493733374,11.336312053719503,california,riverside,Hispanic
88,2020-09-09,7.7822109641829025,11.342795154028224,california,riverside,Hispanic
89,2020-09-10,9.190477946476602,11.349278254336944,california,riverside,Hispanic
90,2020-09-11,9.278185684364086,11.355761354645665,california,riverside,Hispanic
93,2020-09-14,8.134128271728077,11.375210655571827,california,riverside,Hispanic
94,2020-09-15,10.576322010593335,11.381693755880548,california,riverside,Hispanic
95,2020-09-16,10.72052267400978,11.388176856189268,california,riverside,Hispanic
96,2020-09-17,9.619766592388485,11.39465995649799,california,riverside,Hispanic
97,2020-09-18,10.941112762936136,11.40114305680671,california,riverside,Hispanic
100,2020-09-21,10.064352328417588,11.42059235773287,california,riverside,Hispanic
101,2020-09-22,11.244702097549773,11.42707545804159,california,riverside,Hispanic
102,2020-09-23,9.128169002603151,11.433558558350311,california,riverside,Hispanic
103,2020-09-24,11.512240274714468,11.440041658659032,california,riverside,Hispanic
104,2020-09-25,9.343695621204821,11.446524758967753,california,riverside,Hispanic
107,2020-09-28,10.559526331721788,11.465974059893913,california,riverside,Hispanic
108,2020-09-29,10.69261657094758,11.472457160202634,california,riverside,Hispanic
109,2020-09-30,10.677953442584801,11.478940260511354,california,riverside,Hispanic
110,2020-10-01,10.27080735896287,11.485423360820075,california,riverside,Hispanic
111,2020-10-02,10.67853819025776,11.491906461128796,california,riverside,Hispanic
