time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,0.9885239954579441,-3.8779327769071736,california,sacramento,White
2,2020-06-15,1.0002921382610148,-3.78485832268382,california,sacramento,White
3,2020-06-16,1.0017631561113989,-3.6917838684604645,california,sacramento,White
4,2020-06-17,1.0120602810640855,-3.5987094142371108,california,sacramento,White
5,2020-06-18,1.0238284238671564,-3.5056349600137553,california,sacramento,White
6,2020-06-19,1.0297124952686918,-3.4125605057904016,california,sacramento,White
7,2020-06-20,1.0532487808748332,-3.319486051567046,california,sacramento,White
8,2020-06-21,1.0767850664809748,-3.2264115973436924,california,sacramento,White
9,2020-06-22,1.0914952449848132,-3.133337143120337,california,sacramento,White
10,2020-06-23,1.122386619842874,-3.0402626888969833,california,sacramento,White
11,2020-06-24,1.1444518875986318,-2.947188234673628,california,sacramento,White
12,2020-06-25,1.162104101803238,-2.854113780450274,california,sacramento,White
13,2020-06-26,1.2018215837636017,-2.7610393262269186,california,sacramento,White
15,2020-06-28,1.2312419407712791,-2.5748904177802094,california,sacramento,White
16,2020-06-29,1.2827275655347132,-2.4818159635568557,california,sacramento,White
17,2020-06-30,1.3150899582431577,-2.3887415093335003,california,sacramento,White
19,2020-07-02,1.3724596544081278,-2.202592600886793,california,sacramento,White
20,2020-07-03,1.4974961716907549,-2.1095181466634374,california,sacramento,White
22,2020-07-05,1.54162670720227,-1.9233692382167282,california,sacramento,White
23,2020-07-06,1.635771849626836,-1.8302947839933745,california,sacramento,White
25,2020-07-08,1.6607791530833609,-1.6441458755466654,california,sacramento,White
26,2020-07-09,1.7196198670987153,-1.5510714213233117,california,sacramento,White
27,2020-07-10,1.7946417774682917,-1.4579969670999562,california,sacramento,White
28,2020-07-11,1.8358302772790391,-1.3649225128766025,california,sacramento,White
30,2020-07-13,1.8902579377432407,-1.1787736044298933,california,sacramento,White
31,2020-07-14,1.944685598207444,-1.0856991502065396,california,sacramento,White
32,2020-07-15,2.0094103836243327,-0.9926246959831841,california,sacramento,White
33,2020-07-16,2.063838044088535,-0.8995502417598304,california,sacramento,White
34,2020-07-17,2.1653382757650204,-0.806475787536475,california,sacramento,White
36,2020-07-19,2.216823900528455,-0.6203268790897658,california,sacramento,White
37,2020-07-20,2.3006719180003343,-0.5272524248664121,california,sacramento,White
38,2020-07-21,2.408056221078355,-0.43417797064305663,california,sacramento,White
39,2020-07-22,2.481607113597548,-0.34110351641970205,california,sacramento,White
40,2020-07-23,2.5492739347152042,-0.24802906219634746,california,sacramento,White
41,2020-07-24,2.6287088986359315,-0.15495460797299287,california,sacramento,White
42,2020-07-25,2.6434190771397703,-0.06188015374963829,california,sacramento,White
43,2020-07-26,2.7463903266666394,0.03119430047371541,california,sacramento,White
45,2020-07-28,2.8846660046027206,0.21734320892042458,california,sacramento,White
46,2020-07-29,2.9067312723584786,0.31041766314378005,california,sacramento,White
47,2020-07-30,2.9361516293661563,0.40349211736713375,california,sacramento,White
49,2020-08-01,3.0302967717907214,0.5896410258138429,california,sacramento,White
50,2020-08-02,3.0405938967434083,0.6827154800371966,california,sacramento,White
54,2020-08-06,3.333326448969794,1.055013296930615,california,sacramento,White
60,2020-08-12,3.598109662038886,1.6134600222707416,california,sacramento,White
61,2020-08-13,3.845240660903372,1.7065344764940962,california,sacramento,White
62,2020-08-14,3.96292208893408,1.7996089307174508,california,sacramento,White
69,2020-08-21,4.411582533301154,2.451130110280932,california,sacramento,White
72,2020-08-24,4.766097835243659,2.7303534729509957,california,sacramento,White
73,2020-08-25,4.811699388605559,2.8234279271743503,california,sacramento,White
74,2020-08-26,4.8470038170147705,2.916502381397705,california,sacramento,White
75,2020-08-27,4.888192316825519,3.009576835621059,california,sacramento,White
76,2020-08-28,4.970569316447014,3.1026512898444136,california,sacramento,White
79,2020-08-31,5.245649654468792,3.381874652514477,california,sacramento,White
80,2020-09-01,5.300077314932995,3.4749491067378315,california,sacramento,White
81,2020-09-02,5.330968689791057,3.568023560961186,california,sacramento,White
82,2020-09-03,5.4045195823102485,3.6610980151845407,california,sacramento,White
83,2020-09-04,5.4589472427744505,3.7541724694078953,california,sacramento,White
86,2020-09-07,5.597222920710531,4.033395832077959,california,sacramento,White
87,2020-09-08,5.6384114205212805,4.126470286301313,california,sacramento,White
88,2020-09-09,5.661947706127421,4.219544740524667,california,sacramento,White
89,2020-09-10,5.729614527245077,4.312619194748022,california,sacramento,White
90,2020-09-11,5.8296437410711786,4.4056936489713765,california,sacramento,White
93,2020-09-14,5.917904812094211,4.68491701164144,california,sacramento,White
94,2020-09-15,5.9370280441492,4.777991465864794,california,sacramento,White
95,2020-09-16,5.963506365456111,4.871065920088149,california,sacramento,White
96,2020-09-17,6.013520972369161,4.964140374311503,california,sacramento,White
97,2020-09-18,6.078245757786049,5.057214828534859,california,sacramento,White
100,2020-09-21,6.2091663464702105,5.3364381912049215,california,sacramento,White
101,2020-09-22,6.248883828430575,5.429512645428277,california,sacramento,White
102,2020-09-23,6.282717238989402,5.522587099651631,california,sacramento,White
103,2020-09-24,6.326847774500918,5.615661553874985,california,sacramento,White
104,2020-09-25,6.366565256461282,5.70873600809834,california,sacramento,White
107,2020-09-28,6.447471238232392,5.987959370768403,california,sacramento,White
108,2020-09-29,6.487188720192759,6.081033824991758,california,sacramento,White
109,2020-09-30,6.523964166452353,6.174108279215112,california,sacramento,White
110,2020-10-01,6.557797577011183,6.267182733438467,california,sacramento,White
111,2020-10-02,6.590159969719628,6.360257187661821,california,sacramento,White
114,2020-10-05,6.707841397750335,6.639480550331885,california,sacramento,White
115,2020-10-06,6.734319719057244,6.732555004555239,california,sacramento,White
116,2020-10-07,6.77109516531684,6.825629458778594,california,sacramento,White
117,2020-10-08,6.797573486623747,6.918703913001948,california,sacramento,White
118,2020-10-09,6.850530129237567,7.011778367225302,california,sacramento,White
121,2020-10-12,6.932907128859062,7.291001729895366,california,sacramento,White
122,2020-10-13,6.953501378764438,7.384076184118721,california,sacramento,White
123,2020-10-14,6.988805807173648,7.477150638342075,california,sacramento,White
124,2020-10-15,7.018226164181327,7.57022509256543,california,sacramento,White
125,2020-10-16,7.0638277175432265,7.6632995467887834,california,sacramento,White
129,2020-10-20,7.31831380565963,8.035597363682202,california,sacramento,White
131,2020-10-22,7.427169126588034,8.221746272128911,california,sacramento,White
134,2020-10-25,7.483067804902621,8.500969634798974,california,sacramento,White
136,2020-10-27,7.66253198264945,8.687118543245683,california,sacramento,White
138,2020-10-29,7.787568499932077,8.873267451692392,california,sacramento,White
141,2020-11-01,7.859648374600887,9.152490814362455,california,sacramento,White
143,2020-11-03,8.161207033929575,9.338639722809164,california,sacramento,White
145,2020-11-05,8.406867014943677,9.524788631255873,california,sacramento,White
148,2020-11-08,8.540729639328607,9.804011993925936,california,sacramento,White
150,2020-11-10,9.085006243970627,9.990160902372647,california,sacramento,White
151,2020-11-11,9.454231724416974,10.083235356596,california,sacramento,White
155,2020-11-15,9.616043687959195,10.455533173489417,california,sacramento,White
156,2020-11-16,10.42069045211916,10.548607627712773,california,sacramento,White
157,2020-11-17,10.679589593786716,10.641682081936128,california,sacramento,White
158,2020-11-18,10.953198913958113,10.73475653615948,california,sacramento,White
162,2020-11-22,11.153257341610317,11.107054353052899,california,sacramento,White
163,2020-11-23,12.207977140335533,11.200128807276254,california,sacramento,White
166,2020-11-26,12.518361906766524,11.479352169946317,california,sacramento,White
169,2020-11-29,12.927304869173234,11.75857553261638,california,sacramento,White
1,2020-06-14,0.9118565396964132,1.540996488125205,california,sacramento,Hispanic
2,2020-06-15,0.9336974148987224,1.6340709423485582,california,sacramento,Hispanic
3,2020-06-16,0.9855694935042072,1.7271453965719137,california,sacramento,Hispanic
4,2020-06-17,1.0429017909102691,1.8202198507952674,california,sacramento,Hispanic
5,2020-06-18,1.0783932131140217,1.9132943050186229,california,sacramento,Hispanic
6,2020-06-19,1.132995401119795,2.0063687592419766,california,sacramento,Hispanic
7,2020-06-20,1.2340094489304754,2.099443213465331,california,sacramento,Hispanic
8,2020-06-21,1.2913417463365373,2.1925176676886857,california,sacramento,Hispanic
9,2020-06-22,1.3650547001443312,2.2855921219120403,california,sacramento,Hispanic
10,2020-06-23,1.4251171069506818,2.378666576135395,california,sacramento,Hispanic
11,2020-06-24,1.4715289667555893,2.4717410303587495,california,sacramento,Hispanic
12,2020-06-25,1.5534322487642491,2.564815484582103,california,sacramento,Hispanic
13,2020-06-26,1.6189548743711768,2.6578899388054587,california,sacramento,Hispanic
15,2020-06-28,1.730889359783012,2.844038847252168,california,sacramento,Hispanic
16,2020-06-29,1.859204501596579,2.9371133014755215,california,sacramento,Hispanic
17,2020-06-30,2.06123259721794,3.030187755698877,california,sacramento,Hispanic
19,2020-07-02,2.328783318446229,3.2163366641455853,california,sacramento,Hispanic
20,2020-07-03,2.5581125080704767,3.30941111836894,california,sacramento,Hispanic
22,2020-07-05,2.7055384156860645,3.495560026815649,california,sacramento,Hispanic
23,2020-07-06,2.9785493557149305,3.5886344810390036,california,sacramento,Hispanic
25,2020-07-08,3.0577225283233016,3.774783389485713,california,sacramento,Hispanic
