time,date,y,y_pred,std_pred,state,county,ethnicity
0,2020-06-13,3.8349631399308,10.351166328183295,2.505671944487086,california,None,Hispanic
1,2020-06-14,3.87832182338283,10.432387467610635,2.5054805374434665,california,None,Hispanic
2,2020-06-15,3.94994394493693,10.513608607042318,2.505291543589332,california,None,Hispanic
4,2020-06-17,4.16159855526945,10.676050885894218,2.5049207977100427,california,None,Hispanic
5,2020-06-18,4.256281072911371,10.757272025323918,2.5047390467243207,california,None,Hispanic
6,2020-06-19,4.35629510274073,10.8384931647485,2.5045597111143074,california,None,Hispanic
8,2020-06-21,4.5246552647078095,11.0009354436062,2.5042082879461,california,None,Hispanic
9,2020-06-22,4.5831734285964005,11.082156583034262,2.504036201442334,california,None,Hispanic
10,2020-06-23,4.71209324739378,11.163377722464286,2.503866532309292,california,None,Hispanic
11,2020-06-24,4.88417904438341,11.244598861889774,2.5036992810617966,california,None,Hispanic
12,2020-06-25,5.0055833580490985,11.325820001321134,2.5035344481903135,california,None,Hispanic
13,2020-06-26,5.13456741193307,11.407041140748255,2.503372034101193,california,None,Hispanic
14,2020-06-27,5.19501262841954,11.488262280175633,2.503212039356525,california,None,Hispanic
16,2020-06-29,5.373778874415112,11.650704559030324,2.5028993096057315,california,None,Hispanic
18,2020-07-01,5.6939265460075985,11.813146837883812,2.50259626258457,california,None,Hispanic
19,2020-07-02,5.865755402650841,11.894367977314895,2.5024483711670413,california,None,Hispanic
21,2020-07-04,6.12674255948879,12.056810256167552,2.502159854768671,california,None,Hispanic
22,2020-07-05,6.2692802166444315,12.138031395598984,2.5020192305625284,california,None,Hispanic
23,2020-07-06,6.35631875898148,12.219252535025422,2.501881029621977,california,None,Hispanic
25,2020-07-08,6.5175488263364505,12.381694813881701,2.5016118990256273,california,None,Hispanic
26,2020-07-09,6.683018409406719,12.462915953309174,2.5014809701565364,california,None,Hispanic
27,2020-07-10,7.05519650114166,12.544137092737309,2.5013524660811113,california,None,Hispanic
29,2020-07-12,7.249186462660379,12.706579371594888,2.501102733814919,california,None,Hispanic
30,2020-07-13,7.440221610195709,12.787800511020393,2.5009815063286704,california,None,Hispanic
31,2020-07-14,7.603378730148551,12.869021650448552,2.5008627051267442,california,None,Hispanic
32,2020-07-15,7.8481786451644,12.95024278987653,2.500746330499082,california,None,Hispanic
33,2020-07-16,8.08449952874963,13.031463929305668,2.5006323828279626,california,None,Hispanic
34,2020-07-17,8.59741669521553,13.11268506873178,2.50052086240073,california,None,Hispanic
36,2020-07-19,8.84240931549117,13.275127347588656,2.5003051046557747,california,None,Hispanic
37,2020-07-20,8.99715163909998,13.356348487016026,2.5002008679399954,california,None,Hispanic
38,2020-07-21,9.20315356181209,13.437569626444178,2.500099059789012,california,None,Hispanic
39,2020-07-22,9.43632692615413,13.518790765870603,2.499999680414027,california,None,Hispanic
40,2020-07-23,9.696928672472499,13.600011905301644,2.49990273016482,california,None,Hispanic
41,2020-07-24,9.920466773825199,13.681233044728742,2.4998082093171607,california,None,Hispanic
42,2020-07-25,10.180811579797199,13.762454184155217,2.499716118148014,california,None,Hispanic
43,2020-07-26,10.4697409993042,13.843675323585106,2.4996264569070514,california,None,Hispanic
45,2020-07-28,10.7690122677531,14.006117602441966,2.499454425225489,california,None,Hispanic
46,2020-07-29,10.9455302857179,14.087338741868528,2.4993720553472514,california,None,Hispanic
47,2020-07-30,11.3392271314623,14.168559881293806,2.499292116375778,california,None,Hispanic
49,2020-08-01,11.8954387462937,14.331002160149879,2.499139532201594,california,None,Hispanic
50,2020-08-02,12.1670889275065,14.412223299578704,2.4990668874672077,california,None,Hispanic
54,2020-08-06,13.2081469759615,14.737107857290798,2.498800628723558,california,None,Hispanic
60,2020-08-12,14.5630576575225,15.224434693859497,2.4984742219804135,california,None,Hispanic
62,2020-08-14,15.1402099105841,15.386876972713482,2.498384886633859,california,None,Hispanic
69,2020-08-21,16.2577077120878,15.955424948709275,2.4981488841230473,california,None,Hispanic
71,2020-08-23,16.7115928339723,16.11786722756677,2.4981033641437955,california,None,Hispanic
72,2020-08-24,16.8364016072276,16.199088366993433,2.4980842560997467,california,None,Hispanic
73,2020-08-25,17.114154121667,16.28030950641933,2.4980675827285777,california,None,Hispanic
