time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,0.031039890102084,-0.05578960124910218,california,sanfrancisco,White
46,2020-07-29,0.033861698293183,-0.010393709475454094,california,sanfrancisco,White
61,2020-08-13,0.036683506484281,0.004738254449095258,california,sanfrancisco,White
62,2020-08-14,0.03950531467538,0.005747052044065198,california,sanfrancisco,White
70,2020-08-22,0.045148931057576634,0.013817432803824886,california,sanfrancisco,White
73,2020-08-25,0.04797073924867517,0.016843825588734734,california,sanfrancisco,White
74,2020-08-26,0.045148931057576634,0.017852623183704702,california,sanfrancisco,White
97,2020-09-18,0.04797073924867517,0.041054967868013714,california,sanfrancisco,White
108,2020-09-29,0.0507925474397737,0.05215174141268325,california,sanfrancisco,White
109,2020-09-30,0.05361435563087225,0.05316053900765319,california,sanfrancisco,White
115,2020-10-06,0.05643616382197076,0.05921332457747294,california,sanfrancisco,White
117,2020-10-08,0.07054520477746347,0.06123091976741285,california,sanfrancisco,White
118,2020-10-09,0.07336701296856203,0.06223971736238282,california,sanfrancisco,White
123,2020-10-14,0.07618882115966055,0.0672837053372326,california,sanfrancisco,White
124,2020-10-15,0.0790106293507591,0.06829250293220254,california,sanfrancisco,White
131,2020-10-22,0.08465424573295617,0.07535408609699226,california,sanfrancisco,White
136,2020-10-27,0.08747605392405472,0.08039807407184205,california,sanfrancisco,White
138,2020-10-29,0.09029786211515324,0.08241566926178195,california,sanfrancisco,White
145,2020-11-05,0.09594147849735034,0.08947725242657165,california,sanfrancisco,White
162,2020-11-22,0.09876328668844887,0.10662681154106093,california,sanfrancisco,White
164,2020-11-24,0.1015850948795474,0.10864440673100084,california,sanfrancisco,White
1,2020-06-14,0.059703520674821986,0.12780770172710734,california,sanfrancisco,Hispanic
14,2020-06-27,0.067166460759175,0.1409220704617168,california,sanfrancisco,Hispanic
37,2020-07-20,0.08955528101223299,0.1641244151460258,california,sanfrancisco,Hispanic
40,2020-07-23,0.097018221096585,0.16715080793093567,california,sanfrancisco,Hispanic
41,2020-07-24,0.104481161180938,0.16815960552590561,california,sanfrancisco,Hispanic
49,2020-08-01,0.111944101265291,0.17622998628566527,california,sanfrancisco,Hispanic
55,2020-08-07,0.119407041349643,0.18228277185548503,california,sanfrancisco,Hispanic
62,2020-08-14,0.111944101265291,0.18934435502027472,california,sanfrancisco,Hispanic
70,2020-08-22,0.1417958616027016,0.19741473578003438,california,sanfrancisco,Hispanic
73,2020-08-25,0.15672174177140705,0.20044112856494425,california,sanfrancisco,Hispanic
74,2020-08-26,0.17164762194011246,0.20144992615991422,california,sanfrancisco,Hispanic
80,2020-09-01,0.17911056202446518,0.20750271172973395,california,sanfrancisco,Hispanic
91,2020-09-12,0.1865735021088179,0.21859948527440348,california,sanfrancisco,Hispanic
96,2020-09-17,0.19403644219317065,0.22364347324925327,california,sanfrancisco,Hispanic
97,2020-09-18,0.2014993822775233,0.22465227084422323,california,sanfrancisco,Hispanic
104,2020-09-25,0.20896232236187606,0.23171385400901293,california,sanfrancisco,Hispanic
108,2020-09-29,0.2164252624462288,0.23574904438889274,california,sanfrancisco,Hispanic
109,2020-09-30,0.22388820253058148,0.2367578419838627,california,sanfrancisco,Hispanic
115,2020-10-06,0.2313511426149342,0.24281062755368246,california,sanfrancisco,Hispanic
117,2020-10-08,0.2388140826992869,0.24482822274362234,california,sanfrancisco,Hispanic
125,2020-10-16,0.24627702278363964,0.252898603503382,california,sanfrancisco,Hispanic
131,2020-10-22,0.25373996286799233,0.25895138907320175,california,sanfrancisco,Hispanic
136,2020-10-27,0.2761287831210505,0.26399537704805154,california,sanfrancisco,Hispanic
143,2020-11-03,0.2835917232054032,0.2710569602128412,california,sanfrancisco,Hispanic
155,2020-11-15,0.29105466328975593,0.2831625313524807,california,sanfrancisco,Hispanic
1,2020-06-14,0.063020382934534,0.029146917478132015,california,sanfrancisco,Asian
2,2020-06-15,0.066171402081261,0.030155715073101982,california,sanfrancisco,Asian
4,2020-06-17,0.069322421227988,0.03217331026304189,california,sanfrancisco,Asian
16,2020-06-29,0.07247344037471401,0.04427888140268138,california,sanfrancisco,Asian
39,2020-07-22,0.07562445952144099,0.06748122608699038,california,sanfrancisco,Asian
41,2020-07-24,0.078775478668168,0.06949882127693029,california,sanfrancisco,Asian
47,2020-07-30,0.08192649781489399,0.07555160684675004,california,sanfrancisco,Asian
55,2020-08-07,0.08507751696162101,0.0836219876065097,california,sanfrancisco,Asian
70,2020-08-22,0.09137955525507437,0.09875395153105905,california,sanfrancisco,Asian
83,2020-09-04,0.09453057440180107,0.1118683202656685,california,sanfrancisco,Asian
88,2020-09-09,0.09768159354852778,0.11691230824051828,california,sanfrancisco,Asian
89,2020-09-10,0.10083261269525448,0.11792110583548823,california,sanfrancisco,Asian
96,2020-09-17,0.11343668928216127,0.12498268900027794,california,sanfrancisco,Asian
97,2020-09-18,0.11658770842888798,0.1259914865952479,california,sanfrancisco,Asian
98,2020-09-19,0.1228897467223414,0.12700028419021786,california,sanfrancisco,Asian
104,2020-09-25,0.1260407658690681,0.1330530697600376,california,sanfrancisco,Asian
108,2020-09-29,0.1291917850157948,0.13708826013991743,california,sanfrancisco,Asian
112,2020-10-03,0.1323428041625215,0.14112345051979724,california,sanfrancisco,Asian
114,2020-10-05,0.1354938233092482,0.14314104570973718,california,sanfrancisco,Asian
115,2020-10-06,0.1417958616027016,0.14414984330470712,california,sanfrancisco,Asian
116,2020-10-07,0.1449468807494283,0.1451586408996771,california,sanfrancisco,Asian
118,2020-10-09,0.14809789989615502,0.147176236089617,california,sanfrancisco,Asian
123,2020-10-14,0.1512489190428817,0.15222022406446678,california,sanfrancisco,Asian
124,2020-10-15,0.1543999381896084,0.15322902165943675,california,sanfrancisco,Asian
125,2020-10-16,0.15755095733633512,0.1542378192544067,california,sanfrancisco,Asian
131,2020-10-22,0.16700401477651522,0.16029060482422644,california,sanfrancisco,Asian
136,2020-10-27,0.17330605306996866,0.16533459279907622,california,sanfrancisco,Asian
141,2020-11-01,0.17645707221669532,0.17037858077392604,california,sanfrancisco,Asian
150,2020-11-10,0.17960809136342204,0.17945775912865564,california,sanfrancisco,Asian
151,2020-11-11,0.1827591105101488,0.1804665567236256,california,sanfrancisco,Asian
155,2020-11-15,0.18591012965687545,0.18450174710350542,california,sanfrancisco,Asian
162,2020-11-22,0.1890611488036021,0.1915633302682951,california,sanfrancisco,Asian
164,2020-11-24,0.1922121679503289,0.19358092545823502,california,sanfrancisco,Asian
1,2020-06-14,0.081026206630115,0.05414064723424411,california,sanfrancisco,Black
4,2020-06-17,0.101282758287644,0.05716704001915396,california,sanfrancisco,Black
41,2020-07-24,0.121539309945173,0.09449255103304238,california,sanfrancisco,Black
55,2020-08-07,0.141795861602702,0.1086157173626218,california,sanfrancisco,Black
61,2020-08-13,0.16205241326023,0.11466850293244155,california,sanfrancisco,Black
70,2020-08-22,0.16205241326023045,0.12374768128717116,california,sanfrancisco,Black
90,2020-09-11,0.1823089649177592,0.1439236331865703,california,sanfrancisco,Black
97,2020-09-18,0.16205241326023045,0.15098521635136,california,sanfrancisco,Black
114,2020-10-05,0.1823089649177592,0.16813477546584926,california,sanfrancisco,Black
115,2020-10-06,0.16205241326023045,0.16914357306081923,california,sanfrancisco,Black
138,2020-10-29,0.1823089649177592,0.19234591774512821,california,sanfrancisco,Black
54,2020-08-06,0.025208153173814,0.016770392234942477,california,sanfrancisco,Multi-Race
70,2020-08-22,0.025208153173813617,0.0329111537544618,california,sanfrancisco,Multi-Race
