time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,0.2661771603766082,0.2565490794369999,california,imperial,Hispanic
2,2020-06-15,0.2986377896908287,0.27646993454194724,california,imperial,Hispanic
3,2020-06-16,0.3246062931422051,0.2963907896468946,california,imperial,Hispanic
4,2020-06-17,0.3310984190050493,0.3163116447518419,california,imperial,Hispanic
5,2020-06-18,0.37005117418211386,0.33623249985678927,california,imperial,Hispanic
6,2020-06-19,0.3765433000449579,0.35615335496173667,california,imperial,Hispanic
10,2020-06-23,0.3895275517706462,0.43583677538152604,california,imperial,Hispanic
11,2020-06-24,0.4025118034963344,0.45575763048647344,california,imperial,Hispanic
12,2020-06-25,0.4219881810848667,0.4756784855914208,california,imperial,Hispanic
14,2020-06-27,0.4739251879876195,0.5155201958013155,california,imperial,Hispanic
17,2020-06-30,0.5453385724789046,0.5752827611161575,california,imperial,Hispanic
19,2020-07-02,0.5907834535188133,0.6151244713260522,california,imperial,Hispanic
20,2020-07-03,0.6232440828330339,0.6350453264309996,california,imperial,Hispanic
22,2020-07-05,0.6881653414614749,0.6748870366408943,california,imperial,Hispanic
23,2020-07-06,0.7336102225013836,0.6948078917458417,california,imperial,Hispanic
25,2020-07-08,0.7660708518156042,0.7346496019557364,california,imperial,Hispanic
26,2020-07-09,0.7790551035412924,0.7545704570606837,california,imperial,Hispanic
1,2020-06-14,0.02787023728998731,0.03077183577606918,california,imperial,Non-Hispanic
