time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,1.148235294117647,1.1497658506631954,california,imperial,Hispanic
2,2020-06-15,1.151764705882353,1.152719021343906,california,imperial,Hispanic
3,2020-06-16,1.152941176470588,1.1534607693583045,california,imperial,Hispanic
4,2020-06-17,1.1541176470588237,1.153188888263489,california,imperial,Hispanic
5,2020-06-18,1.156470588235294,1.1545521718481933,california,imperial,Hispanic
6,2020-06-19,1.156470588235294,1.1553873013470137,california,imperial,Hispanic
10,2020-06-23,1.1576470588235297,1.158011794570886,california,imperial,Hispanic
11,2020-06-24,1.1576470588235297,1.1579103260879928,california,imperial,Hispanic
12,2020-06-25,1.1588235294117648,1.158993169093823,california,imperial,Hispanic
14,2020-06-27,1.16,1.159537992329252,california,imperial,Hispanic
17,2020-06-30,1.1623529411764706,1.162203595572668,california,imperial,Hispanic
19,2020-07-02,1.163529411764706,1.16385185897723,california,imperial,Hispanic
20,2020-07-03,1.1647058823529413,1.1656258914956665,california,imperial,Hispanic
22,2020-07-05,1.1658823529411766,1.164828071502689,california,imperial,Hispanic
23,2020-07-06,1.1658823529411766,1.1662030960471785,california,imperial,Hispanic
25,2020-07-08,1.1670588235294117,1.1665320548897866,california,imperial,Hispanic
26,2020-07-09,1.1670588235294117,1.16781638190285,california,imperial,Hispanic
