time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,14.087913122371704,26.318979355315033,california,imperial,Hispanic
2,2020-06-15,14.152834381000144,26.444086774772426,california,imperial,Hispanic
3,2020-06-16,14.315137527571249,26.418300505844808,california,imperial,Hispanic
4,2020-06-17,14.944873736267125,26.38715430017616,california,imperial,Hispanic
5,2020-06-18,15.457751679431805,26.64067647818086,california,imperial,Hispanic
6,2020-06-19,16.509476069212553,27.01108386751448,california,imperial,Hispanic
7,2020-06-20,17.308007550342378,26.953788778666812,california,imperial,Hispanic
10,2020-06-23,17.502771326227702,26.835808972026122,california,imperial,Hispanic
11,2020-06-24,18.29481068149468,26.90600799614425,california,imperial,Hispanic
12,2020-06-25,18.716798862579545,27.07517199700497,california,imperial,Hispanic
13,2020-06-26,19.06088153331029,27.611251458759085,california,imperial,Hispanic
14,2020-06-27,19.58674372820066,27.519037656854543,california,imperial,Hispanic
16,2020-06-29,19.690617742006165,27.414876790590693,california,imperial,Hispanic
17,2020-06-30,19.85941301444011,27.45402983166778,california,imperial,Hispanic
19,2020-07-02,20.846216145592415,27.861151165250593,california,imperial,Hispanic
20,2020-07-03,21.60579487154517,28.127507737241846,california,imperial,Hispanic
22,2020-07-05,21.94338541641307,27.977823940601915,california,imperial,Hispanic
23,2020-07-06,22.871759414799772,28.037528102740758,california,imperial,Hispanic
25,2020-07-08,23.42359011314152,27.961591036394157,california,imperial,Hispanic
26,2020-07-09,23.68976727351813,28.18504863975048,california,imperial,Hispanic
27,2020-07-10,24.05981844770025,28.539667990698568,california,imperial,Hispanic
30,2020-07-13,24.722015285710345,28.534098039237733,california,imperial,Hispanic
31,2020-07-14,24.76746016675025,28.59024882315355,california,imperial,Hispanic
32,2020-07-15,25.03363732712686,28.4739123590007,california,imperial,Hispanic
33,2020-07-16,25.70881841686265,28.789617757610568,california,imperial,Hispanic
34,2020-07-17,25.95551919965073,28.9850546745038,california,imperial,Hispanic
35,2020-07-18,26.260649115204398,28.84756259941642,california,imperial,Hispanic
37,2020-07-20,26.44242863936403,28.988358080496052,california,imperial,Hispanic
39,2020-07-22,26.611223911797985,28.985406087667926,california,imperial,Hispanic
40,2020-07-23,27.15007035841404,29.237131051876148,california,imperial,Hispanic
41,2020-07-24,27.41624751879065,29.408219944773403,california,imperial,Hispanic
42,2020-07-25,27.64347192399019,29.295868604797658,california,imperial,Hispanic
45,2020-07-28,28.149857741292035,29.566249101524186,california,imperial,Hispanic
46,2020-07-29,28.532893167199834,29.53220034719542,california,imperial,Hispanic
47,2020-07-30,29.019802606913142,29.827566489310286,california,imperial,Hispanic
49,2020-08-01,29.44828291386085,29.94485086564809,california,imperial,Hispanic
54,2020-08-06,30.31822777948196,30.31285175027235,california,imperial,Hispanic
55,2020-08-07,30.642834072624165,30.527312899623666,california,imperial,Hispanic
56,2020-08-08,30.850582100235176,30.39133656294469,california,imperial,Hispanic
60,2020-08-12,31.253093903731518,30.484033943654314,california,imperial,Hispanic
62,2020-08-14,31.421889176165447,30.976448386973757,california,imperial,Hispanic
69,2020-08-21,31.759479721033355,31.573118200580662,california,imperial,Hispanic
72,2020-08-24,31.869845860701695,31.614622970699156,california,imperial,Hispanic
73,2020-08-25,31.96073562278152,31.79614021110523,california,imperial,Hispanic
74,2020-08-26,32.05162538486134,31.698059366635274,california,imperial,Hispanic
75,2020-08-27,32.18146790211822,31.804076783886867,california,imperial,Hispanic
76,2020-08-28,32.317802545237946,32.04237805650976,california,imperial,Hispanic
77,2020-08-29,32.44115293663198,32.103946862158814,california,imperial,Hispanic
79,2020-08-31,32.48010569180905,32.1207333999167,california,imperial,Hispanic
80,2020-09-01,32.603456083203085,32.21993696841867,california,imperial,Hispanic
81,2020-09-02,32.668377341831516,32.16011351263817,california,imperial,Hispanic
82,2020-09-03,32.72680647459713,32.33239495007501,california,imperial,Hispanic
83,2020-09-04,32.798219859088405,32.69679564373969,california,imperial,Hispanic
84,2020-09-05,32.84366474012832,32.681314583806085,california,imperial,Hispanic
87,2020-09-08,32.85664899185401,32.642569988508214,california,imperial,Hispanic
88,2020-09-09,32.94104662807098,32.63363887500293,california,imperial,Hispanic
89,2020-09-10,33.22670016603612,32.87084810232948,california,imperial,Hispanic
90,2020-09-11,33.30460567639025,33.53193133640538,california,imperial,Hispanic
91,2020-09-12,33.408479690195755,33.382976714584586,california,imperial,Hispanic
93,2020-09-14,33.62921196953245,33.581712519605226,california,imperial,Hispanic
95,2020-09-16,33.72659385747512,33.49530621193726,california,imperial,Hispanic
96,2020-09-17,34.03172377302879,33.72338073689791,california,imperial,Hispanic
97,2020-09-18,34.26544030409118,33.94334776796602,california,imperial,Hispanic
98,2020-09-19,34.310885185131085,33.87694778812046,california,imperial,Hispanic
100,2020-09-21,34.414759198936586,34.13219583611346,california,imperial,Hispanic
101,2020-09-22,34.421251324799435,34.2166281544257,california,imperial,Hispanic
102,2020-09-23,34.73287336621595,34.18848437960584,california,imperial,Hispanic
103,2020-09-24,35.012034778318245,34.36703324206773,california,imperial,Hispanic
104,2020-09-25,35.26522768696917,34.669172093255355,california,imperial,Hispanic
105,2020-09-26,35.34962532318614,34.40824800881781,california,imperial,Hispanic
107,2020-09-28,35.3431331973233,34.7755975664913,california,imperial,Hispanic
108,2020-09-29,35.34962532318614,34.775952047955236,california,imperial,Hispanic
109,2020-09-30,35.375593826637534,34.786617522944454,california,imperial,Hispanic
110,2020-10-01,35.628786735288436,35.06849985721747,california,imperial,Hispanic
111,2020-10-02,35.65475523873982,35.44021146181484,california,imperial,Hispanic
112,2020-10-03,35.77810563013385,35.24554879819118,california,imperial,Hispanic
114,2020-10-05,35.79108988185954,35.480451268316905,california,imperial,Hispanic
115,2020-10-06,35.88197964393936,35.48875511445453,california,imperial,Hispanic
116,2020-10-07,35.90794814739073,35.32138793959046,california,imperial,Hispanic
117,2020-10-08,35.94040877670496,35.64036541914886,california,imperial,Hispanic
