time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,5.492259272297325,5.655041573250075,california,alameda,Hispanic
2,2020-06-15,5.56470235991434,5.747500417667942,california,alameda,Hispanic
3,2020-06-16,5.696173148552624,5.74004146272071,california,alameda,Hispanic
4,2020-06-17,5.835693169148357,5.83145390698411,california,alameda,Hispanic
5,2020-06-18,6.0530224319993975,6.11712114915386,california,alameda,Hispanic
6,2020-06-19,6.224739380424912,6.228254211713001,california,alameda,Hispanic
7,2020-06-20,6.412554792765317,6.290072313146177,california,alameda,Hispanic
9,2020-06-22,6.678179447361036,6.717728007045289,california,alameda,Hispanic
10,2020-06-23,6.884776400935483,6.8432155332618745,california,alameda,Hispanic
11,2020-06-24,7.212111833871622,7.179512444443974,california,alameda,Hispanic
12,2020-06-25,7.4079764781694735,7.367435179877143,california,alameda,Hispanic
13,2020-06-26,7.644087282254557,7.383131182194149,california,alameda,Hispanic
16,2020-06-29,7.949958096637506,8.067396390896635,california,alameda,Hispanic
17,2020-06-30,8.239730447105563,8.269458943801727,california,alameda,Hispanic
19,2020-07-02,9.066118261403352,8.972988647655711,california,alameda,Hispanic
20,2020-07-03,9.181490586126746,9.10687420588123,california,alameda,Hispanic
22,2020-07-05,9.514192173701181,9.378455292125455,california,alameda,Hispanic
23,2020-07-06,9.538339869573518,9.443144286290128,california,alameda,Hispanic
25,2020-07-08,9.806647601488383,9.972434949038597,california,alameda,Hispanic
26,2020-07-09,10.042758405573467,10.088665858504122,california,alameda,Hispanic
27,2020-07-10,10.485466163232998,10.361025037170894,california,alameda,Hispanic
30,2020-07-13,10.794020054935093,11.668810584070336,california,alameda,Hispanic
31,2020-07-14,11.242093967232924,11.312712562272909,california,alameda,Hispanic
32,2020-07-15,11.470155539360562,11.546945212234602,california,alameda,Hispanic
33,2020-07-16,11.802857126934994,11.902989572485621,california,alameda,Hispanic
34,2020-07-17,12.097995632041345,12.05149790210051,california,alameda,Hispanic
35,2020-07-18,12.481675688679607,12.522887756301731,california,alameda,Hispanic
36,2020-07-19,12.650709559785971,12.659778361124696,california,alameda,Hispanic
37,2020-07-20,12.680223410296607,13.249518755873575,california,alameda,Hispanic
38,2020-07-21,12.800961889658304,12.709656768487676,california,alameda,Hispanic
39,2020-07-22,13.042438848381677,13.011690782304232,california,alameda,Hispanic
40,2020-07-23,13.259768111232722,13.302348548287602,california,alameda,Hispanic
41,2020-07-24,13.734672796722036,13.537681259950125,california,alameda,Hispanic
42,2020-07-25,13.957368214211376,13.962814861169228,california,alameda,Hispanic
43,2020-07-26,14.070057461615619,14.061552106513908,california,alameda,Hispanic
45,2020-07-28,14.429589822381539,14.657946533014297,california,alameda,Hispanic
46,2020-07-29,14.759608332636828,14.749305315731307,california,alameda,Hispanic
47,2020-07-30,15.25866071399848,15.053834591454683,california,alameda,Hispanic
49,2020-08-01,15.891866961317566,15.581730053997184,california,alameda,Hispanic
50,2020-08-02,15.977725435530324,15.688516531299312,california,alameda,Hispanic
54,2020-08-06,16.661910151913233,16.15467438472817,california,alameda,Hispanic
62,2020-08-14,19.73671675965761,20.376603869501377,california,alameda,Hispanic
64,2020-08-16,20.26528299152989,20.589774362507725,california,alameda,Hispanic
69,2020-08-21,21.703412434593588,21.735206900825528,california,alameda,Hispanic
71,2020-08-23,21.773172444891447,21.642533410222114,california,alameda,Hispanic
72,2020-08-24,21.775855522210602,21.971559181869303,california,alameda,Hispanic
73,2020-08-25,22.105874032465888,22.145878715294394,california,alameda,Hispanic
74,2020-08-26,22.392963305614792,22.400395429788844,california,alameda,Hispanic
75,2020-08-27,22.792741826167944,22.690006795617734,california,alameda,Hispanic
76,2020-08-28,23.17373880548705,23.02015945973899,california,alameda,Hispanic
77,2020-08-29,23.176421882806203,23.087907162047475,california,alameda,Hispanic
78,2020-08-30,23.498391161104042,23.32495704319427,california,alameda,Hispanic
79,2020-08-31,23.616446563146585,23.584008158358063,california,alameda,Hispanic
80,2020-09-01,23.83645890331677,23.806435268115482,california,alameda,Hispanic
81,2020-09-02,24.094034325955054,24.10602768157164,california,alameda,Hispanic
82,2020-09-03,24.33282820735928,24.414125450129458,california,alameda,Hispanic
83,2020-09-04,24.56357285680607,24.6005993238103,california,alameda,Hispanic
84,2020-09-05,24.85871136191241,24.740709621416222,california,alameda,Hispanic
85,2020-09-06,25.003597537146447,24.95487285303074,california,alameda,Hispanic
86,2020-09-07,25.108237552593245,25.06632788486814,california,alameda,Hispanic
87,2020-09-08,25.32288373812514,25.287064655914495,california,alameda,Hispanic
88,2020-09-09,25.430206830891084,25.49229324005621,california,alameda,Hispanic
89,2020-09-10,25.736077645274033,25.633879230187677,california,alameda,Hispanic
90,2020-09-11,25.84340073803998,25.819226211394465,california,alameda,Hispanic
91,2020-09-12,25.85413304731657,25.884639636435313,california,alameda,Hispanic
92,2020-09-13,26.100976160678247,26.010958916620844,california,alameda,Hispanic
94,2020-09-15,26.286108495699512,26.273954155443725,california,alameda,Hispanic
95,2020-09-16,26.463191598763316,26.461796398557375,california,alameda,Hispanic
96,2020-09-17,26.473923908039914,26.6618466434731,california,alameda,Hispanic
97,2020-09-18,26.95151167084838,26.79189540113222,california,alameda,Hispanic
98,2020-09-19,27.109813232678146,27.072411134849236,california,alameda,Hispanic
99,2020-09-20,27.187622474933466,24.856430746191158,california,alameda,Hispanic
100,2020-09-21,27.225185557401552,27.2183168794645,california,alameda,Hispanic
101,2020-09-22,27.33250865016749,27.3281352341373,california,alameda,Hispanic
102,2020-09-23,27.587400995486608,27.540769111679783,california,alameda,Hispanic
103,2020-09-24,27.820828722252546,27.805776658492103,california,alameda,Hispanic
104,2020-09-25,27.944250278933385,27.961904927693386,california,alameda,Hispanic
105,2020-09-26,28.06498875829508,28.02855256830104,california,alameda,Hispanic
