time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,2.6278026905829592,2.6997698090425946,california,alameda,Hispanic
2,2020-06-15,2.632286995515695,2.7009543857765044,california,alameda,Hispanic
3,2020-06-16,2.632286995515695,2.6988656015179346,california,alameda,Hispanic
4,2020-06-17,2.6412556053811658,2.698964740013679,california,alameda,Hispanic
5,2020-06-18,2.6591928251121075,2.698911829721209,california,alameda,Hispanic
6,2020-06-19,2.6771300448430493,2.698745813550395,california,alameda,Hispanic
7,2020-06-20,2.68609865470852,2.696887561252727,california,alameda,Hispanic
9,2020-06-22,2.704035874439462,2.7020671016251008,california,alameda,Hispanic
10,2020-06-23,2.713004484304933,2.6994759171869633,california,alameda,Hispanic
11,2020-06-24,2.739910313901345,2.6991512032566085,california,alameda,Hispanic
12,2020-06-25,2.748878923766816,2.6995142113919544,california,alameda,Hispanic
13,2020-06-26,2.7668161434977576,2.7000672705950004,california,alameda,Hispanic
16,2020-06-29,2.7757847533632285,2.7013590148661546,california,alameda,Hispanic
17,2020-06-30,2.7713004484304933,2.7001930978334467,california,alameda,Hispanic
19,2020-07-02,2.802690582959641,2.7005609980075684,california,alameda,Hispanic
20,2020-07-03,2.802690582959641,2.7006946437715262,california,alameda,Hispanic
22,2020-07-05,2.789237668161435,2.7042330231767977,california,alameda,Hispanic
23,2020-07-06,2.7847533632287003,2.7023191100703503,california,alameda,Hispanic
25,2020-07-08,2.7623318385650224,2.700142236215079,california,alameda,Hispanic
26,2020-07-09,2.7757847533632285,2.699184874316379,california,alameda,Hispanic
27,2020-07-10,2.7757847533632285,2.699574656509429,california,alameda,Hispanic
30,2020-07-13,2.789237668161435,2.7018098531399097,california,alameda,Hispanic
31,2020-07-14,2.789237668161435,2.699555704343112,california,alameda,Hispanic
32,2020-07-15,2.7937219730941703,2.6994915658288603,california,alameda,Hispanic
33,2020-07-16,2.802690582959641,2.699069159373071,california,alameda,Hispanic
34,2020-07-17,2.807174887892377,2.6990957100179536,california,alameda,Hispanic
35,2020-07-18,2.820627802690583,2.6977938476541405,california,alameda,Hispanic
36,2020-07-19,2.8295964125560538,2.7006143389119135,california,alameda,Hispanic
37,2020-07-20,2.8251121076233185,2.701834856288971,california,alameda,Hispanic
38,2020-07-21,2.816143497757848,2.699514238589587,california,alameda,Hispanic
39,2020-07-22,2.811659192825112,2.699538278821053,california,alameda,Hispanic
40,2020-07-23,2.807174887892377,2.699221646421977,california,alameda,Hispanic
41,2020-07-24,2.811659192825112,2.6997654096657806,california,alameda,Hispanic
42,2020-07-25,2.811659192825112,2.699216406629759,california,alameda,Hispanic
43,2020-07-26,2.816143497757848,2.7015039694485248,california,alameda,Hispanic
45,2020-07-28,2.811659192825112,2.7002571570307827,california,alameda,Hispanic
46,2020-07-29,2.820627802690583,2.701031969061808,california,alameda,Hispanic
47,2020-07-30,2.8295964125560538,2.700666764315221,california,alameda,Hispanic
49,2020-08-01,2.8430493273542594,2.699669104258832,california,alameda,Hispanic
50,2020-08-02,2.8430493273542594,2.7024887464421106,california,alameda,Hispanic
54,2020-08-06,2.8385650224215246,2.6998375192240207,california,alameda,Hispanic
62,2020-08-14,2.8295964125560538,2.700997776171448,california,alameda,Hispanic
64,2020-08-16,2.820627802690583,2.7039593609685912,california,alameda,Hispanic
69,2020-08-21,2.798206278026905,2.7017494812704808,california,alameda,Hispanic
71,2020-08-23,2.798206278026905,2.7033450878996277,california,alameda,Hispanic
72,2020-08-24,2.7937219730941703,2.7025377006523996,california,alameda,Hispanic
73,2020-08-25,2.780269058295964,2.701182310702868,california,alameda,Hispanic
74,2020-08-26,2.780269058295964,2.7014057864079515,california,alameda,Hispanic
75,2020-08-27,2.780269058295964,2.7009603019699817,california,alameda,Hispanic
76,2020-08-28,2.7757847533632285,2.7014381153757547,california,alameda,Hispanic
77,2020-08-29,2.7757847533632285,2.7005133193746804,california,alameda,Hispanic
78,2020-08-30,2.7713004484304933,2.701925071643048,california,alameda,Hispanic
79,2020-08-31,2.7668161434977576,2.7027680400913665,california,alameda,Hispanic
80,2020-09-01,2.7668161434977576,2.7017475035135785,california,alameda,Hispanic
81,2020-09-02,2.7578475336322867,2.701952387300177,california,alameda,Hispanic
82,2020-09-03,2.7578475336322867,2.702120622324456,california,alameda,Hispanic
83,2020-09-04,2.7578475336322867,2.702414498276223,california,alameda,Hispanic
84,2020-09-05,2.7578475336322867,2.702134128161809,california,alameda,Hispanic
85,2020-09-06,2.7578475336322867,2.7054849412658006,california,alameda,Hispanic
86,2020-09-07,2.7533632286995515,2.705334506601611,california,alameda,Hispanic
87,2020-09-08,2.7533632286995515,2.7032127627862765,california,alameda,Hispanic
88,2020-09-09,2.748878923766816,2.7037803350307144,california,alameda,Hispanic
89,2020-09-10,2.748878923766816,2.7028035609048917,california,alameda,Hispanic
90,2020-09-11,2.7443946188340806,2.701962182206028,california,alameda,Hispanic
91,2020-09-12,2.739910313901345,2.7001154018425115,california,alameda,Hispanic
92,2020-09-13,2.7354260089686098,2.701432044152459,california,alameda,Hispanic
94,2020-09-15,2.7354260089686098,2.700616736317307,california,alameda,Hispanic
95,2020-09-16,2.7354260089686098,2.7014383949360203,california,alameda,Hispanic
96,2020-09-17,2.7354260089686098,2.701052658275711,california,alameda,Hispanic
97,2020-09-18,2.7354260089686098,2.701868079179011,california,alameda,Hispanic
98,2020-09-19,2.7354260089686098,2.7013129268742517,california,alameda,Hispanic
99,2020-09-20,2.7309417040358746,2.702238573265527,california,alameda,Hispanic
100,2020-09-21,2.726457399103139,2.702374343311634,california,alameda,Hispanic
101,2020-09-22,2.726457399103139,2.7002128593242514,california,alameda,Hispanic
102,2020-09-23,2.7309417040358746,2.7009651412035076,california,alameda,Hispanic
103,2020-09-24,2.7354260089686098,2.7011255959405895,california,alameda,Hispanic
104,2020-09-25,2.739910313901345,2.701817346232101,california,alameda,Hispanic
105,2020-09-26,2.7354260089686098,2.700088390010322,california,alameda,Hispanic
106,2020-09-27,2.7354260089686098,2.7021661304754856,california,alameda,Hispanic
107,2020-09-28,2.7309417040358746,2.703410421198133,california,alameda,Hispanic
108,2020-09-29,2.7309417040358746,2.7008028558769643,california,alameda,Hispanic
109,2020-09-30,2.7309417040358746,2.7023696848569116,california,alameda,Hispanic
110,2020-10-01,2.7309417040358746,2.7020370353736674,california,alameda,Hispanic
111,2020-10-02,2.7309417040358746,2.702700502230119,california,alameda,Hispanic
112,2020-10-03,2.7309417040358746,2.701425708873403,california,alameda,Hispanic
113,2020-10-04,2.7309417040358746,2.702334998407421,california,alameda,Hispanic
114,2020-10-05,2.726457399103139,2.702714142677964,california,alameda,Hispanic
115,2020-10-06,2.726457399103139,2.701968806435622,california,alameda,Hispanic
116,2020-10-07,2.7309417040358746,2.7025415841329385,california,alameda,Hispanic
117,2020-10-08,2.7309417040358746,2.7014886208220963,california,alameda,Hispanic
118,2020-10-09,2.7309417040358746,2.70194544377392,california,alameda,Hispanic
119,2020-10-10,2.7309417040358746,2.699436070356562,california,alameda,Hispanic
120,2020-10-11,2.726457399103139,2.7011137270011343,california,alameda,Hispanic
121,2020-10-12,2.726457399103139,2.7026755770286117,california,alameda,Hispanic
122,2020-10-13,2.726457399103139,2.700972647345224,california,alameda,Hispanic
123,2020-10-14,2.7309417040358746,2.7013584034528124,california,alameda,Hispanic
124,2020-10-15,2.7309417040358746,2.7020615939200026,california,alameda,Hispanic
125,2020-10-16,2.7354260089686098,2.7023308234259122,california,alameda,Hispanic
126,2020-10-17,2.7354260089686098,2.701096850895367,california,alameda,Hispanic
127,2020-10-18,2.7309417040358746,2.7029114411101114,california,alameda,Hispanic
129,2020-10-20,2.7354260089686098,2.701340950750777,california,alameda,Hispanic
131,2020-10-22,2.7354260089686098,2.7016115369368103,california,alameda,Hispanic
134,2020-10-25,2.7354260089686098,2.7022604694798096,california,alameda,Hispanic
136,2020-10-27,2.7309417040358746,2.701559240104718,california,alameda,Hispanic
138,2020-10-29,2.7309417040358746,2.7010408690236662,california,alameda,Hispanic
140,2020-10-31,2.721973094170404,2.699116827831322,california,alameda,Hispanic
143,2020-11-03,2.717488789237668,2.70107962701569,california,alameda,Hispanic
145,2020-11-05,2.717488789237668,2.7010608142528447,california,alameda,Hispanic
148,2020-11-08,2.7085201793721967,2.701797871195324,california,alameda,Hispanic
150,2020-11-10,2.704035874439462,2.7008109614180436,california,alameda,Hispanic
151,2020-11-11,2.6995515695067263,2.700477222452065,california,alameda,Hispanic
155,2020-11-15,2.68609865470852,2.701572285510851,california,alameda,Hispanic
156,2020-11-16,2.6726457399103136,2.7025120620665772,california,alameda,Hispanic
157,2020-11-17,2.6681614349775784,2.7017422378295457,california,alameda,Hispanic
158,2020-11-18,2.6681614349775784,2.700704294995381,california,alameda,Hispanic
162,2020-11-22,2.6591928251121075,2.7000266983312766,california,alameda,Hispanic
163,2020-11-23,2.6547085201793723,2.7022421160654586,california,alameda,Hispanic
166,2020-11-26,2.6502242152466366,2.7024663127336073,california,alameda,Hispanic
1,2020-06-14,0.4281045751633987,0.5958260486352492,california,alameda,White
2,2020-06-15,0.4281045751633987,0.5970106253691582,california,alameda,White
