time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,0.004090978477842329,0.012504095167570579,california,alameda,Hispanic
3,2020-06-16,0.012153206730703206,0.03395603617605577,california,alameda,Hispanic
5,2020-06-18,-2.3037127760972e-15,0.025922121549195536,california,alameda,Hispanic
9,2020-06-22,-2.2898349882893854e-15,0.015594519896531822,california,alameda,Hispanic
11,2020-06-24,0.026517094132072247,0.03630429824659493,california,alameda,Hispanic
12,2020-06-25,0.004220898539554804,0.036823494752677065,california,alameda,Hispanic
15,2020-06-28,0.027192729923900597,0.0017454028305061461,california,alameda,Hispanic
62,2020-08-14,0.017103537105639582,0.00919999373885996,california,alameda,Hispanic
69,2020-08-21,0.022567135364590984,0.027027190204176422,california,alameda,Hispanic
73,2020-08-25,0.016830672091842247,0.028640171462002945,california,alameda,Hispanic
74,2020-08-26,0.035073524723374085,0.03247766135556864,california,alameda,Hispanic
75,2020-08-27,-7.771561172376097e-16,0.033739053932924624,california,alameda,Hispanic
78,2020-08-30,0.015050608544367185,-0.004346338099184481,california,alameda,Hispanic
81,2020-09-02,0.010477027761674557,0.02183436930763409,california,alameda,Hispanic
82,2020-09-03,0.05919471332246145,0.021984707458161834,california,alameda,Hispanic
83,2020-09-04,0.04098743163972904,0.006582859036961486,california,alameda,Hispanic
84,2020-09-05,-0.0056019703050526615,-0.016305984796903907,california,alameda,Hispanic
87,2020-09-08,-0.05390388879239372,0.017373892405918336,california,alameda,Hispanic
90,2020-09-11,0.024405625051517887,0.039055574786879245,california,alameda,Hispanic
92,2020-09-13,0.033487805139828734,-0.004001628470788227,california,alameda,Hispanic
94,2020-09-15,0.04278436691256995,0.026089743340009047,california,alameda,Hispanic
98,2020-09-19,0.03646321332093952,-0.0038343618432270976,california,alameda,Hispanic
101,2020-09-22,-0.0033217209538500825,0.016986315252286298,california,alameda,Hispanic
102,2020-09-23,0.08424539437151563,0.027162896938913942,california,alameda,Hispanic
104,2020-09-25,-0.0028799612895744064,0.011532349015673432,california,alameda,Hispanic
108,2020-09-29,0.03605391580024348,0.0246605217069793,california,alameda,Hispanic
110,2020-10-01,0.08362821331409664,0.02604796387167363,california,alameda,Hispanic
112,2020-10-03,0.0182533375154082,-0.0004571590971538748,california,alameda,Hispanic
113,2020-10-04,1.2212453270876722e-15,-0.00914552975225822,california,alameda,Hispanic
116,2020-10-07,0.03448823393719885,0.011560289193931466,california,alameda,Hispanic
120,2020-10-11,0.012282998115106802,-0.0014183975295794138,california,alameda,Hispanic
123,2020-10-14,0.03261722491677721,0.018824206140523984,california,alameda,Hispanic
125,2020-10-16,0.03717131125634754,0.028364008618823284,california,alameda,Hispanic
126,2020-10-17,0.04066645687422321,-0.0003253910655618637,california,alameda,Hispanic
127,2020-10-18,-0.002698070343681247,-0.012916329244034245,california,alameda,Hispanic
129,2020-10-20,1.3322676295501877e-15,0.021061040140552878,california,alameda,Hispanic
131,2020-10-22,0.038548575430834016,0.03969363916454543,california,alameda,Hispanic
138,2020-10-29,1.609823385706477e-15,0.02023677889718138,california,alameda,Hispanic
140,2020-10-31,0.03293554836956908,0.003427542656575673,california,alameda,Hispanic
143,2020-11-03,1.609823385706477e-15,0.011554835139308783,california,alameda,Hispanic
145,2020-11-05,0.010015687869404044,0.03841986981189347,california,alameda,Hispanic
148,2020-11-08,-0.020511644923931482,-0.008011807860229973,california,alameda,Hispanic
151,2020-11-11,0.02707564888533659,0.015485412802630424,california,alameda,Hispanic
155,2020-11-15,-0.02122626960200441,-0.005488280622871335,california,alameda,Hispanic
156,2020-11-16,0.0221642502067298,0.014096188264319128,california,alameda,Hispanic
163,2020-11-23,1.7208456881689926e-15,0.002563705811437027,california,alameda,Hispanic
166,2020-11-26,1.7208456881689926e-15,0.0017805023895878925,california,alameda,Hispanic
1,2020-06-14,-0.015262952584283382,-0.05848466918707644,california,alameda,White
3,2020-06-16,-0.011878222457805015,-0.03703272817859124,california,alameda,White
4,2020-06-17,-0.017601713859810422,-0.04078629534654947,california,alameda,White
62,2020-08-14,-0.04753179551265184,-0.06178877061578707,california,alameda,White
64,2020-08-16,-2.081668171172168e-15,-0.09990619097687206,california,alameda,White
69,2020-08-21,-0.04750590062050844,-0.043961574150470605,california,alameda,White
73,2020-08-25,-0.05393102040517196,-0.042348592892644074,california,alameda,White
74,2020-08-26,-0.03438240347832108,-0.03851110299907837,california,alameda,White
78,2020-08-30,-0.05846571000030632,-0.07533510245383147,california,alameda,White
80,2020-09-01,-0.051442952450689305,-0.051824857922460305,california,alameda,White
81,2020-09-02,-0.054444499770659384,-0.04915439504701294,california,alameda,White
82,2020-09-03,-0.020519513829445446,-0.04900405689648518,california,alameda,White
83,2020-09-04,-0.03941545202409272,-0.0644059053176855,california,alameda,White
84,2020-09-05,-0.08762901499100006,-0.0872947491515509,california,alameda,White
89,2020-09-10,-0.05476294534680914,-0.04405458056376065,california,alameda,White
90,2020-09-11,-0.057517669093154776,-0.03193318956776777,california,alameda,White
92,2020-09-13,-0.058550690498034415,-0.07499039282543522,california,alameda,White
94,2020-09-15,-0.05345761652529274,-0.04489902101463798,california,alameda,White
95,2020-09-16,-0.04023066787249319,-0.058712470351015913,california,alameda,White
97,2020-09-18,0.02843139673333325,-0.05640056651553463,california,alameda,White
98,2020-09-19,-0.05049532259266884,-0.0748231261978741,california,alameda,White
101,2020-09-22,-0.08705162049341619,-0.054002449102360725,california,alameda,White
102,2020-09-23,-0.005539316318262627,-0.04382586741573308,california,alameda,White
104,2020-09-25,-0.09135890768403362,-0.059456415338973584,california,alameda,White
108,2020-09-29,-0.05710252872059824,-0.04632824264766772,california,alameda,White
109,2020-09-30,-0.10059054099932964,-0.05851909839234315,california,alameda,White
110,2020-10-01,-0.003616517513554157,-0.044940800482973386,california,alameda,White
116,2020-10-07,-0.059499964552579,-0.05942847516071556,california,alameda,White
119,2020-10-10,-0.050268331237282936,-0.06684077835197445,california,alameda,White
121,2020-10-12,-0.04583763225985327,-0.06890535729931521,california,alameda,White
123,2020-10-14,-0.05937655276576673,-0.052164558214123025,california,alameda,White
124,2020-10-15,-0.0466497249832519,-0.04768112165653429,california,alameda,White
125,2020-10-16,-0.0614943853598128,-0.04262475573582375,california,alameda,White
126,2020-10-17,-0.05937655276576673,-0.07131415542020886,california,alameda,White
127,2020-10-18,-0.1026695312551606,-0.08390509359868124,california,alameda,White
131,2020-10-22,-0.05888290561851799,-0.03129512519010158,california,alameda,White
134,2020-10-25,-0.10728231657585616,-0.08485622997385685,california,alameda,White
140,2020-10-31,-0.05851267025808138,-0.06756122169807133,california,alameda,White
148,2020-11-08,-0.10467083683456137,-0.07900057221487695,california,alameda,White
150,2020-11-10,2.7755575615628914e-16,-0.0446846356067839,california,alameda,White
151,2020-11-11,-0.05777219953720807,-0.05550335155201659,california,alameda,White
155,2020-11-15,-0.10277393292199627,-0.07647704497751834,california,alameda,White
156,2020-11-16,-0.054705914986879545,-0.0568925760903279,california,alameda,White
169,2020-11-29,-0.058655914263132165,-0.06641735994528808,california,alameda,White
1,2020-06-14,-0.04388875711163975,-0.12107410631177695,california,alameda,Asian
4,2020-06-17,-0.04252271193410083,-0.10337573247125002,california,alameda,Asian
11,2020-06-24,-0.02663774105440555,-0.09727390323275259,california,alameda,Asian
12,2020-06-25,-0.053278362151303056,-0.09675470672667044,california,alameda,Asian
13,2020-06-26,-2.95596880306448e-15,-0.0974117273105913,california,alameda,Asian
15,2020-06-28,-0.027432398406506964,-0.13183279864884143,california,alameda,Asian
62,2020-08-14,-0.06403670826106073,-0.12437820774048756,california,alameda,Asian
69,2020-08-21,-0.06457888369172078,-0.10655101127517111,california,alameda,Asian
