time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,2.7726120033812336,2.608741025589017,california,sonoma,hispanic
2,2020-06-15,2.787429413753165,2.6359539026183456,california,sonoma,hispanic
4,2020-06-17,2.797685406381058,2.6443830536861035,california,sonoma,hispanic
5,2020-06-18,2.7989376759275446,2.6719466816034827,california,sonoma,hispanic
6,2020-06-19,2.803586494573618,2.679944408961466,california,sonoma,hispanic
8,2020-06-21,2.8083028083028077,2.6383458138109623,california,sonoma,hispanic
9,2020-06-22,2.8097738941112427,2.6896975661913634,california,sonoma,hispanic
10,2020-06-23,2.8139630788637406,2.6731750901477844,california,sonoma,hispanic
11,2020-06-24,2.8005749524736863,2.675170919838346,california,sonoma,hispanic
14,2020-06-27,2.7569148319441403,2.689309595075206,california,sonoma,hispanic
17,2020-06-30,2.709053441860657,2.658986835887178,california,sonoma,hispanic
19,2020-07-02,2.688800561140986,2.7062219463905657,california,sonoma,hispanic
23,2020-07-06,2.624615527841334,2.6819986255068566,california,sonoma,hispanic
25,2020-07-08,2.6000006970511254,2.670011487507504,california,sonoma,hispanic
26,2020-07-09,2.551718743889562,2.6894552449145555,california,sonoma,hispanic
27,2020-07-10,2.549864740677461,2.6576496258150626,california,sonoma,hispanic
30,2020-07-13,2.4871202700302004,2.667517115380791,california,sonoma,hispanic
31,2020-07-14,2.4775921636908182,2.636264124982181,california,sonoma,hispanic
32,2020-07-15,2.478543354455763,2.647205635380596,california,sonoma,hispanic
33,2020-07-16,2.464437800126846,2.657033989811477,california,sonoma,hispanic
34,2020-07-17,2.455587991053916,2.653761961785745,california,sonoma,hispanic
35,2020-07-18,2.45451270041434,2.627532865129329,california,sonoma,hispanic
37,2020-07-20,2.445956461500503,2.6597485936688634,california,sonoma,hispanic
40,2020-07-23,2.4485552213638084,2.6563988035835355,california,sonoma,hispanic
42,2020-07-25,2.4484062945601406,2.6271823748682386,california,sonoma,hispanic
43,2020-07-26,2.4413145539906105,2.6306974279224966,california,sonoma,hispanic
45,2020-07-28,2.4691789397671746,2.6361136738867175,california,sonoma,hispanic
46,2020-07-29,2.5106186671665847,2.6516985834176725,california,sonoma,hispanic
47,2020-07-30,2.511623498686268,2.6696592914461,california,sonoma,hispanic
61,2020-08-13,2.670828439496082,2.67644458324618,california,sonoma,hispanic
69,2020-08-21,2.6607251016699838,2.6773022821878523,california,sonoma,hispanic
75,2020-08-27,2.6786722821965108,2.676953306674705,california,sonoma,hispanic
79,2020-08-31,2.6946342328975668,2.7122211877251483,california,sonoma,hispanic
80,2020-09-01,2.6971549889243334,2.7152554718873794,california,sonoma,hispanic
82,2020-09-03,2.698132008476836,2.7090549081642323,california,sonoma,hispanic
83,2020-09-04,2.701691925931492,2.700573239172772,california,sonoma,hispanic
87,2020-09-08,2.710869377536044,2.703837517159442,california,sonoma,hispanic
90,2020-09-11,2.712282323932809,2.679623060748605,california,sonoma,hispanic
93,2020-09-14,2.7141347578689885,2.702621502476067,california,sonoma,hispanic
96,2020-09-17,2.7146943779555137,2.6840942282628597,california,sonoma,hispanic
97,2020-09-18,2.72658571040836,2.6794193774155812,california,sonoma,hispanic
100,2020-09-21,2.721333582157319,2.693816403756799,california,sonoma,hispanic
103,2020-09-24,2.721469298753344,2.682338070990013,california,sonoma,hispanic
109,2020-09-30,2.7242914411056,2.694424259606533,california,sonoma,hispanic
111,2020-10-02,2.7278665599440624,2.689693488926108,california,sonoma,hispanic
122,2020-10-13,2.7169417353666496,2.681483361470159,california,sonoma,hispanic
129,2020-10-20,2.7101863057262467,2.6964102155979783,california,sonoma,hispanic
131,2020-10-22,2.7272355896891214,2.6971946607674844,california,sonoma,hispanic
143,2020-11-03,2.698807917687142,2.675117446090559,california,sonoma,hispanic
148,2020-11-08,2.6740362408394653,2.6786409308319725,california,sonoma,hispanic
156,2020-11-16,2.6640838538924605,2.6776030499668653,california,sonoma,hispanic
158,2020-11-18,2.649263626308947,2.6710153614173557,california,sonoma,hispanic
1,2020-06-14,0.30818148465207285,0.28451189548856604,california,sonoma,white
4,2020-06-17,0.3064445519688487,0.32015392358565287,california,sonoma,white
6,2020-06-19,0.30477334188518235,0.35571527886101506,california,sonoma,white
8,2020-06-21,0.30471648118706945,0.31411668371051105,california,sonoma,white
9,2020-06-22,0.3022157522511881,0.3654684360909125,california,sonoma,white
10,2020-06-23,0.30111919476937005,0.3489459600473336,california,sonoma,white
11,2020-06-24,0.3099152764082027,0.35094178973789514,california,sonoma,white
14,2020-06-27,0.32616576303218603,0.36508046497475555,california,sonoma,white
17,2020-06-30,0.3459258714912273,0.3347577057867278,california,sonoma,white
19,2020-07-02,0.3551736968507932,0.38199281629011506,california,sonoma,white
23,2020-07-06,0.3636550126113693,0.35776949540640535,california,sonoma,white
25,2020-07-08,0.3766569502283388,0.345782357407053,california,sonoma,white
26,2020-07-09,0.38755523369297706,0.3652261148141046,california,sonoma,white
27,2020-07-10,0.38902964490160497,0.3334204957146113,california,sonoma,white
30,2020-07-13,0.4026577861654618,0.34328798528034,california,sonoma,white
31,2020-07-14,0.4028032252775065,0.3120349948817308,california,sonoma,white
32,2020-07-15,0.40035742053775547,0.3229765052801453,california,sonoma,white
33,2020-07-16,0.4078491295286141,0.3328048597110257,california,sonoma,white
34,2020-07-17,0.4123816199411389,0.3295328316852938,california,sonoma,white
35,2020-07-18,0.4148314177243782,0.30330373502887775,california,sonoma,white
37,2020-07-20,0.4139311515111576,0.33551946356841256,california,sonoma,white
40,2020-07-23,0.410491518562654,0.3321696734830847,california,sonoma,white
42,2020-07-25,0.4113533525298232,0.30295324476778773,california,sonoma,white
43,2020-07-26,0.4075326361987505,0.306468297822046,california,sonoma,white
45,2020-07-28,0.3993519377415384,0.31188454378626707,california,sonoma,white
46,2020-07-29,0.3876843993723661,0.3274694533172212,california,sonoma,white
47,2020-07-30,0.3846965429873629,0.3454301613456491,california,sonoma,white
61,2020-08-13,0.376506900492776,0.352215453145729,california,sonoma,white
69,2020-08-21,0.3812867986096333,0.3530731520874014,california,sonoma,white
75,2020-08-27,0.3694417402631966,0.3527241765742538,california,sonoma,white
79,2020-08-31,0.3608956274279038,0.387992057624697,california,sonoma,white
80,2020-09-01,0.3604334917934779,0.3910263417869285,california,sonoma,white
82,2020-09-03,0.3593857549232803,0.3848257780637815,california,sonoma,white
83,2020-09-04,0.3572514356596912,0.3763441090723213,california,sonoma,white
87,2020-09-08,0.3547219233493744,0.37960838705899114,california,sonoma,white
90,2020-09-11,0.35226545791937003,0.3553939306481543,california,sonoma,white
93,2020-09-14,0.35065739068113777,0.3783923723756163,california,sonoma,white
96,2020-09-17,0.34954062695114163,0.3598650981624084,california,sonoma,white
97,2020-09-18,0.3454622987277271,0.3551902473151304,california,sonoma,white
100,2020-09-21,0.3478809210744772,0.3695872736563487,california,sonoma,white
103,2020-09-24,0.3471366856789978,0.3581089408895627,california,sonoma,white
109,2020-09-30,0.3467483621049472,0.37019512950608224,california,sonoma,white
111,2020-10-02,0.34454767564373084,0.36546435882565687,california,sonoma,white
122,2020-10-13,0.3483980042808368,0.35725423136970835,california,sonoma,white
129,2020-10-20,0.3479791348505353,0.3721810854975275,california,sonoma,white
131,2020-10-22,0.348461297510062,0.3729655306670331,california,sonoma,white
143,2020-11-03,0.3432190546876718,0.3508883159901085,california,sonoma,white
148,2020-11-08,0.3535979484175599,0.3544118007315217,california,sonoma,white
156,2020-11-16,0.35913031158673,0.3533739198664144,california,sonoma,white
158,2020-11-18,0.3666235913578641,0.34678623131690445,california,sonoma,white
143,2020-11-03,0.4956780944232818,0.5158326401007979,california,sonoma,black
148,2020-11-08,0.5223180854210323,0.519356124842211,california,sonoma,black
156,2020-11-16,0.522456940840459,0.5183182439771038,california,sonoma,black
158,2020-11-18,0.5157095210067547,0.5117305554275938,california,sonoma,black
143,2020-11-03,0.5517703147570661,0.5405613534156228,california,sonoma,asian
148,2020-11-08,0.5458483920455525,0.544084838157036,california,sonoma,asian
156,2020-11-16,0.5406293561740403,0.5430469572919295,california,sonoma,asian
158,2020-11-18,0.5322824167668961,0.5364592687424194,california,sonoma,asian
