time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,1.148235294117647,1.1502742682900766,california,imperial,Hispanic
2,2020-06-15,1.151764705882353,1.1527481875016425,california,imperial,Hispanic
3,2020-06-16,1.152941176470588,1.1534269238503527,california,imperial,Hispanic
4,2020-06-17,1.1541176470588237,1.1532301318152716,california,imperial,Hispanic
5,2020-06-18,1.156470588235294,1.1544409356172498,california,imperial,Hispanic
6,2020-06-19,1.156470588235294,1.1551477389978269,california,imperial,Hispanic
10,2020-06-23,1.1576470588235297,1.158038454210969,california,imperial,Hispanic
11,2020-06-24,1.1576470588235297,1.1580079723439898,california,imperial,Hispanic
12,2020-06-25,1.1588235294117648,1.159032943367643,california,imperial,Hispanic
14,2020-06-27,1.16,1.1599909008545322,california,imperial,Hispanic
17,2020-06-30,1.1623529411764706,1.1621640197263716,california,imperial,Hispanic
19,2020-07-02,1.163529411764706,1.1636134641756652,california,imperial,Hispanic
20,2020-07-03,1.1647058823529413,1.1651654309092103,california,imperial,Hispanic
22,2020-07-05,1.1658823529411766,1.1651845288674014,california,imperial,Hispanic
23,2020-07-06,1.1658823529411766,1.166076267687966,california,imperial,Hispanic
25,2020-07-08,1.1670588235294117,1.1665762405843099,california,imperial,Hispanic
26,2020-07-09,1.1670588235294117,1.1676558676439428,california,imperial,Hispanic
