time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,0.8603582976007105,1.1031214897657535,california,losangeles,Hispanic
2,2020-06-15,0.8631415598069868,1.1023824605232586,california,losangeles,Hispanic
3,2020-06-16,0.8673210998601976,1.1035489694621567,california,losangeles,Hispanic
4,2020-06-17,0.8673884417119461,1.1030288484895077,california,losangeles,Hispanic
5,2020-06-18,0.8674178846875886,1.1030688812737421,california,losangeles,Hispanic
6,2020-06-19,0.8689813169016866,1.1024306203031475,california,losangeles,Hispanic
7,2020-06-20,0.8748453192897638,1.1029447124718272,california,losangeles,Hispanic
8,2020-06-21,0.8774270939155489,1.1019599408999814,california,losangeles,Hispanic
9,2020-06-22,0.8776582850656924,1.099645644485371,california,losangeles,Hispanic
10,2020-06-23,0.8834470806731133,1.1011263820083748,california,losangeles,Hispanic
11,2020-06-24,0.8819338912402475,1.1014980340182248,california,losangeles,Hispanic
12,2020-06-25,0.8839962961587093,1.1010964078302832,california,losangeles,Hispanic
13,2020-06-26,0.8852521772418414,1.1010431495173774,california,losangeles,Hispanic
14,2020-06-27,0.8870780261596252,1.1009944682074335,california,losangeles,Hispanic
15,2020-06-28,0.8930916732335172,1.1006852887046954,california,losangeles,Hispanic
16,2020-06-29,0.8935958296183845,1.0992418768987242,california,losangeles,Hispanic
17,2020-06-30,0.8973498048346955,1.0993582361874685,california,losangeles,Hispanic
19,2020-07-02,0.9014182140797128,1.099023925098343,california,losangeles,Hispanic
22,2020-07-05,0.90673392517747,1.0962261357521863,california,losangeles,Hispanic
23,2020-07-06,0.9177528717990951,1.0973328847544086,california,losangeles,Hispanic
25,2020-07-08,0.9269960070686504,1.0984951249954489,california,losangeles,Hispanic
26,2020-07-09,0.9367062003790309,1.0995142477579078,california,losangeles,Hispanic
27,2020-07-10,0.9455024074907116,1.0995584273770513,california,losangeles,Hispanic
28,2020-07-11,0.9491703134789238,1.0991420370066918,california,losangeles,Hispanic
29,2020-07-12,0.9492174515559676,1.097622875335093,california,losangeles,Hispanic
30,2020-07-13,0.9497125178764264,1.0963014905457495,california,losangeles,Hispanic
31,2020-07-14,0.9523121933778204,1.0971922183947105,california,losangeles,Hispanic
32,2020-07-15,0.9556444843716679,1.0977266098503342,california,losangeles,Hispanic
33,2020-07-16,0.9632453804567096,1.0976927472976892,california,losangeles,Hispanic
34,2020-07-17,0.969261508739894,1.0977439368057922,california,losangeles,Hispanic
35,2020-07-18,0.9713024282560708,1.0970264796939464,california,losangeles,Hispanic
36,2020-07-19,0.9711977634733988,1.0955073180223476,california,losangeles,Hispanic
37,2020-07-20,0.9707769035362313,1.0944131046376109,california,losangeles,Hispanic
38,2020-07-21,0.9754769385460248,1.095081023860084,california,losangeles,Hispanic
39,2020-07-22,0.9789362472386608,1.095452675869934,california,losangeles,Hispanic
40,2020-07-23,0.98085815185894,1.0960169778175974,california,losangeles,Hispanic
41,2020-07-24,0.9836495358887578,1.0962779480887974,california,losangeles,Hispanic
42,2020-07-25,0.9882662505545612,1.094476068056639,california,losangeles,Hispanic
45,2020-07-28,0.9904612963213586,1.0936150351430893,california,losangeles,Hispanic
46,2020-07-29,0.9979129643360128,1.093392448680006,california,losangeles,Hispanic
47,2020-07-30,0.9967171540370448,1.0926187506535299,california,losangeles,Hispanic
49,2020-08-01,1.0017701734314612,1.0928530550967865,california,losangeles,Hispanic
50,2020-08-02,1.002620496110776,1.0918346199934468,california,losangeles,Hispanic
54,2020-08-06,1.014968171650764,1.0915371650714902,california,losangeles,Hispanic
55,2020-08-07,1.0166818450440354,1.091500600833124,california,losangeles,Hispanic
56,2020-08-08,1.0188095434862392,1.0912553551775834,california,losangeles,Hispanic
60,2020-08-12,1.0255747312175467,1.0891048920762572,california,losangeles,Hispanic
61,2020-08-13,1.029019543704794,1.0890206445284787,california,losangeles,Hispanic
62,2020-08-14,1.0346830805600469,1.088801114537879,california,losangeles,Hispanic
64,2020-08-16,1.034881801414981,1.0866177280341105,california,losangeles,Hispanic
69,2020-08-21,1.0376203479353359,1.0880544867916215,california,losangeles,Hispanic
70,2020-08-22,1.0397280979965575,1.0866335322373792,california,losangeles,Hispanic
71,2020-08-23,1.0409008610331922,1.0859417115894465,california,losangeles,Hispanic
72,2020-08-24,1.041263784980017,1.0849458212578387,california,losangeles,Hispanic
73,2020-08-25,1.0437054602027502,1.085965586012387,california,losangeles,Hispanic
74,2020-08-26,1.0435481568379172,1.0868133755059173,california,losangeles,Hispanic
75,2020-08-27,1.0459501503625577,1.086503035296365,california,losangeles,Hispanic
76,2020-08-28,1.0448996482516038,1.0858858311784287,california,losangeles,Hispanic
77,2020-08-29,1.0469227336697218,1.0853465286703616,california,losangeles,Hispanic
78,2020-08-30,1.0480455151195138,1.0839450312372718,california,losangeles,Hispanic
79,2020-08-31,1.04818218842509,1.0837597878547904,california,losangeles,Hispanic
