time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,2.6278026905829592,2.635336322869958,california,alameda,Hispanic
2,2020-06-15,2.632286995515695,2.6368161434977595,california,alameda,Hispanic
3,2020-06-16,2.632286995515695,2.6356502242152477,california,alameda,Hispanic
4,2020-06-17,2.6412556053811658,2.640852017937218,california,alameda,Hispanic
5,2020-06-18,2.6591928251121075,2.6626008968609884,california,alameda,Hispanic
6,2020-06-19,2.6771300448430493,2.6736771300448408,california,alameda,Hispanic
7,2020-06-20,2.68609865470852,2.678789237668162,california,alameda,Hispanic
9,2020-06-22,2.704035874439462,2.7065022421524634,california,alameda,Hispanic
10,2020-06-23,2.713004484304933,2.7136771300448457,california,alameda,Hispanic
11,2020-06-24,2.739910313901345,2.7422421524663663,california,alameda,Hispanic
12,2020-06-25,2.748878923766816,2.7484304932735433,california,alameda,Hispanic
13,2020-06-26,2.7668161434977576,2.755336322869953,california,alameda,Hispanic
16,2020-06-29,2.7757847533632285,2.77493273542601,california,alameda,Hispanic
17,2020-06-30,2.7713004484304933,2.774573991031387,california,alameda,Hispanic
19,2020-07-02,2.802690582959641,2.7906726457399067,california,alameda,Hispanic
20,2020-07-03,2.802690582959641,2.7917040358744356,california,alameda,Hispanic
22,2020-07-05,2.789237668161435,2.777892376681613,california,alameda,Hispanic
23,2020-07-06,2.7847533632287003,2.7834977578475333,california,alameda,Hispanic
25,2020-07-08,2.7623318385650224,2.769058295964125,california,alameda,Hispanic
26,2020-07-09,2.7757847533632285,2.779955156950674,california,alameda,Hispanic
27,2020-07-10,2.7757847533632285,2.7766816143497777,california,alameda,Hispanic
30,2020-07-13,2.789237668161435,2.7891928251121065,california,alameda,Hispanic
31,2020-07-14,2.789237668161435,2.788968609865471,california,alameda,Hispanic
32,2020-07-15,2.7937219730941703,2.7905829596412546,california,alameda,Hispanic
33,2020-07-16,2.802690582959641,2.804843049327351,california,alameda,Hispanic
34,2020-07-17,2.807174887892377,2.8069506726457423,california,alameda,Hispanic
35,2020-07-18,2.820627802690583,2.8144394618834077,california,alameda,Hispanic
36,2020-07-19,2.8295964125560538,2.8249775784753335,california,alameda,Hispanic
37,2020-07-20,2.8251121076233185,2.8194618834080707,california,alameda,Hispanic
38,2020-07-21,2.816143497757848,2.814170403587445,california,alameda,Hispanic
39,2020-07-22,2.811659192825112,2.8121973094170447,california,alameda,Hispanic
