time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,0.031039890102084,0.03418808744061972,california,sanfrancisco,White
46,2020-07-29,0.033861698293183,0.03702212346721326,california,sanfrancisco,White
61,2020-08-13,0.036683506484281,0.0382355009893854,california,sanfrancisco,White
62,2020-08-14,0.03950531467538,0.039731059330667805,california,sanfrancisco,White
70,2020-08-22,0.045148931057576634,0.04421773435451418,california,sanfrancisco,White
73,2020-08-25,0.04797073924867517,0.04684201597223572,california,sanfrancisco,White
74,2020-08-26,0.045148931057576634,0.0468137978903248,california,sanfrancisco,White
97,2020-09-18,0.04797073924867517,0.04943807950804637,california,sanfrancisco,White
108,2020-09-29,0.0507925474397737,0.053275738647940496,california,sanfrancisco,White
109,2020-09-30,0.05361435563087225,0.05471486082540067,california,sanfrancisco,White
115,2020-10-06,0.05643616382197076,0.0630109769072304,california,sanfrancisco,White
117,2020-10-08,0.07054520477746347,0.07082738559657337,california,sanfrancisco,White
118,2020-10-09,0.07336701296856203,0.0722382896921227,california,sanfrancisco,White
123,2020-10-14,0.07618882115966055,0.07638634773303744,california,sanfrancisco,White
124,2020-10-15,0.0790106293507591,0.07836161346680653,california,sanfrancisco,White
131,2020-10-22,0.08465424573295617,0.08442850107766832,california,sanfrancisco,White
136,2020-10-27,0.08747605392405472,0.08863299528240524,california,sanfrancisco,White
138,2020-10-29,0.09029786211515324,0.08953597390355668,california,sanfrancisco,White
145,2020-11-05,0.09594147849735034,0.0927810533233199,california,sanfrancisco,White
162,2020-11-22,0.09876328668844887,0.09715485601952276,california,sanfrancisco,White
164,2020-11-24,0.1015850948795474,0.09769099957583156,california,sanfrancisco,White
1,2020-06-14,0.059703520674821986,0.0680802563117255,california,sanfrancisco,Hispanic
14,2020-06-27,0.067166460759175,0.07504329786979311,california,sanfrancisco,Hispanic
37,2020-07-20,0.08955528101223299,0.09491082896800399,california,sanfrancisco,Hispanic
40,2020-07-23,0.097018221096585,0.0979649483530001,california,sanfrancisco,Hispanic
41,2020-07-24,0.104481161180938,0.10407176561059643,california,sanfrancisco,Hispanic
49,2020-08-01,0.111944101265291,0.1123696073094653,california,sanfrancisco,Hispanic
55,2020-08-07,0.119407041349643,0.12402885198981942,california,sanfrancisco,Hispanic
62,2020-08-14,0.111944101265291,0.12446051792104797,california,sanfrancisco,Hispanic
70,2020-08-22,0.1417958616027016,0.14502316858140185,california,sanfrancisco,Hispanic
73,2020-08-25,0.15672174177140705,0.1615086847683702,california,sanfrancisco,Hispanic
74,2020-08-26,0.17164762194011246,0.1673511007201207,california,sanfrancisco,Hispanic
80,2020-09-01,0.17911056202446518,0.1771808589455113,california,sanfrancisco,Hispanic
91,2020-09-12,0.1865735021088179,0.18384419830654028,california,sanfrancisco,Hispanic
96,2020-09-17,0.19403644219317065,0.1977465895493918,california,sanfrancisco,Hispanic
97,2020-09-18,0.2014993822775233,0.19621135616061042,california,sanfrancisco,Hispanic
104,2020-09-25,0.20896232236187606,0.21050821709363493,california,sanfrancisco,Hispanic
108,2020-09-29,0.2164252624462288,0.21603079275605602,california,sanfrancisco,Hispanic
109,2020-09-30,0.22388820253058148,0.21912258221957334,california,sanfrancisco,Hispanic
115,2020-10-06,0.2313511426149342,0.23063683263543194,california,sanfrancisco,Hispanic
117,2020-10-08,0.2388140826992869,0.22981590922615275,california,sanfrancisco,Hispanic
125,2020-10-16,0.24627702278363964,0.2478956515663794,california,sanfrancisco,Hispanic
131,2020-10-22,0.25373996286799233,0.24933682821822434,california,sanfrancisco,Hispanic
136,2020-10-27,0.2761287831210505,0.26985991345019383,california,sanfrancisco,Hispanic
143,2020-11-03,0.2835917232054032,0.27500934210839767,california,sanfrancisco,Hispanic
155,2020-11-15,0.29105466328975593,0.278293035745513,california,sanfrancisco,Hispanic
1,2020-06-14,0.063020382934534,0.0652455236733354,california,sanfrancisco,Asian
2,2020-06-15,0.066171402081261,0.06882986718242051,california,sanfrancisco,Asian
4,2020-06-17,0.069322421227988,0.07017272256013839,california,sanfrancisco,Asian
16,2020-06-29,0.07247344037471401,0.07507172811773312,california,sanfrancisco,Asian
