time,date,y,y_pred,state,county,ethnicity
4,2020-06-17,0.06611035514767569,0.06763597872800668,california,santaclara,White
7,2020-06-20,0.06780549245915456,0.06828065248707978,california,santaclara,White
9,2020-06-22,0.07119576708211227,0.0714049209473131,california,santaclara,White
12,2020-06-25,0.07458604170507001,0.07273495176093499,california,santaclara,White
23,2020-07-06,0.07797631632802772,0.07750819763970383,california,santaclara,White
31,2020-07-14,0.0796714536395066,0.08151915330901856,california,santaclara,White
32,2020-07-15,0.07797631632802772,0.08057013720494592,california,santaclara,White
33,2020-07-16,0.0847568655739432,0.08447729831272689,california,santaclara,White
34,2020-07-17,0.08645200288542207,0.0830836346523357,california,santaclara,White
47,2020-07-30,0.0983179640657741,0.09723698804176195,california,santaclara,White
54,2020-08-06,0.10170823868873184,0.0993981577187196,california,santaclara,White
55,2020-08-07,0.10679365062316842,0.10394608073023967,california,santaclara,White
61,2020-08-13,0.10509851331168957,0.10437951430126707,california,santaclara,White
62,2020-08-14,0.1084887879346473,0.10916814681101698,california,santaclara,White
69,2020-08-21,0.11526933718056274,0.11105861609884926,california,santaclara,White
73,2020-08-25,0.12035474911499935,0.11954108320548967,california,santaclara,White
74,2020-08-26,0.12544016104943592,0.1236094127530389,california,santaclara,White
75,2020-08-27,0.12713529836091478,0.12659285442124177,california,santaclara,White
76,2020-08-28,0.13222071029535135,0.12974580982059236,california,santaclara,White
85,2020-09-06,0.13391584760683026,0.13637379670847471,california,santaclara,White
86,2020-09-07,0.1356109849183091,0.1353058602022429,california,santaclara,White
90,2020-09-11,0.14747694609866116,0.14513765660882047,california,santaclara,White
91,2020-09-12,0.14917208341014002,0.14810414690390825,california,santaclara,White
95,2020-09-16,0.15086722072161887,0.14898561830587728,california,santaclara,White
101,2020-09-22,0.1542574953445766,0.154240543971462,california,santaclara,White
105,2020-09-26,0.1593429072790132,0.15896997707048793,california,santaclara,White
107,2020-09-28,0.16103804459049206,0.161292315187214,california,santaclara,White
109,2020-09-30,0.1644283192134498,0.16556406121214054,california,santaclara,White
112,2020-10-03,0.1695137311478864,0.17381937991904245,california,santaclara,White
113,2020-10-04,0.17629428039380185,0.1799388256134811,california,santaclara,White
115,2020-10-06,0.1779894177052807,0.18105761623905725,california,santaclara,White
116,2020-10-07,0.18476996695119616,0.18246458020758474,california,santaclara,White
119,2020-10-10,0.1966359281315482,0.19612738693810478,california,santaclara,White
120,2020-10-11,0.19833106544302706,0.19772081601089478,california,santaclara,White
121,2020-10-12,0.2017213400659848,0.19921253684499604,california,santaclara,White
122,2020-10-13,0.19833106544302706,0.197381788548599,california,santaclara,White
123,2020-10-14,0.1915505161971116,0.1933643131203939,california,santaclara,White
124,2020-10-15,0.18985537888563275,0.19158441894334088,california,santaclara,White
126,2020-10-17,0.1915505161971116,0.1929574801656388,california,santaclara,White
127,2020-10-18,0.1932456535085905,0.19555104025220177,california,santaclara,White
131,2020-10-22,0.1966359281315482,0.1966020253853189,california,santaclara,White
134,2020-10-25,0.20002620275450594,0.20155182633483718,california,santaclara,White
136,2020-10-27,0.2068067520004214,0.206196502568289,california,santaclara,White
138,2020-10-29,0.2101970266233791,0.2107055678168231,california,santaclara,White
141,2020-11-01,0.2152824385578157,0.21446877264830572,california,santaclara,White
143,2020-11-03,0.21867271318077344,0.21645208330273605,california,santaclara,White
145,2020-11-05,0.2203678504922523,0.21877442141946207,california,santaclara,White
148,2020-11-08,0.22375812511521004,0.22762303818538204,california,santaclara,White
150,2020-11-10,0.22884353704964666,0.22945378648177875,california,santaclara,White
151,2020-11-11,0.2339289489840832,0.2317591732253901,california,santaclara,White
155,2020-11-15,0.2390143609185198,0.24498124425492537,california,santaclara,White
156,2020-11-16,0.24579491016443525,0.24659162470083007,california,santaclara,White
157,2020-11-17,0.2474900474759141,0.24910042792181897,california,santaclara,White
158,2020-11-18,0.25088032209887184,0.2519143558588742,california,santaclara,White
159,2020-11-19,0.2525754594103507,0.25111764132247905,california,santaclara,White
162,2020-11-22,0.2559657340333085,0.2605426047743009,california,santaclara,White
163,2020-11-23,0.2593560086562662,0.2587457592241335,california,santaclara,White
164,2020-11-24,0.2627462832792239,0.26086468086348236,california,santaclara,White
166,2020-11-26,0.26444142059070275,0.2740867518930177,california,santaclara,White
169,2020-11-29,0.2712219698366182,0.2678147438405453,california,santaclara,White
182,2020-12-12,0.3169906772465476,0.3032770163966834,california,santaclara,White
4,2020-06-17,0.0995927073240062,0.11145194607410591,california,santaclara,Hispanic
23,2020-07-06,0.10581725153175656,0.11166535901837164,california,santaclara,Hispanic
26,2020-07-09,0.10789209960100672,0.11028706708665541,california,santaclara,Hispanic
31,2020-07-14,0.11204179573950697,0.11246565755936815,california,santaclara,Hispanic
47,2020-07-30,0.12449088415500775,0.1255786973570291,california,santaclara,Hispanic
54,2020-08-06,0.13071542836275812,0.12893105902320323,california,santaclara,Hispanic
55,2020-08-07,0.1348651245012584,0.1364420090338886,california,santaclara,Hispanic
56,2020-08-08,0.13693997257050852,0.13616042251020477,california,santaclara,Hispanic
60,2020-08-12,0.14316451677825892,0.1403575437474308,california,santaclara,Hispanic
69,2020-08-21,0.15146390905525942,0.15225679742457987,california,santaclara,Hispanic
70,2020-08-22,0.1556136051937597,0.15570104521953498,california,santaclara,Hispanic
73,2020-08-25,0.1576884532630098,0.1591719696325236,california,santaclara,Hispanic
74,2020-08-26,0.15976330133225994,0.15991595086878346,california,santaclara,Hispanic
75,2020-08-27,0.16183814940151006,0.166866691900771,california,santaclara,Hispanic
80,2020-09-01,0.17013754167851058,0.17577520028953017,california,santaclara,Hispanic
81,2020-09-02,0.17428723781701086,0.17560476634098465,california,santaclara,Hispanic
82,2020-09-03,0.17636208588626098,0.1774291506075896,california,santaclara,Hispanic
83,2020-09-04,0.1784369339555111,0.1807237129346918,california,santaclara,Hispanic
84,2020-09-05,0.18051178202476129,0.1816855532182227,california,santaclara,Hispanic
85,2020-09-06,0.18258663009401133,0.1829601027464763,california,santaclara,Hispanic
88,2020-09-09,0.18881117430176173,0.18711572702231738,california,santaclara,Hispanic
90,2020-09-11,0.192960870440262,0.19165371615663448,california,santaclara,Hispanic
92,2020-09-13,0.19711056657876228,0.19928322891413427,california,santaclara,Hispanic
94,2020-09-15,0.2054099588557628,0.20774268089933418,california,santaclara,Hispanic
95,2020-09-16,0.20333511078651265,0.2054307073364553,california,santaclara,Hispanic
96,2020-09-17,0.20748480692501287,0.20663411921662042,california,santaclara,Hispanic
101,2020-09-22,0.2116345030635132,0.21132327585312588,california,santaclara,Hispanic
102,2020-09-23,0.2137093511327633,0.2138130935362259,california,santaclara,Hispanic
103,2020-09-24,0.21578419920201344,0.21535144517614127,california,santaclara,Hispanic
104,2020-09-25,0.2178590472712636,0.21742629324539153,california,santaclara,Hispanic
106,2020-09-27,0.2199338953405137,0.22046594566684294,california,santaclara,Hispanic
108,2020-09-29,0.2261584395482641,0.22402134603693663,california,santaclara,Hispanic
109,2020-09-30,0.2282332876175142,0.22796355736851173,california,santaclara,Hispanic
111,2020-10-02,0.2323829837560145,0.2315960235240347,california,santaclara,Hispanic
112,2020-10-03,0.23445783182526456,0.23576202204022137,california,santaclara,Hispanic
113,2020-10-04,0.2427572241022651,0.24578650228337046,california,santaclara,Hispanic
114,2020-10-05,0.2469069202407653,0.24518479634328735,california,santaclara,Hispanic
115,2020-10-06,0.2531314644485157,0.25466685201976047,california,santaclara,Hispanic
116,2020-10-07,0.257281160587016,0.25456755571930384,california,santaclara,Hispanic
117,2020-10-08,0.2593560086562661,0.2591900208107257,california,santaclara,Hispanic
118,2020-10-09,0.2655805528640165,0.26450163186800607,california,santaclara,Hispanic
119,2020-10-10,0.28217933741801754,0.28004076187235494,california,santaclara,Hispanic
120,2020-10-11,0.28632903355651784,0.28484699922133927,california,santaclara,Hispanic
121,2020-10-12,0.2842541854872677,0.2779244168417193,california,santaclara,Hispanic
122,2020-10-13,0.2904787296950181,0.292031901678285,california,santaclara,Hispanic
123,2020-10-14,0.30292781811051883,0.2986121341264782,california,santaclara,Hispanic
124,2020-10-15,0.30500266617976896,0.3036925478274704,california,santaclara,Hispanic
126,2020-10-17,0.30707751424901913,0.3078615104123288,california,santaclara,Hispanic
129,2020-10-20,0.3112272103875194,0.31153547352923594,california,santaclara,Hispanic
131,2020-10-22,0.31537690652601963,0.31425056043128347,california,santaclara,Hispanic
134,2020-10-25,0.3236762988030201,0.32263442866538894,california,santaclara,Hispanic
136,2020-10-27,0.3278259949415204,0.32350438282013916,california,santaclara,Hispanic
138,2020-10-29,0.32160145073377,0.32144731916291114,california,santaclara,Hispanic
141,2020-11-01,0.3278259949415204,0.3292739424869897,california,santaclara,Hispanic
143,2020-11-03,0.3340505391492708,0.3319519785306577,california,santaclara,Hispanic
145,2020-11-05,0.3423499314262713,0.3382446963178259,california,santaclara,Hispanic
150,2020-11-10,0.3444247794955214,0.3400675985500962,california,santaclara,Hispanic
151,2020-11-11,0.3319756910800207,0.33203497245342817,california,santaclara,Hispanic
152,2020-11-12,0.3340505391492708,0.33618763266059837,california,santaclara,Hispanic
155,2020-11-15,0.33820023528777104,0.33815873832638615,california,santaclara,Hispanic
156,2020-11-16,0.3402750833570212,0.34073154993225613,california,santaclara,Hispanic
157,2020-11-17,0.3444247794955214,0.3431383736925864,california,santaclara,Hispanic
158,2020-11-18,0.3423499314262713,0.34332511001881855,california,santaclara,Hispanic
159,2020-11-19,0.3444247794955214,0.3433251100188188,california,santaclara,Hispanic
162,2020-11-22,0.3485744756340217,0.346837531393192,california,santaclara,Hispanic
163,2020-11-23,0.352724171772522,0.3509190539522743,california,santaclara,Hispanic
164,2020-11-24,0.3568738679110222,0.35197722646759194,california,santaclara,Hispanic
166,2020-11-26,0.3630984121187726,0.3629235320672219,california,santaclara,Hispanic
169,2020-11-29,0.3713978043957731,0.3644707759131478,california,santaclara,Hispanic
182,2020-12-12,0.40874506964227547,0.39057829276165534,california,santaclara,Hispanic
4,2020-06-17,0.06916160230833764,0.06886873473898524,california,santaclara,Asian
9,2020-06-22,0.07049163312195951,0.07070052619680489,california,santaclara,Asian
12,2020-06-25,0.06916160230833764,0.07057378208397733,california,santaclara,Asian
23,2020-07-06,0.07315169474920327,0.07464237242188218,california,santaclara,Asian
54,2020-08-06,0.07581175637644702,0.07825770912173312,california,santaclara,Asian
55,2020-08-07,0.07714178719006891,0.07867914633640236,california,santaclara,Asian
56,2020-08-08,0.07847181800369077,0.07852371528445766,california,santaclara,Asian
62,2020-08-14,0.07980184881731266,0.08109954162683851,california,santaclara,Asian
69,2020-08-21,0.08113187963093453,0.08252345696848078,california,santaclara,Asian
70,2020-08-22,0.07980184881731266,0.08175699411333669,california,santaclara,Asian
73,2020-08-25,0.08645200288542204,0.08699731551900701,california,santaclara,Asian
