time,y,y_pred
4,-0.6623902451820823,-1.685446606648236
5,-0.5419486470921825,-1.6875716711189839
6,-0.5421239687967095,-1.6896967355897317
7,-0.7040375394066867,-1.691821800060479
8,-0.7483445109434562,-1.6939468645312268
9,-0.5718759913482779,-1.6960719290019746
10,-0.768744238414995,-1.6981969934727223
11,-0.8483565298175588,-1.7003220579434701
12,-1.1288119290087464,-1.7024471224142175
13,-0.7464148896905078,-1.7045721868849653
15,-0.9127706651506052,-1.7088223158264608
23,-1.3691669950686636,-1.7258228315924427
25,-1.3943014910655844,-1.7300729605339378
26,-1.435393509683924,-1.7321980250046856
27,-1.541016905606044,-1.7343230894754333
29,-1.5709442498621398,-1.738573218416929
30,-1.6110424179871086,-1.7406982828876763
31,-1.7227450763370358,-1.742823347358424
32,-1.767928656396441,-1.7449484118291718
33,-1.8174963615721744,-1.7470734762999196
34,-1.87893002792826,-1.7491985407706674
35,-1.900674249302223,-1.7513236052414147
36,-1.4778278571983865,-1.7534486697121625
37,-2.015182054924584,-1.7555737341829103
38,-2.110283983568777,-1.757698798653658
39,-1.698952909236238,-1.7598238631244059
40,-2.2542523305705955,-1.7619489275951536
41,-1.7665819974877153,-1.764073992065901
42,-2.348360408721418,-1.7661990565366488
43,-2.326674267081247,-1.7683241210073966
45,-2.4611149972985085,-1.7725742499488921
46,-2.507993714669392,-1.77469931441964
47,-2.6719530659999022,-1.7768243788903872
49,-2.824747742968168,-1.7810745078318828
50,-2.9286760015788103,-1.7831995723026306
54,-3.28044278606812,-1.7916998301856213
55,-3.8055222994711166,-1.793824894656369
56,-3.4888844306399256,-1.7959499591271169
4,1.378839860906798,3.4971406164647765
5,1.5581366264512444,3.495015551994029
6,1.5902231580587824,3.492890487523281
7,1.4528551757190191,3.4907654230525336
8,1.4987295091529254,3.488640358581786
9,1.696937442206376,3.486515294111038
10,1.6224842586495491,3.4843902296402907
11,1.8337575298967583,3.4822651651695424
12,1.6018101800108502,3.480140100698795
13,2.0576134454653694,3.4780150362280473
15,2.0276958819315825,3.473764907286552
23,2.673925348187312,3.45676439152057
25,2.6774861365991054,3.452514262579075
26,2.6932015595630454,3.450389198108327
27,2.809112268603476,3.4482641336375797
