time,date,y,y_pred,state,county,ethnicity
0,2020-06-13,3.8349631399308,3.877335814803585,california,,Hispanic
1,2020-06-14,3.87832182338283,3.9222316438778484,california,,Hispanic
2,2020-06-15,3.94994394493693,3.9927071691362226,california,,Hispanic
4,2020-06-17,4.16159855526945,4.1969715327559145,california,,Hispanic
5,2020-06-18,4.256281072911371,4.243523984713479,california,,Hispanic
6,2020-06-19,4.35629510274073,4.291475476857099,california,,Hispanic
8,2020-06-21,4.5246552647078095,4.54299117017652,california,,Hispanic
9,2020-06-22,4.5831734285964005,4.614497668574751,california,,Hispanic
10,2020-06-23,4.71209324739378,4.753235820358269,california,,Hispanic
11,2020-06-24,4.88417904438341,4.864988169912109,california,,Hispanic
12,2020-06-25,5.0055833580490985,5.014494049261637,california,,Hispanic
13,2020-06-26,5.13456741193307,5.096536386563273,california,,Hispanic
14,2020-06-27,5.19501262841954,5.157184585923383,california,,Hispanic
16,2020-06-29,5.373778874415112,5.321600071222634,california,,Hispanic
18,2020-07-01,5.6939265460075985,5.7225252912616975,california,,Hispanic
19,2020-07-02,5.865755402650841,5.857043840206751,california,,Hispanic
21,2020-07-04,6.12674255948879,6.219481965761186,california,,Hispanic
22,2020-07-05,6.2692802166444315,6.267728939303141,california,,Hispanic
23,2020-07-06,6.35631875898148,6.377596631416279,california,,Hispanic
25,2020-07-08,6.5175488263364505,6.600898990001173,california,,Hispanic
26,2020-07-09,6.683018409406719,6.63890175193286,california,,Hispanic
27,2020-07-10,7.05519650114166,6.953310660888901,california,,Hispanic
29,2020-07-12,7.249186462660379,7.208738913332865,california,,Hispanic
30,2020-07-13,7.440221610195709,7.5748159565429445,california,,Hispanic
31,2020-07-14,7.603378730148551,7.592132451187389,california,,Hispanic
32,2020-07-15,7.8481786451644,7.924793117648702,california,,Hispanic
33,2020-07-16,8.08449952874963,8.05724972031403,california,,Hispanic
34,2020-07-17,8.59741669521553,8.333925654702096,california,,Hispanic
36,2020-07-19,8.84240931549117,8.898350367705559,california,,Hispanic
37,2020-07-20,8.99715163909998,9.136968297987448,california,,Hispanic
38,2020-07-21,9.20315356181209,9.156378856454902,california,,Hispanic
39,2020-07-22,9.43632692615413,9.514996921409505,california,,Hispanic
40,2020-07-23,9.696928672472499,9.677617036038395,california,,Hispanic
41,2020-07-24,9.920466773825199,9.8703846038592,california,,Hispanic
42,2020-07-25,10.180811579797199,10.05806346811994,california,,Hispanic
43,2020-07-26,10.4697409993042,10.306867156083271,california,,Hispanic
45,2020-07-28,10.7690122677531,10.73596267334881,california,,Hispanic
46,2020-07-29,10.9455302857179,10.934438170964555,california,,Hispanic
47,2020-07-30,11.3392271314623,11.11073265082789,california,,Hispanic
49,2020-08-01,11.8954387462937,11.90445927950431,california,,Hispanic
50,2020-08-02,12.1670889275065,11.937462624646255,california,,Hispanic
54,2020-08-06,13.2081469759615,12.805075019328388,california,,Hispanic
60,2020-08-12,14.5630576575225,14.553468001444658,california,,Hispanic
62,2020-08-14,15.1402099105841,15.116130103671999,california,,Hispanic
69,2020-08-21,16.2577077120878,16.687234889135272,california,,Hispanic
71,2020-08-23,16.7115928339723,16.81407156407432,california,,Hispanic
72,2020-08-24,16.8364016072276,16.93385458415437,california,,Hispanic
73,2020-08-25,17.114154121667,17.11977854584931,california,,Hispanic
75,2020-08-27,17.3231108583625,17.376042496769877,california,,Hispanic
76,2020-08-28,17.5446576720307,17.4949647666895,california,,Hispanic
77,2020-08-29,17.769223534769,17.79262630386838,california,,Hispanic
78,2020-08-30,17.9372625213031,17.780844304285026,california,,Hispanic
79,2020-08-31,18.063934112069603,17.937532308666746,california,,Hispanic
80,2020-09-01,18.1586166297115,18.163295513419133,california,,Hispanic
81,2020-09-02,18.2887569151542,18.277095035182754,california,,Hispanic
82,2020-09-03,18.5002830553135,18.430082456225772,california,,Hispanic
83,2020-09-04,18.6995402939331,18.78224296792492,california,,Hispanic
84,2020-09-05,18.9139570129892,18.76410169476857,california,,Hispanic
85,2020-09-06,19.2693055120361,19.01965392092966,california,,Hispanic
88,2020-09-09,19.4831441153129,19.57954170976692,california,,Hispanic
89,2020-09-10,19.6150829831803,19.617322860649914,california,,Hispanic
90,2020-09-11,19.8079809482269,19.73379263496331,california,,Hispanic
91,2020-09-12,19.979938275043303,20.003994314973312,california,,Hispanic
92,2020-09-13,20.142966924822897,20.08659935163356,california,,Hispanic
93,2020-09-14,20.235722389867,20.21113448341996,california,,Hispanic
94,2020-09-15,20.2839629399003,20.27599907386416,california,,Hispanic
95,2020-09-16,20.428363414567198,20.392030764887007,california,,Hispanic
96,2020-09-17,20.599806860690894,20.611332562278754,california,,Hispanic
97,2020-09-18,20.7672677314456,20.684125689461457,california,,Hispanic
99,2020-09-20,21.086773052172198,21.098385471126964,california,,Hispanic
100,2020-09-21,21.174646650634894,21.18192962475315,california,,Hispanic
101,2020-09-22,21.2251354286991,21.22950405693847,california,,Hispanic
102,2020-09-23,21.352063959812,21.33666424015158,california,,Hispanic
103,2020-09-24,21.522029998944006,21.44277353734801,california,,Hispanic
104,2020-09-25,21.6830673610392,21.691058205811654,california,,Hispanic
105,2020-09-26,21.8068483729089,21.806303017023712,california,,Hispanic
106,2020-09-27,21.942705581058608,21.886236516432408,california,,Hispanic
107,2020-09-28,22.0169613411631,22.03074297899219,california,,Hispanic
108,2020-09-29,22.054795807167892,22.05258868959249,california,,Hispanic
109,2020-09-30,22.155966068555998,22.116629143875702,california,,Hispanic
