time,date,y,y_pred,std_pred,state,county,ethnicity
1,2020-06-14,6.10612312241817,6.106123122768033,3.844837167224521e-05,california,imperial,Hispanic
2,2020-06-15,6.17104438104661,6.171044381326519,3.844841435848547e-05,california,imperial,Hispanic
3,2020-06-16,6.284644758177384,6.28464475846161,3.844841435848547e-05,california,imperial,Hispanic
4,2020-06-17,6.476056041910289,6.476056042175092,3.844841435848547e-05,california,imperial,Hispanic
5,2020-06-18,6.64801459899266,6.648014599255617,3.844841435848547e-05,california,imperial,Hispanic
6,2020-06-19,7.261414063810436,7.261414064007086,3.844841435848547e-05,california,imperial,Hispanic
7,2020-06-20,7.475512311656301,7.475512311884328,3.844837167224521e-05,california,imperial,Hispanic
10,2020-06-23,-4.263256414560601e-14,1.0085940971293894e-09,3.844832898595755e-05,california,imperial,Hispanic
11,2020-06-24,7.9251475758111445,7.925147575819132,3.844828629962251e-05,california,imperial,Hispanic
12,2020-06-25,8.200617718131916,8.2006177182977,3.844837167224521e-05,california,imperial,Hispanic
13,2020-06-26,8.301037429933569,8.301037430060331,3.844837167224521e-05,california,imperial,Hispanic
14,2020-06-27,8.510943772555065,8.510943772692317,3.844837167224521e-05,california,imperial,Hispanic
16,2020-06-29,8.501140622573748,8.501140622552974,3.844837167224521e-05,california,imperial,Hispanic
17,2020-06-30,-3.552713678800501e-15,1.0138432315898172e-09,3.844841435848547e-05,california,imperial,Hispanic
19,2020-07-02,8.870799051531812,8.870799051644878,3.844841435848547e-05,california,imperial,Hispanic
20,2020-07-03,9.33816116084259,9.338161160898748,3.844837167224521e-05,california,imperial,Hispanic
22,2020-07-05,2.8421709430404014e-14,1.0383711668282558e-09,3.844837167224521e-05,california,imperial,Hispanic
23,2020-07-06,9.82488139305191,9.824881392894843,3.844832898595755e-05,california,imperial,Hispanic
25,2020-07-08,9.889684396990354,9.88968439681999,3.844841435848547e-05,california,imperial,Hispanic
26,2020-07-09,5.684341886080803e-14,1.0775682568464617e-09,3.844832898595755e-05,california,imperial,Hispanic
27,2020-07-10,10.233696114907104,10.23369611470218,3.844837167224521e-05,california,imperial,Hispanic
30,2020-07-13,10.50627079739456,10.506270797354642,3.844841435848547e-05,california,imperial,Hispanic
31,2020-07-14,10.162093522911826,10.162093522916008,3.844837167224521e-05,california,imperial,Hispanic
32,2020-07-15,10.233459605527118,10.233459605517007,3.844841435848547e-05,california,imperial,Hispanic
33,2020-07-16,10.324207461978943,10.324207461965022,3.8448457044678344e-05,california,imperial,Hispanic
