time,date,y,y_pred,std_pred,state,county,ethnicity
4,2020-06-17,-0.660994256498943,-0.6609942559168711,7.822136452745101e-05,california,santaclara,White
5,2020-06-18,-0.5569312352833199,-0.5569312368770021,7.82222329223421e-05,california,santaclara,White
6,2020-06-19,-0.5598996430762967,-0.5598996400558779,7.821637106972529e-05,california,santaclara,White
7,2020-06-20,-0.6999977546460652,-0.6999977592569181,7.82180645389379e-05,california,santaclara,White
8,2020-06-21,-0.7468403041098336,-0.7468402979293335,7.823191487243998e-05,california,santaclara,White
9,2020-06-22,-0.5912788583175416,-0.5912788653801453,7.823304363167582e-05,california,santaclara,White
10,2020-06-23,-0.7549017938288012,-0.7549017867477925,7.823265290916797e-05,california,santaclara,White
11,2020-06-24,-0.8513405321385461,-0.8513405381682171,7.823030853314e-05,california,santaclara,White
12,2020-06-25,-1.129308531935463,-1.1293085277347048,7.822887582431445e-05,california,santaclara,White
13,2020-06-26,-0.7549171338119107,-0.7549171355574272,7.822262369689785e-05,california,santaclara,White
15,2020-06-28,-0.9061486921032292,-0.9061486916941345,7.821988823401033e-05,california,santaclara,White
23,2020-07-06,-1.3918668874507365,-1.391866887272322,7.822006191703776e-05,california,santaclara,White
25,2020-07-08,-1.4192115228367206,-1.419211522853408,7.82190198130883e-05,california,santaclara,White
26,2020-07-09,-1.465632205470508,-1.4656322052624882,7.821962770874607e-05,california,santaclara,White
27,2020-07-10,-1.5277463307206944,-1.5277463307870551,7.822153820720048e-05,california,santaclara,White
29,2020-07-12,-1.6144437819831017,-1.6144437814658734,7.82306558525402e-05,california,santaclara,White
30,2020-07-13,-1.646881499295077,-1.6468815002067458,7.82421165278184e-05,california,santaclara,White
31,2020-07-14,-1.707929452482979,-1.707929450894781,7.825722121717628e-05,california,santaclara,White
32,2020-07-15,-1.7736409507753368,-1.7736409526484866,7.824927859746724e-05,california,santaclara,White
33,2020-07-16,-1.8285373199665176,-1.828537317874138,7.820911913302407e-05,california,santaclara,White
34,2020-07-17,-1.8993265602017584,-1.8993265614407955,7.819352736339994e-05,california,santaclara,White
35,2020-07-18,-1.959523109738144,-1.9595231104601383,7.817250178207297e-05,california,santaclara,White
36,2020-07-19,-1.5167854631327395,-1.5167854580579587,7.815151400290765e-05,california,santaclara,White
37,2020-07-20,-2.008668667124,-2.0086686782377225,7.814316946904126e-05,california,santaclara,White
38,2020-07-21,-2.152327717114245,-2.152327699241273,7.8167374853104e-05,california,santaclara,White
39,2020-07-22,-1.6812904822617338,-1.6812905046516882,7.822071322495594e-05,california,santaclara,White
40,2020-07-23,-2.24739730572444,-2.2473972821966015,7.82535755246164e-05,california,santaclara,White
