time,date,y,y_pred,std_pred,state,county,ethnicity
0,2020-06-13,1.61545345666506,1.6154534564252627,4.915019674898471e-06,california,None,Hispanic
1,2020-06-14,1.61723515119275,1.6172351511679528,4.914148868733981e-06,california,None,Hispanic
2,2020-06-15,1.62300145577097,1.6230014560913242,4.914274449050082e-06,california,None,Hispanic
4,2020-06-17,1.63558969664579,1.635589694906309,4.924977932806581e-06,california,None,Hispanic
5,2020-06-18,1.63891015751801,1.6389101611214651,4.9399740903839075e-06,california,None,Hispanic
6,2020-06-19,1.64439363318175,1.6443936294513444,4.962439453859809e-06,california,None,Hispanic
8,2020-06-21,1.64767370619755,1.647673713439326,4.975511112497799e-06,california,None,Hispanic
9,2020-06-22,1.6468391236904698,1.6468391076974647,4.984514244035316e-06,california,None,Hispanic
10,2020-06-23,1.6479490103365002,1.6479490327459518,5.028726605801662e-06,california,None,Hispanic
11,2020-06-24,1.6584576980303505,1.6584576740831276,5.125355747229458e-06,california,None,Hispanic
12,2020-06-25,1.6626320930111298,1.6626321127955423,5.168503600886545e-06,california,None,Hispanic
13,2020-06-26,1.66516060465074,1.6651605923355541,5.128573004799466e-06,california,None,Hispanic
14,2020-06-27,1.66430046184724,1.6643004665120014,5.022661618814832e-06,california,None,Hispanic
16,2020-06-29,1.66275078105044,1.6627507798434715,4.924480770609066e-06,california,None,Hispanic
18,2020-07-01,1.66277194636871,1.662771947534022,4.916073171407523e-06,california,None,Hispanic
19,2020-07-02,1.6620224849981695,1.6620224837478688,4.915546451376077e-06,california,None,Hispanic
21,2020-07-04,1.6578861392027802,1.6578861405042982,4.916350154377457e-06,california,None,Hispanic
22,2020-07-05,1.65479710589298,1.654797103910501,4.921425867129918e-06,california,None,Hispanic
23,2020-07-06,1.65101422734656,1.651014228694288,4.923781934497976e-06,california,None,Hispanic
25,2020-07-08,1.6454397735538602,1.6454397719067995,4.9004098380326015e-06,california,None,Hispanic
26,2020-07-09,1.6464190149052802,1.646419017374065,4.885892234184311e-06,california,None,Hispanic
27,2020-07-10,1.6462426401035202,1.6462426379970752,4.894810789102431e-06,california,None,Hispanic
29,2020-07-12,1.64569444283632,1.6456944460337666,5.0326294732460906e-06,california,None,Hispanic
30,2020-07-13,1.6480992035401398,1.6480991966822571,5.175724956246762e-06,california,None,Hispanic
31,2020-07-14,1.64939852719614,1.6493985366514783,5.332991494989042e-06,california,None,Hispanic
32,2020-07-15,1.64926968531115,1.6492696750866567,5.39448373111879e-06,california,None,Hispanic
33,2020-07-16,1.6516286805718,1.6516286889557683,5.394509844070067e-06,california,None,Hispanic
34,2020-07-17,1.66129393775108,1.6612939330850438,5.359010073665116e-06,california,None,Hispanic
36,2020-07-19,1.66411012389005,1.6641101277852322,5.007897000947994e-06,california,None,Hispanic
37,2020-07-20,1.6647737995463798,1.6647737930333026,4.6803961054762865e-06,california,None,Hispanic
38,2020-07-21,1.66667608929083,1.6666760968025283,4.419566196131198e-06,california,None,Hispanic
39,2020-07-22,1.6650675619386202,1.6650675543647206,4.617820166241522e-06,california,None,Hispanic
40,2020-07-23,1.6654012514912298,1.6654012581788202,4.921111003478412e-06,california,None,Hispanic
41,2020-07-24,1.66692052558121,1.6669205202882647,5.082174179276189e-06,california,None,Hispanic
42,2020-07-25,1.66795826009516,1.6679582633681589,4.992176444942334e-06,california,None,Hispanic
43,2020-07-26,1.67383951638607,1.6738395149742344,4.8459861154320296e-06,california,None,Hispanic
45,2020-07-28,1.67508174179086,1.6750817421438287,4.871727930307548e-06,california,None,Hispanic
46,2020-07-29,1.67489846988365,1.6748984696362657,4.892957638973886e-06,california,None,Hispanic
47,2020-07-30,1.6833980374523898,1.683398037375873,4.904402509714108e-06,california,None,Hispanic
49,2020-08-01,1.6938584428049197,1.693858442861063,4.914737157519033e-06,california,None,Hispanic
50,2020-08-02,1.69764899611373,1.697648995930086,4.915726579602135e-06,california,None,Hispanic
54,2020-08-06,1.7083592439996498,1.7083592438157238,4.916073171407523e-06,california,None,Hispanic
60,2020-08-12,1.71457664904437,1.7145766489163425,4.916079993835618e-06,california,None,Hispanic
62,2020-08-14,1.71367001038075,1.7136700102495512,4.916086816254245e-06,california,None,Hispanic
69,2020-08-21,1.7196485966848898,1.7196485963701855,4.9159121593560075e-06,california,None,Hispanic
71,2020-08-23,1.72251906981282,1.7225190706679139,4.914581561302658e-06,california,None,Hispanic
72,2020-08-24,1.7216718034502,1.72167180149349,4.9115997135847465e-06,california,None,Hispanic
73,2020-08-25,1.7206571860348,1.720657187877804,4.891002298193487e-06,california,None,Hispanic
75,2020-08-27,1.72220868379967,1.7222086798977985,4.5011838396856746e-06,california,None,Hispanic
76,2020-08-28,1.72374988846796,1.7237498970690033,3.807145535957649e-06,california,None,Hispanic
77,2020-08-29,1.7251838525565402,1.7251838395531238,2.7787216583635882e-06,california,None,Hispanic
78,2020-08-30,1.72431346952341,1.7243134850192328,3.717244150055463e-06,california,None,Hispanic
79,2020-08-31,1.7247870263749498,1.7247870105383618,5.9933299307727225e-06,california,None,Hispanic
80,2020-09-01,1.72454670574427,1.7245467197050086,7.490444927859837e-06,california,None,Hispanic
81,2020-09-02,1.72401895633673,1.7240189452802845,7.581988080290921e-06,california,None,Hispanic
82,2020-09-03,1.72502344431256,1.725023452047362,6.5347702730026645e-06,california,None,Hispanic
83,2020-09-04,1.72524116164377,1.7252411566714834,5.339530638698396e-06,california,None,Hispanic
84,2020-09-05,1.72602877584922,1.7260287785023634,4.869133146691287e-06,california,None,Hispanic
85,2020-09-06,1.7273273948893002,1.7273273937943823,4.828805160436609e-06,california,None,Hispanic
88,2020-09-09,1.72762398007473,1.727623981347587,4.983206002231654e-06,california,None,Hispanic
89,2020-09-10,1.7279535123669498,1.7279535076879582,5.046194621177598e-06,california,None,Hispanic
90,2020-09-11,1.72854083153393,1.7285408416778485,4.8452565760450495e-06,california,None,Hispanic
91,2020-09-12,1.7283202998632698,1.7283202820711185,4.711722647496995e-06,california,None,Hispanic
92,2020-09-13,1.7280692558215702,1.7280692823064736,4.4327436219266385e-06,california,None,Hispanic
93,2020-09-14,1.72788570559262,1.7278856704229053,5.1113195927511814e-06,california,None,Hispanic
94,2020-09-15,1.72768507314172,1.7276851147420897,5.584614389058467e-06,california,None,Hispanic
95,2020-09-16,1.72760166679813,1.7276016229868536,5.423929723604722e-06,california,None,Hispanic
96,2020-09-17,1.7283687717898704,1.7283688107608635,4.849536725795651e-06,california,None,Hispanic
97,2020-09-18,1.72884698091685,1.7288469558527542,4.547632411132759e-06,california,None,Hispanic
99,2020-09-20,1.7289301675585702,1.728930204130168,5.244526427380053e-06,california,None,Hispanic
100,2020-09-21,1.7284952016289898,1.7284951172935554,5.761210419000139e-06,california,None,Hispanic
101,2020-09-22,1.72789028449685,1.7278904254747594,6.631932553219566e-06,california,None,Hispanic
102,2020-09-23,1.72769395619748,1.7276937523849234,7.494120175578416e-06,california,None,Hispanic
103,2020-09-24,1.72833692813961,1.728337196957069,8.927682935881121e-06,california,None,Hispanic
104,2020-09-25,1.7285898898850602,1.728589557474464,1.1008355557228932e-05,california,None,Hispanic
105,2020-09-26,1.7270425184503897,1.7270429089558381,1.4423282916978286e-05,california,None,Hispanic
