time,date,y,y_pred,std_pred,state,county,ethnicity
1,2020-06-14,1.08675799086758,1.0867579911776448,2.9204523663169403e-06,california,sacramento,White
2,2020-06-15,1.0844748858447488,1.0844748846839878,2.9213162321527204e-06,california,sacramento,White
3,2020-06-16,1.0639269406392695,1.0639269431215548,2.9232205348305793e-06,california,sacramento,White
4,2020-06-17,1.0502283105022832,1.050228306463494,2.9272615485823163e-06,california,sacramento,White
5,2020-06-18,1.0365296803652968,1.0365296859315383,2.9349631805864845e-06,california,sacramento,White
6,2020-06-19,1.0182648401826484,1.0182648334048516,2.9572138634676327e-06,california,sacramento,White
7,2020-06-20,0.9977168949771692,0.9977169024167657,2.9691999517120026e-06,california,sacramento,White
8,2020-06-21,0.9885844748858448,0.9885844675321634,2.958911078131329e-06,california,sacramento,White
9,2020-06-22,0.9748858447488584,0.9748858512896681,2.9392908592422827e-06,california,sacramento,White
10,2020-06-23,0.9726027397260274,0.9726027345962169,2.928032057496624e-06,california,sacramento,White
11,2020-06-24,0.9657534246575342,0.9657534281351968,2.9310579611489512e-06,california,sacramento,White
12,2020-06-25,0.952054794520548,0.9520547926175693,2.9233039361453287e-06,california,sacramento,White
13,2020-06-26,0.9474885844748858,0.9474885851981979,2.9187903672480754e-06,california,sacramento,White
15,2020-06-28,0.9315068493150684,0.9315068490580491,2.921587656941477e-06,california,sacramento,White
16,2020-06-29,0.9132420091324202,0.9132420093811665,2.9210026443574237e-06,california,sacramento,White
17,2020-06-30,0.8835616438356164,0.8835616437359535,2.9203656414689426e-06,california,sacramento,White
19,2020-07-02,0.8538812785388128,0.8538812786212577,2.920043845460307e-06,california,sacramento,White
20,2020-07-03,0.8538812785388128,0.8538812784932354,2.9200114207220964e-06,california,sacramento,White
22,2020-07-05,0.8424657534246576,0.8424657535103002,2.9201686773410394e-06,california,sacramento,White
23,2020-07-06,0.8264840182648402,0.826484018195971,2.9201249057306564e-06,california,sacramento,White
25,2020-07-08,0.817351598173516,0.8173515983709603,2.9196312138028886e-06,california,sacramento,White
26,2020-07-09,0.817351598173516,0.8173515978726968,2.919615809920397e-06,california,sacramento,White
27,2020-07-10,0.8013698630136986,0.8013698633070973,2.91948690055995e-06,california,sacramento,White
28,2020-07-11,0.8036529680365296,0.8036529679331046,2.91982010743726e-06,california,sacramento,White
30,2020-07-13,0.8013698630136986,0.8013698630097033,2.9212141374966108e-06,california,sacramento,White
31,2020-07-14,0.7945205479452054,0.7945205481265992,2.9208057231857223e-06,california,sacramento,White
32,2020-07-15,0.7968036529680365,0.7968036526794602,2.918603028997007e-06,california,sacramento,White
33,2020-07-16,0.7945205479452054,0.794520548271233,2.9184375774253725e-06,california,sacramento,White
34,2020-07-17,0.7968036529680365,0.7968036527964323,2.9193920390933193e-06,california,sacramento,White
36,2020-07-19,0.7945205479452054,0.7945205481531804,2.9190668922163203e-06,california,sacramento,White
37,2020-07-20,0.7945205479452054,0.7945205476467527,2.923258592036355e-06,california,sacramento,White
38,2020-07-21,0.7945205479452054,0.7945205483299855,2.9325330165206476e-06,california,sacramento,White
39,2020-07-22,0.7922374429223744,0.7922374425371252,2.9356881285760695e-06,california,sacramento,White
40,2020-07-23,0.7899543378995433,0.7899543383204404,2.930129918724744e-06,california,sacramento,White
41,2020-07-24,0.7853881278538812,0.7853881274833026,2.9205731284041533e-06,california,sacramento,White
42,2020-07-25,0.7831050228310503,0.7831050231484633,2.9165074271683362e-06,california,sacramento,White
43,2020-07-26,0.7899543378995433,0.7899543377582534,2.9182834719366363e-06,california,sacramento,White
45,2020-07-28,0.7922374429223744,0.7922374430675114,2.9203575362113666e-06,california,sacramento,White
46,2020-07-29,0.7899543378995433,0.789954337752101,2.920280535142396e-06,california,sacramento,White
47,2020-07-30,0.7876712328767123,0.7876712329980875,2.9202853984278715e-06,california,sacramento,White
49,2020-08-01,0.7899543378995433,0.7899543378573137,2.9203194411994266e-06,california,sacramento,White
50,2020-08-02,0.7876712328767123,0.7876712329495938,2.920310525273805e-06,california,sacramento,White
54,2020-08-06,0.7922374429223744,0.7922374429765828,2.9202959355186167e-06,california,sacramento,White
60,2020-08-12,0.7990867579908675,0.7990867581038508,2.9203178201240654e-06,california,sacramento,White
61,2020-08-13,0.8059360730593607,0.8059360729273715,2.9203502414603144e-06,california,sacramento,White
62,2020-08-14,0.8082191780821918,0.8082191781916046,2.9203429466910403e-06,california,sacramento,White
69,2020-08-21,0.817351598173516,0.8173515982224673,2.9202845878808545e-06,california,sacramento,White
72,2020-08-24,0.8287671232876712,0.8287671232946727,2.920427240691382e-06,california,sacramento,White
73,2020-08-25,0.8264840182648402,0.826484018321221,2.9209831959436495e-06,california,sacramento,White
74,2020-08-26,0.8264840182648402,0.8264840182088096,2.921530943398048e-06,california,sacramento,White
75,2020-08-27,0.8264840182648402,0.8264840183317339,2.9213648474015844e-06,california,sacramento,White
76,2020-08-28,0.8287671232876712,0.8287671232840741,2.920791946310561e-06,california,sacramento,White
79,2020-08-31,0.8333333333333333,0.8333333334335812,2.919348255838314e-06,california,sacramento,White
80,2020-09-01,0.8356164383561644,0.8356164381969955,2.9190847316373283e-06,california,sacramento,White
81,2020-09-02,0.8333333333333333,0.8333333335432198,2.919383931132674e-06,california,sacramento,White
82,2020-09-03,0.8356164383561644,0.8356164382143267,2.9204069779326674e-06,california,sacramento,White
83,2020-09-04,0.8356164383561644,0.8356164384409689,2.9206557948733767e-06,california,sacramento,White
86,2020-09-07,0.8333333333333333,0.8333333333609516,2.9196782356783227e-06,california,sacramento,White
87,2020-09-08,0.8356164383561644,0.835616438350624,2.9193628503296094e-06,california,sacramento,White
88,2020-09-09,0.8356164383561644,0.8356164383870357,2.919539600042916e-06,california,sacramento,White
89,2020-09-10,0.8356164383561644,0.835616438345023,2.92000655698031e-06,california,sacramento,White
90,2020-09-11,0.8378995433789954,0.8378995434133104,2.9202156905621325e-06,california,sacramento,White
93,2020-09-14,0.8356164383561644,0.8356164383986382,2.9208648819698432e-06,california,sacramento,White
94,2020-09-15,0.8333333333333333,0.8333333333042395,2.9212805804560287e-06,california,sacramento,White
95,2020-09-16,0.8333333333333333,0.8333333333892917,2.9210925915867992e-06,california,sacramento,White
96,2020-09-17,0.8333333333333333,0.8333333333030039,2.920696316797822e-06,california,sacramento,White
97,2020-09-18,0.8333333333333333,0.8333333333763071,2.9204248091677597e-06,california,sacramento,White
100,2020-09-21,0.8356164383561644,0.8356164383985186,2.920068163777684e-06,california,sacramento,White
101,2020-09-22,0.8356164383561644,0.8356164383253352,2.9201540868771468e-06,california,sacramento,White
102,2020-09-23,0.8356164383561644,0.8356164384132831,2.920432914238629e-06,california,sacramento,White
103,2020-09-24,0.8356164383561644,0.8356164383267501,2.9205269314169047e-06,california,sacramento,White
104,2020-09-25,0.8356164383561644,0.8356164383971343,2.9204385877748534e-06,california,sacramento,White
107,2020-09-28,0.8356164383561644,0.8356164384049132,2.921218999227812e-06,california,sacramento,White
108,2020-09-29,0.8356164383561644,0.8356164383078901,2.9220996493874814e-06,california,sacramento,White
109,2020-09-30,0.8356164383561644,0.8356164384396954,2.922360471805068e-06,california,sacramento,White
110,2020-10-01,0.8356164383561644,0.8356164383006672,2.9218145001068746e-06,california,sacramento,White
111,2020-10-02,0.8356164383561644,0.8356164384116457,2.920965368117268e-06,california,sacramento,White
114,2020-10-05,0.8378995433789954,0.8378995434011778,2.9200170950772747e-06,california,sacramento,White
115,2020-10-06,0.8378995433789954,0.8378995433970485,2.91981524337679e-06,california,sacramento,White
116,2020-10-07,0.8378995433789954,0.8378995433710437,2.919769845088318e-06,california,sacramento,White
117,2020-10-08,0.8356164383561644,0.8356164383801806,2.919833888897923e-06,california,sacramento,White
118,2020-10-09,0.8356164383561644,0.8356164383738146,2.920128958685107e-06,california,sacramento,White
121,2020-10-12,0.8356164383561644,0.8356164384230225,2.919700935623011e-06,california,sacramento,White
122,2020-10-13,0.8356164383561644,0.8356164382685645,2.919418795203686e-06,california,sacramento,White
123,2020-10-14,0.8356164383561644,0.8356164384899785,2.919413930474586e-06,california,sacramento,White
124,2020-10-15,0.8356164383561644,0.8356164382567577,2.92004303484624e-06,california,sacramento,White
125,2020-10-16,0.8378995433789954,0.8378995434567407,2.9203332203036635e-06,california,sacramento,White
129,2020-10-20,0.8401826484018264,0.8401826484334489,2.920297556606126e-06,california,sacramento,White
131,2020-10-22,0.8401826484018264,0.8401826484269104,2.9202959355186167e-06,california,sacramento,White
134,2020-10-25,0.8378995433789954,0.837899543412603,2.9202991776927354e-06,california,sacramento,White
136,2020-10-27,0.8378995433789954,0.8378995433940611,2.920305662030174e-06,california,sacramento,White
138,2020-10-29,0.8378995433789954,0.8378995434111125,2.9202999882357023e-06,california,sacramento,White
141,2020-11-01,0.8356164383561644,0.835616438388599,2.9202894511595803e-06,california,sacramento,White
143,2020-11-03,0.8401826484018264,0.840182648417765,2.9202910722506896e-06,california,sacramento,White
145,2020-11-05,0.8424657534246576,0.8424657534550486,2.920290261705247e-06,california,sacramento,White
148,2020-11-08,0.8447488584474886,0.8447488584829587,2.9202894511595803e-06,california,sacramento,White
150,2020-11-10,0.8515981735159818,0.851598173510184,2.9202935038856653e-06,california,sacramento,White
151,2020-11-11,0.8561643835616438,0.8561643836007923,2.920292693340898e-06,california,sacramento,White
155,2020-11-15,0.8607305936073059,0.8607305936700372,2.920244870801437e-06,california,sacramento,White
156,2020-11-16,0.8744292237442922,0.8744292236974481,2.920240818007859e-06,california,sacramento,White
157,2020-11-17,0.8812785388127854,0.8812785388396458,2.920268376893275e-06,california,sacramento,White
158,2020-11-18,0.8858447488584476,0.8858447488829171,2.9203016093209624e-06,california,sacramento,White
162,2020-11-22,0.8858447488584476,0.8858447488979253,2.9202886406136886e-06,california,sacramento,White
163,2020-11-23,0.906392694063927,0.9063926940597076,2.9202894511595803e-06,california,sacramento,White
166,2020-11-26,0.9109589041095892,0.910958904136308,2.9202951249745244e-06,california,sacramento,White
169,2020-11-29,0.9155251141552512,0.9155251141830163,2.9202951249745244e-06,california,sacramento,White
1,2020-06-14,1.0042372881355932,1.0042372876873076,2.9228439847084114e-06,california,sacramento,Hispanic
2,2020-06-15,1.0127118644067796,1.012711866252674,2.928189691731179e-06,california,sacramento,Hispanic
3,2020-06-16,1.0466101694915255,1.046610165247555,2.9346849271904347e-06,california,sacramento,Hispanic
4,2020-06-17,1.0805084745762712,1.080508481969847,2.944118729721449e-06,california,sacramento,Hispanic
5,2020-06-18,1.0932203389830508,1.0932203282553814,2.9512085795871502e-06,california,sacramento,Hispanic
6,2020-06-19,1.1186440677966103,1.1186440812447924,2.973964942580787e-06,california,sacramento,Hispanic
7,2020-06-20,1.169491525423729,1.1694915106573052,2.982946829420616e-06,california,sacramento,Hispanic
8,2020-06-21,1.186440677966102,1.1864406921849395,2.9734762095837094e-06,california,sacramento,Hispanic
9,2020-06-22,1.2203389830508475,1.2203389710792558,2.9513553517973195e-06,california,sacramento,Hispanic
10,2020-06-23,1.2330508474576272,1.2330508560802906,2.9534703069164145e-06,california,sacramento,Hispanic
11,2020-06-24,1.2415254237288136,1.241525418577297,2.940554112747631e-06,california,sacramento,Hispanic
12,2020-06-25,1.2711864406779658,1.2711864430098943,2.9248387433080366e-06,california,sacramento,Hispanic
13,2020-06-26,1.2754237288135593,1.2754237281526628,2.918658988435344e-06,california,sacramento,Hispanic
15,2020-06-28,1.3093220338983051,1.3093220338864262,2.9204393982791283e-06,california,sacramento,Hispanic
16,2020-06-29,1.326271186440678,1.3262711865682053,2.920451555816264e-06,california,sacramento,Hispanic
17,2020-06-30,1.3855932203389831,1.3855932201934609,2.920211637728057e-06,california,sacramento,Hispanic
19,2020-07-02,1.4491525423728815,1.4491525423982314,2.920068163777684e-06,california,sacramento,Hispanic
