time,date,y,y_pred,std_pred,state,county,ethnicity
4,2020-06-17,0.5148450296582551,0.5148450303812147,7.149571444449839e-06,california,santaclara,White
5,2020-06-18,0.5053066920097415,0.5053066895815083,7.129822842640464e-06,california,santaclara,White
6,2020-06-19,0.5039488818874611,0.5039488869823886,7.096767722995548e-06,california,santaclara,White
7,2020-06-20,0.5037102560322385,0.5037102482433429,7.079642170115579e-06,california,santaclara,White
8,2020-06-21,0.49936335778555296,0.4993633674803586,7.07795039011741e-06,california,santaclara,White
9,2020-06-22,0.5011618254253073,0.5011618154928181,7.08790283310899e-06,california,santaclara,White
10,2020-06-23,0.4910290741822187,0.49102908273305457,7.093988008929159e-06,california,santaclara,White
11,2020-06-24,0.4886610176429638,0.4886610117122263,7.112609303793545e-06,california,santaclara,White
12,2020-06-25,0.4917090292907286,0.4917090324733648,7.137270011501099e-06,california,santaclara,White
13,2020-06-26,0.4913444628185946,0.49134446180780245,7.144256598671393e-06,california,santaclara,White
15,2020-06-28,0.4899605204888299,0.4899605206911878,7.14966075250755e-06,california,santaclara,White
23,2020-07-06,0.4486156151641623,0.44861561531296057,7.149892948236913e-06,california,santaclara,White
25,2020-07-08,0.44852234842063626,0.4485223480559222,7.149126872186109e-06,california,santaclara,White
26,2020-07-09,0.4466269306830399,0.4466269315767826,7.148066932137402e-06,california,santaclara,White
27,2020-07-10,0.4435224421263296,0.4435224412246537,7.1480947228340966e-06,california,santaclara,White
29,2020-07-12,0.4379437813020837,0.43794378375275583,7.176495918348056e-06,california,santaclara,White
30,2020-07-13,0.43509710008532093,0.43509709363212246,7.2033453627144775e-06,california,santaclara,White
31,2020-07-14,0.4329761644434726,0.4329761765395777,7.225803731088251e-06,california,santaclara,White
32,2020-07-15,0.4297119989318319,0.42971198011874134,7.286928432299062e-06,california,santaclara,White
33,2020-07-16,0.427628710676247,0.42762873685312014,7.284470618647886e-06,california,santaclara,White
34,2020-07-17,0.42298974467550776,0.42298971150485754,6.8978053140378554e-06,california,santaclara,White
35,2020-07-18,0.419016921837228,0.4190169608809504,5.780835816795537e-06,california,santaclara,White
36,2020-07-19,0.4212074672501333,0.4212074245649202,4.834880641816208e-06,california,santaclara,White
37,2020-07-20,0.4209167096387411,0.42091675323737004,5.035754790358522e-06,california,santaclara,White
38,2020-07-21,0.4228139180106544,0.4228138767411254,5.945266136897946e-06,california,santaclara,White
39,2020-07-22,0.4139459733739268,0.4139460094435046,6.809485105507044e-06,california,santaclara,White
40,2020-07-23,0.4113212142937568,0.4113211857789977,7.074864456043467e-06,california,santaclara,White
41,2020-07-24,0.4126665002507483,0.41266652019056327,7.027986865722541e-06,california,santaclara,White
42,2020-07-25,0.4158499506825637,0.4158499392089912,7.006172359487874e-06,california,santaclara,White
43,2020-07-26,0.4131505494576993,0.41315055404693496,7.059207519863588e-06,california,santaclara,White
45,2020-07-28,0.4060961208218017,0.406096118943867,7.145446180922341e-06,california,santaclara,White
46,2020-07-29,0.4028869142330257,0.4028869160731382,7.150234282114571e-06,california,santaclara,White
47,2020-07-30,0.4029974953705663,0.4029974945777741,7.15051408436087e-06,california,santaclara,White
49,2020-08-01,0.3907256795428826,0.39072567981146344,7.149912793675955e-06,california,santaclara,White
50,2020-08-02,0.3911973221436137,0.3911973220978424,7.149904855506948e-06,california,santaclara,White
54,2020-08-06,0.3891817842168625,0.38918178442609885,7.149823488766477e-06,california,santaclara,White
55,2020-08-07,0.3881697922451479,0.38816979201284196,7.149873102742786e-06,california,santaclara,White
56,2020-08-08,0.3847635857058091,0.38476358590298276,7.14996637608623e-06,california,santaclara,White
60,2020-08-12,0.3721170935127504,0.37211709360877443,7.149795704789361e-06,california,santaclara,White
61,2020-08-13,0.3713829359829889,0.3713829359734543,7.149783797337545e-06,california,santaclara,White
62,2020-08-14,0.3668908496271976,0.3668908496513583,7.1499207318361484e-06,california,santaclara,White
64,2020-08-16,0.3639638219508008,0.36396382205112454,7.149972329662585e-06,california,santaclara,White
69,2020-08-21,0.3568283276139573,0.3568283279702147,7.141864919088709e-06,california,santaclara,White
70,2020-08-22,0.35558588555258924,0.35558588480164155,7.1313610495682275e-06,california,santaclara,White
71,2020-08-23,0.3551479926178203,0.355147993829633,7.128839649117738e-06,california,santaclara,White
72,2020-08-24,0.3544975664713288,0.3544975651158738,7.1266976488062075e-06,california,santaclara,White
73,2020-08-25,0.35353280279363064,0.35353280413211796,7.132051443366969e-06,california,santaclara,White
74,2020-08-26,0.3546468303663807,0.3546468293872137,7.173252593814489e-06,california,santaclara,White
75,2020-08-27,0.3547995943123441,0.3547995949404529,7.254145186285299e-06,california,santaclara,White
76,2020-08-28,0.3529582801757949,0.3529582799599279,7.264323073342843e-06,california,santaclara,White
77,2020-08-29,0.3520952259114426,0.35209522598463594,7.2500892106120235e-06,california,santaclara,White
79,2020-08-31,0.3522457266188893,0.3522457267801954,7.235554766943061e-06,california,santaclara,White
80,2020-09-01,0.35196443306781633,0.35196443284309864,7.221081458083591e-06,california,santaclara,White
81,2020-09-02,0.34823875998364,0.34823876030577006,7.228683902007201e-06,california,santaclara,White
82,2020-09-03,0.3465399943115133,0.3465399940972147,7.284493993205851e-06,california,santaclara,White
83,2020-09-04,0.3460207612456748,0.3460207614282884,7.3601693950763595e-06,california,santaclara,White
84,2020-09-05,0.3455470375017872,0.345547037438242,7.374894998647444e-06,california,santaclara,White
85,2020-09-06,0.3485534417589148,0.3485534418559708,7.302996749867814e-06,california,santaclara,White
86,2020-09-07,0.3502460626999816,0.3502460626869526,7.214666872250444e-06,california,santaclara,White
88,2020-09-09,0.3525543027224679,0.3525543028417004,7.151016113427476e-06,california,santaclara,White
90,2020-09-11,0.35354823466589097,0.3535482344505012,7.189503925617836e-06,california,santaclara,White
91,2020-09-12,0.3514203745050577,0.35142037520490144,7.2219204567205e-06,california,santaclara,White
92,2020-09-13,0.3523908582990889,0.3523908572106864,7.21644654269641e-06,california,santaclara,White
93,2020-09-14,0.3519074483410863,0.3519074498133897,7.054409931895799e-06,california,santaclara,White
94,2020-09-15,0.35215020825177096,0.3521502066871097,6.775914332766797e-06,california,santaclara,White
95,2020-09-16,0.352431795930248,0.3524317975301925,6.549449770414377e-06,california,santaclara,White
96,2020-09-17,0.35175365874736264,0.3517536573361624,6.838547724987967e-06,california,santaclara,White
97,2020-09-18,0.3508416465431951,0.3508416478443712,7.483649513759594e-06,california,santaclara,White
98,2020-09-19,0.3508085701855961,0.3508085690446803,7.674871739726034e-06,california,santaclara,White
99,2020-09-20,0.3504945992769148,0.3504946005381666,7.231627675953296e-06,california,santaclara,White
100,2020-09-21,0.3494060097833683,0.34940600824927137,6.89593312259917e-06,california,santaclara,White
101,2020-09-22,0.3498622615769645,0.3498622638184896,7.766078305269185e-06,california,santaclara,White
102,2020-09-23,0.3507279187020281,0.35072791554026483,8.554674655412267e-06,california,santaclara,White
103,2020-09-24,0.351737020368628,0.35173702484317826,8.030584927847898e-06,california,santaclara,White
104,2020-09-25,0.3518056330216536,0.3518056271499397,7.664070850357414e-06,california,santaclara,White
105,2020-09-26,0.3510391317725379,0.3510391392355575,7.938166914881575e-06,california,santaclara,White
106,2020-09-27,0.3502338548681579,0.350233845977143,7.0519415024840516e-06,california,santaclara,White
107,2020-09-28,0.3500136774575499,0.35001368768882457,6.130142588908769e-06,california,santaclara,White
108,2020-09-29,0.3506771983393401,0.35067718723918206,5.2176088121679345e-06,california,santaclara,White
109,2020-09-30,0.3511172621597089,0.3511172737295116,6.695317653519912e-06,california,santaclara,White
110,2020-10-01,0.3512116191647621,0.35121160787108974,7.867807426011313e-06,california,santaclara,White
111,2020-10-02,0.349562026461437,0.3495620369009219,8.168964196744197e-06,california,santaclara,White
112,2020-10-03,0.3503441191206092,0.3503441102871587,8.041207614205555e-06,california,santaclara,White
113,2020-10-04,0.35058895353013003,0.35058896040255205,7.456483046146845e-06,california,santaclara,White
114,2020-10-05,0.3517476192946089,0.35174761469995486,7.170522318302114e-06,california,santaclara,White
115,2020-10-06,0.35344316390068026,0.3534431664204791,7.032786338095204e-06,california,santaclara,White
116,2020-10-07,0.3532303986762157,0.35323039799181444,6.994154306061879e-06,california,santaclara,White
117,2020-10-08,0.3535855075080497,0.35358550699564484,7.1592221693077434e-06,california,santaclara,White
118,2020-10-09,0.3538645050466703,0.35386450626577837,7.635959406265893e-06,california,santaclara,White
