time,date,y,y_pred,std_pred,state,county,ethnicity
4,2020-06-17,0.8780811273460515,0.8780811342045238,8.264540336799922e-05,california,santaclara,White
5,2020-06-18,0.8814714019690092,0.8814713835319834,8.299785858044265e-05,california,santaclara,White
6,2020-06-19,0.8865568139034458,0.8865568479423604,8.334429340712822e-05,california,santaclara,White
7,2020-06-20,0.9035081870182344,0.903508140588424,8.359675873007359e-05,california,santaclara,White
8,2020-06-21,0.9170692855100654,0.9170693399890331,8.332182106606394e-05,california,santaclara,White
9,2020-06-22,0.9357157959363328,0.9357157422221034,8.340273389871238e-05,california,santaclara,White
10,2020-06-23,0.9492768944281638,0.9492769413781783,8.317603408637222e-05,california,santaclara,White
11,2020-06-24,0.96961854216591,0.9696185085192308,8.251352230291571e-05,california,santaclara,White
12,2020-06-25,0.9916553272151354,0.9916553470047802,8.216868520025379e-05,california,santaclara,White
13,2020-06-26,1.0136921122643603,1.0136921055794383,8.224930940404385e-05,california,santaclara,White
15,2020-06-28,1.057765682362811,1.0577656845412022,8.244994114521585e-05,california,santaclara,White
23,2020-07-06,1.2747432582321057,1.2747432601190374,8.247590136107997e-05,california,santaclara,White
25,2020-07-08,1.2916946313468942,1.2916946277397292,8.251697689433584e-05,california,santaclara,White
26,2020-07-09,1.3137314163961196,1.3137314244919613,8.255265825137068e-05,california,santaclara,White
27,2020-07-10,1.3764514969208377,1.3764514901462848,8.257570569758846e-05,california,santaclara,White
29,2020-07-12,1.4306958908881608,1.4306959044970347,8.279495207745552e-05,california,santaclara,White
30,2020-07-13,1.4747694609866115,1.4747694324518497,8.215738092821586e-05,california,santaclara,White
31,2020-07-14,1.5103673445276675,1.5103673883686133,8.24878714413961e-05,california,santaclara,White
32,2020-07-15,1.5493555026916817,1.5493554478056248,8.566287186966966e-05,california,santaclara,White
33,2020-07-16,1.5629166011835125,1.5629166645293449,9.238573032408553e-05,california,santaclara,White
34,2020-07-17,1.5646117384949914,1.5646116711540108,9.676932095432526e-05,california,santaclara,White
35,2020-07-18,1.5849533862327376,1.5849534562081562,0.00010601325479788553,california,santaclara,White
36,2020-07-19,1.6290269563311883,1.6290268871838185,0.00010780225310883433,california,santaclara,White
37,2020-07-20,1.7019178607247794,1.7019179275368925,9.661439971038086e-05,california,santaclara,White
38,2020-07-21,1.7646379412494972,1.7646378813855446,8.22534177204613e-05,california,santaclara,White
39,2020-07-22,1.7866747262987226,1.786674776599856,6.823762122140056e-05,california,santaclara,White
40,2020-07-23,1.8205774725283,1.8205774356844966,6.657923313866668e-05,california,santaclara,White
41,2020-07-24,1.866346179938229,1.8663462038781242,7.200568428165232e-05,california,santaclara,White
42,2020-07-25,1.9053343381022432,1.9053343263204647,7.879482456279842e-05,california,santaclara,White
43,2020-07-26,1.9375419470203408,1.9375419514087877,8.186370600193404e-05,california,santaclara,White
45,2020-07-28,1.9714446932499188,1.9714446931115264,8.235365214673751e-05,california,santaclara,White
46,2020-07-29,2.0087377141024536,2.008737714143942,8.240129524329746e-05,california,santaclara,White
47,2020-07-30,2.0341647737746364,2.034164774705289,8.247040781722824e-05,california,santaclara,White
49,2020-08-01,2.0917994423649184,2.0917994421473693,8.249519453464646e-05,california,santaclara,White
50,2020-08-02,2.156214660201115,2.1562146612467714,8.248089101296031e-05,california,santaclara,White
54,2020-08-06,2.2884353704964657,2.2884353723036917,8.247230770920286e-05,california,santaclara,White
55,2020-08-07,2.310472155545692,2.3104721535521158,8.247205591880644e-05,california,santaclara,White
56,2020-08-08,2.332508940594917,2.3325089424414758,8.247198724856491e-05,california,santaclara,White
60,2020-08-12,2.5206691821690708,2.520669182720014,8.247132343328225e-05,california,santaclara,White
61,2020-08-13,2.5698281642019576,2.569828164884571,8.24735208703382e-05,california,santaclara,White
62,2020-08-14,2.703744011808788,2.7037440114266458,8.247615313973669e-05,california,santaclara,White
64,2020-08-16,2.7240856595465344,2.7240856606118085,8.247310885535001e-05,california,santaclara,White
69,2020-08-21,2.8681723310222376,2.86817233273916,8.217909202697583e-05,california,santaclara,White
70,2020-08-22,2.8935993906944204,2.8935993893186316,8.200155894881603e-05,california,santaclara,White
71,2020-08-23,2.949538921973223,2.9495389220319463,8.245511552643791e-05,california,santaclara,White
72,2020-08-24,2.9698805697109694,2.9698805727173143,8.337950751958532e-05,california,santaclara,White
73,2020-08-25,2.990222217448716,2.990222213331144,8.481252342459256e-05,california,santaclara,White
74,2020-08-26,3.015649277120899,3.0156492808939914,8.442686560697983e-05,california,santaclara,White
75,2020-08-27,3.0563325725963915,3.056332572351664,8.259995801700238e-05,california,santaclara,White
76,2020-08-28,3.0783693576456166,3.0783693548084763,8.072411924767634e-05,california,santaclara,White
77,2020-08-29,3.1071866919407576,3.1071866963016506,8.086842044572579e-05,california,santaclara,White
79,2020-08-31,3.169906772465476,3.1699067633889086,8.232084282520298e-05,california,santaclara,White
80,2020-09-01,3.188553282891743,3.1885533055996795,8.282463339990736e-05,california,santaclara,White
81,2020-09-02,3.215675479875405,3.2156754444514855,8.436094472446677e-05,california,santaclara,White
82,2020-09-03,3.234321990301672,3.2343220352333892,8.643735884098556e-05,california,santaclara,White
83,2020-09-04,3.264834461908292,3.2648344153904176,8.718853550088182e-05,california,santaclara,White
84,2020-09-05,3.302127482760827,3.3021275237276626,8.490798050739646e-05,california,santaclara,White
85,2020-09-06,3.364847563285545,3.364847535233582,8.318681414737868e-05,california,santaclara,White
86,2020-09-07,3.400445446826601,3.4004454600875285,8.231887063950154e-05,california,santaclara,White
88,2020-09-09,3.44621415423653,3.4462141490959883,8.240782425695376e-05,california,santaclara,White
90,2020-09-11,3.510629372072727,3.510629391754116,8.201992797371546e-05,california,santaclara,White
91,2020-09-12,3.539446706367868,3.539446652654206,8.291791668795455e-05,california,santaclara,White
92,2020-09-13,3.5733494525974447,3.573349556337276,8.757468517272343e-05,california,santaclara,White
93,2020-09-14,3.5801300018433606,3.5801298356544384,9.801264541691839e-05,california,santaclara,White
94,2020-09-15,3.5953862376466703,3.5953864760845162,0.00010887503516916218,california,santaclara,White
95,2020-09-16,3.612337610761459,3.612337297957265,0.0001120007701323392,california,santaclara,White
96,2020-09-17,3.629288983876248,3.6292893678271696,0.00010582650726620307,california,santaclara,White
97,2020-09-18,3.663191730105825,3.6631912864369074,8.985829643432975e-05,california,santaclara,White
98,2020-09-19,3.6852285151550497,3.6852290033978914,8.133349594289281e-05,california,santaclara,White
99,2020-09-20,3.710655574827233,3.7106550621592707,9.155246254941092e-05,california,santaclara,White
100,2020-09-21,3.717436124073149,3.7174366411743005,0.0001027758126740254,california,santaclara,White
101,2020-09-22,3.736082634499416,3.7360821340163772,0.00010302733086851483,california,santaclara,White
102,2020-09-23,3.7564242822371625,3.756424748620975,9.071905321080203e-05,california,santaclara,White
