time,date,y,y_pred,std_pred,state,county,ethnicity
1,2020-06-14,0.031039890102084,0.031039890114097565,6.206899770090554e-07,california,sanfrancisco,White
46,2020-07-29,0.033861698293183,0.03386169830485164,6.206896324560715e-07,california,sanfrancisco,White
61,2020-08-13,0.036683506484281,0.03668350649771089,6.206906661144497e-07,california,sanfrancisco,White
62,2020-08-14,0.03950531467538,0.03950531467282496,6.206923888745881e-07,california,sanfrancisco,White
70,2020-08-22,0.045148931057576634,0.04514893107377098,6.206837750260795e-07,california,sanfrancisco,White
73,2020-08-25,0.04797073924867517,0.04797073921298345,6.206741273738262e-07,california,sanfrancisco,White
74,2020-08-26,0.045148931057576634,0.04514893109428357,6.206820522420325e-07,california,sanfrancisco,White
97,2020-09-18,0.04797073924867517,0.0479707392585622,6.206892879028962e-07,california,sanfrancisco,White
108,2020-09-29,0.0507925474397737,0.05079254746251516,6.206910106668599e-07,california,sanfrancisco,White
109,2020-09-30,0.05361435563087225,0.053614355614941,6.206923888745881e-07,california,sanfrancisco,White
115,2020-10-06,0.05643616382197076,0.05643616385117854,6.207695636238585e-07,california,sanfrancisco,White
117,2020-10-08,0.07054520477746347,0.0705452047192777,6.208436285790731e-07,california,sanfrancisco,White
118,2020-10-09,0.07336701296856203,0.07336701301241608,6.208295052461929e-07,california,sanfrancisco,White
123,2020-10-14,0.07618882115966055,0.07618882115210142,6.207292547955636e-07,california,sanfrancisco,White
124,2020-10-15,0.0790106293507591,0.07901062936080624,6.207137507030623e-07,california,sanfrancisco,White
131,2020-10-22,0.08465424573295617,0.08465424573705108,6.206913552190787e-07,california,sanfrancisco,White
136,2020-10-27,0.08747605392405472,0.08747605392551763,6.206923888745881e-07,california,sanfrancisco,White
138,2020-10-29,0.09029786211515324,0.09029786211792967,6.20692733426042e-07,california,sanfrancisco,White
145,2020-11-05,0.09594147849735034,0.09594147850112708,6.206903215618482e-07,california,sanfrancisco,White
162,2020-11-22,0.09876328668844887,0.09876328669140684,6.206910106668599e-07,california,sanfrancisco,White
164,2020-11-24,0.1015850948795474,0.10158509488049436,6.206896324560715e-07,california,sanfrancisco,White
1,2020-06-14,0.059703520674821986,0.05970352068333222,6.206899770090554e-07,california,sanfrancisco,Hispanic
14,2020-06-27,0.067166460759175,0.06716646076677349,6.206903215618482e-07,california,sanfrancisco,Hispanic
37,2020-07-20,0.08955528101223299,0.0895552810153308,6.206768838612007e-07,california,sanfrancisco,Hispanic
40,2020-07-23,0.097018221096585,0.0970182211017905,6.206717154373314e-07,california,sanfrancisco,Hispanic
41,2020-07-24,0.104481161180938,0.10448116117745274,6.206720600002616e-07,california,sanfrancisco,Hispanic
49,2020-08-01,0.111944101265291,0.11194410126736548,6.206906661144497e-07,california,sanfrancisco,Hispanic
55,2020-08-07,0.119407041349643,0.11940704135024309,6.206913552190787e-07,california,sanfrancisco,Hispanic
62,2020-08-14,0.111944101265291,0.11194410126768833,6.206903215618482e-07,california,sanfrancisco,Hispanic
70,2020-08-22,0.1417958616027016,0.14179586159458693,6.207058262395664e-07,california,sanfrancisco,Hispanic
73,2020-08-25,0.15672174177140705,0.15672174180480294,6.207227086704095e-07,california,sanfrancisco,Hispanic
74,2020-08-26,0.17164762194011246,0.17164762190752342,6.207151288602995e-07,california,sanfrancisco,Hispanic
80,2020-09-01,0.17911056202446518,0.17911056202115724,6.206920443229428e-07,california,sanfrancisco,Hispanic
91,2020-09-12,0.1865735021088179,0.18657350210148912,6.206913552190787e-07,california,sanfrancisco,Hispanic
96,2020-09-17,0.19403644219317065,0.194036442204889,6.207103052965821e-07,california,sanfrancisco,Hispanic
97,2020-09-18,0.2014993822775233,0.20149938225983888,6.207106498380907e-07,california,sanfrancisco,Hispanic
104,2020-09-25,0.20896232236187606,0.20896232235195633,6.206951452808637e-07,california,sanfrancisco,Hispanic
108,2020-09-29,0.2164252624462288,0.2164252624684007,6.207051371510029e-07,california,sanfrancisco,Hispanic
109,2020-09-30,0.22388820253058148,0.2238882025012487,6.207003135096384e-07,california,sanfrancisco,Hispanic
115,2020-10-06,0.2313511426149342,0.23135114261705478,6.206910106668599e-07,california,sanfrancisco,Hispanic
117,2020-10-08,0.2388140826992869,0.2388140826857197,6.206906661144497e-07,california,sanfrancisco,Hispanic
125,2020-10-16,0.24627702278363964,0.24627702277168798,6.206899770090554e-07,california,sanfrancisco,Hispanic
131,2020-10-22,0.25373996286799233,0.2537399628591721,6.206906661144497e-07,california,sanfrancisco,Hispanic
136,2020-10-27,0.2761287831210505,0.27612878310764205,6.206906661144497e-07,california,sanfrancisco,Hispanic
143,2020-11-03,0.2835917232054032,0.2835917231879467,6.206903215618482e-07,california,sanfrancisco,Hispanic
155,2020-11-15,0.29105466328975593,0.2910546632700345,6.206903215618482e-07,california,sanfrancisco,Hispanic
1,2020-06-14,0.063020382934534,0.06302038297123053,6.207196078501883e-07,california,sanfrancisco,Asian
2,2020-06-15,0.066171402081261,0.06617140203836218,6.207116834614691e-07,california,sanfrancisco,Asian
4,2020-06-17,0.069322421227988,0.0693224212468252,6.20703758971581e-07,california,sanfrancisco,Asian
16,2020-06-29,0.07247344037471401,0.07247344038164905,6.206903215618482e-07,california,sanfrancisco,Asian
39,2020-07-22,0.07562445952144099,0.07562445952777685,6.206896324560715e-07,california,sanfrancisco,Asian
41,2020-07-24,0.078775478668168,0.07877547866813651,6.206899770090554e-07,california,sanfrancisco,Asian
47,2020-07-30,0.08192649781489399,0.08192649782013095,6.206910106668599e-07,california,sanfrancisco,Asian
55,2020-08-07,0.08507751696162101,0.08507751696677618,6.206903215618482e-07,california,sanfrancisco,Asian
70,2020-08-22,0.09137955525507437,0.09137955525971739,6.206899770090554e-07,california,sanfrancisco,Asian
83,2020-09-04,0.09453057440180107,0.09453057440540122,6.206882542422227e-07,california,sanfrancisco,Asian
88,2020-09-09,0.09768159354852778,0.09768159354962846,6.206475955568582e-07,california,sanfrancisco,Asian
89,2020-09-10,0.10083261269525448,0.10083261269698099,6.206455280949159e-07,california,sanfrancisco,Asian
96,2020-09-17,0.11343668928216127,0.11343668927996124,6.204270274571617e-07,california,sanfrancisco,Asian
97,2020-09-18,0.11658770842888798,0.11658770843536242,6.203136111470563e-07,california,sanfrancisco,Asian
98,2020-09-19,0.1228897467223414,0.12288974672011216,6.204297850423683e-07,california,sanfrancisco,Asian
104,2020-09-25,0.1260407658690681,0.12604076586008126,6.206882542422227e-07,california,sanfrancisco,Asian
108,2020-09-29,0.1291917850157948,0.12919178504853873,6.207061707835613e-07,california,sanfrancisco,Asian
112,2020-10-03,0.1323428041625215,0.13234280390172096,6.225738896085215e-07,california,sanfrancisco,Asian
114,2020-10-05,0.1354938233092482,0.1354938248036405,6.249782842122959e-07,california,sanfrancisco,Asian
115,2020-10-06,0.1417958616027016,0.14179585905940442,6.266688054825731e-07,california,sanfrancisco,Asian
