time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,14.087913122371704,18.11521022369583,california,imperial,Hispanic
2,2020-06-15,14.152834381000144,16.73827960105081,california,imperial,Hispanic
3,2020-06-16,14.315137527571249,18.313715302388864,california,imperial,Hispanic
4,2020-06-17,14.944873736267125,18.46103614371587,california,imperial,Hispanic
5,2020-06-18,15.457751679431805,17.78302099104685,california,imperial,Hispanic
6,2020-06-19,16.509476069212553,16.048463855279696,california,imperial,Hispanic
7,2020-06-20,17.308007550342378,16.718790728848553,california,imperial,Hispanic
10,2020-06-23,17.502771326227702,20.934471449002203,california,imperial,Hispanic
11,2020-06-24,18.29481068149468,20.70691693739183,california,imperial,Hispanic
12,2020-06-25,18.716798862579545,20.723696421105323,california,imperial,Hispanic
13,2020-06-26,19.06088153331029,17.935897780251917,california,imperial,Hispanic
14,2020-06-27,19.58674372820066,20.238885675542736,california,imperial,Hispanic
16,2020-06-29,19.690617742006165,19.983023063811224,california,imperial,Hispanic
17,2020-06-30,19.85941301444011,20.460096822194313,california,imperial,Hispanic
19,2020-07-02,20.846216145592415,19.368525753047987,california,imperial,Hispanic
20,2020-07-03,21.60579487154517,20.60438523596299,california,imperial,Hispanic
22,2020-07-05,21.94338541641307,24.742852386839726,california,imperial,Hispanic
23,2020-07-06,22.871759414799772,21.123748113805778,california,imperial,Hispanic
25,2020-07-08,23.42359011314152,23.386893192598386,california,imperial,Hispanic
26,2020-07-09,23.68976727351813,23.315294825548957,california,imperial,Hispanic
27,2020-07-10,24.05981844770025,22.72027101794242,california,imperial,Hispanic
30,2020-07-13,24.722015285710345,23.420272320732042,california,imperial,Hispanic
31,2020-07-14,24.76746016675025,24.019092360986914,california,imperial,Hispanic
32,2020-07-15,25.03363732712686,24.697670406728623,california,imperial,Hispanic
33,2020-07-16,25.70881841686265,24.15433607891721,california,imperial,Hispanic
34,2020-07-17,25.95551919965073,24.55929073874193,california,imperial,Hispanic
35,2020-07-18,26.260649115204398,25.85954038566748,california,imperial,Hispanic
37,2020-07-20,26.44242863936403,25.051478263276383,california,imperial,Hispanic
39,2020-07-22,26.611223911797985,26.866192785786435,california,imperial,Hispanic
40,2020-07-23,27.15007035841404,25.878345916702738,california,imperial,Hispanic
41,2020-07-24,27.41624751879065,26.373088315067033,california,imperial,Hispanic
42,2020-07-25,27.64347192399019,27.547477565668746,california,imperial,Hispanic
45,2020-07-28,28.149857741292035,27.012088262806646,california,imperial,Hispanic
46,2020-07-29,28.532893167199834,28.254471595923857,california,imperial,Hispanic
47,2020-07-30,29.019802606913142,27.175511421088125,california,imperial,Hispanic
49,2020-08-01,29.44828291386085,28.526245453263247,california,imperial,Hispanic
54,2020-08-06,30.31822777948196,27.325312265564357,california,imperial,Hispanic
55,2020-08-07,30.642834072624165,27.73412914788943,california,imperial,Hispanic
56,2020-08-08,30.850582100235176,29.46023505827701,california,imperial,Hispanic
60,2020-08-12,31.253093903731518,30.653563005162212,california,imperial,Hispanic
62,2020-08-14,31.421889176165447,29.951798840791444,california,imperial,Hispanic
69,2020-08-21,31.759479721033355,30.278888983509656,california,imperial,Hispanic
72,2020-08-24,31.869845860701695,31.13650864269764,california,imperial,Hispanic
73,2020-08-25,31.96073562278152,31.329312109971276,california,imperial,Hispanic
74,2020-08-26,32.05162538486134,32.00487545796756,california,imperial,Hispanic
75,2020-08-27,32.18146790211822,32.40856600415531,california,imperial,Hispanic
76,2020-08-28,32.317802545237946,31.827916852573026,california,imperial,Hispanic
77,2020-08-29,32.44115293663198,32.61395897936889,california,imperial,Hispanic
79,2020-08-31,32.48010569180905,31.46633441460271,california,imperial,Hispanic
80,2020-09-01,32.603456083203085,31.050945928292077,california,imperial,Hispanic
81,2020-09-02,32.668377341831516,32.515939945636326,california,imperial,Hispanic
82,2020-09-03,32.72680647459713,32.64192460842259,california,imperial,Hispanic
83,2020-09-04,32.798219859088405,31.328856702866577,california,imperial,Hispanic
84,2020-09-05,32.84366474012832,32.76474443681446,california,imperial,Hispanic
87,2020-09-08,32.85664899185401,33.085238324547745,california,imperial,Hispanic
88,2020-09-09,32.94104662807098,33.7576454027683,california,imperial,Hispanic
89,2020-09-10,33.22670016603612,34.01752237688462,california,imperial,Hispanic
90,2020-09-11,33.30460567639025,32.19109162529188,california,imperial,Hispanic
91,2020-09-12,33.408479690195755,32.97186466667044,california,imperial,Hispanic
93,2020-09-14,33.62921196953245,32.42622942754461,california,imperial,Hispanic
95,2020-09-16,33.72659385747512,36.38952643297808,california,imperial,Hispanic
96,2020-09-17,34.03172377302879,34.79825190877208,california,imperial,Hispanic
97,2020-09-18,34.26544030409118,34.540988781480685,california,imperial,Hispanic
98,2020-09-19,34.310885185131085,34.81699956248119,california,imperial,Hispanic
100,2020-09-21,34.414759198936586,33.902828686576306,california,imperial,Hispanic
