time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,0.2661771603766082,0.30655818324349826,california,imperial,Hispanic
2,2020-06-15,0.2986377896908287,0.30772676589881076,california,imperial,Hispanic
3,2020-06-16,0.3246062931422051,0.3264890096424303,california,imperial,Hispanic
4,2020-06-17,0.3310984190050493,0.34492664709290727,california,imperial,Hispanic
5,2020-06-18,0.37005117418211386,0.3621307806294439,california,imperial,Hispanic
6,2020-06-19,0.3765433000449579,0.378490937803811,california,imperial,Hispanic
10,2020-06-23,0.3895275517706462,0.39283853596069657,california,imperial,Hispanic
11,2020-06-24,0.4025118034963344,0.4054981813932423,california,imperial,Hispanic
12,2020-06-25,0.4219881810848667,0.4190667244465863,california,imperial,Hispanic
14,2020-06-27,0.4739251879876195,0.43997136972494416,california,imperial,Hispanic
17,2020-06-30,0.5453385724789046,0.5692295956541706,california,imperial,Hispanic
19,2020-07-02,0.5907834535188133,0.5905237684842983,california,imperial,Hispanic
20,2020-07-03,0.6232440828330339,0.6371372321795196,california,imperial,Hispanic
22,2020-07-05,0.6881653414614749,0.6921255382378102,california,imperial,Hispanic
23,2020-07-06,0.7336102225013836,0.7022532545838461,california,imperial,Hispanic
25,2020-07-08,0.7660708518156042,0.7343892776049248,california,imperial,Hispanic
26,2020-07-09,0.7790551035412924,0.7480227419168968,california,imperial,Hispanic
