time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,1.37,1.4046028957344587,california,riverside,Hispanic
2,2020-06-15,1.38,1.404542879181324,california,riverside,Hispanic
3,2020-06-16,1.38,1.4044828626281887,california,riverside,Hispanic
4,2020-06-17,1.388,1.4044228460750539,california,riverside,Hispanic
5,2020-06-18,1.392,1.404362829521919,california,riverside,Hispanic
6,2020-06-19,1.402,1.4043028129687838,california,riverside,Hispanic
9,2020-06-22,1.402,1.404122763309379,california,riverside,Hispanic
10,2020-06-23,1.4,1.404062746756244,california,riverside,Hispanic
11,2020-06-24,1.4,1.4040027302031088,california,riverside,Hispanic
12,2020-06-25,1.406,1.403942713649974,california,riverside,Hispanic
13,2020-06-26,1.41,1.4038826970968392,california,riverside,Hispanic
16,2020-06-29,1.406,1.4037026474374343,california,riverside,Hispanic
17,2020-06-30,1.406,1.403642630884299,california,riverside,Hispanic
19,2020-07-02,1.408,1.4035225977780295,california,riverside,Hispanic
20,2020-07-03,1.406,1.4034625812248942,california,riverside,Hispanic
23,2020-07-06,1.402,1.4032825315654893,california,riverside,Hispanic
25,2020-07-08,1.396,1.4031624984592193,california,riverside,Hispanic
26,2020-07-09,1.388,1.4031024819060844,california,riverside,Hispanic
27,2020-07-10,1.382,1.4030424653529496,california,riverside,Hispanic
30,2020-07-13,1.382,1.4028624156935448,california,riverside,Hispanic
31,2020-07-14,1.372,1.4028023991404095,california,riverside,Hispanic
32,2020-07-15,1.366,1.4027423825872747,california,riverside,Hispanic
33,2020-07-16,1.362,1.4026823660341394,california,riverside,Hispanic
34,2020-07-17,1.364,1.4026223494810046,california,riverside,Hispanic
37,2020-07-20,1.364,1.4024422998215997,california,riverside,Hispanic
38,2020-07-21,1.364,1.402382283268465,california,riverside,Hispanic
39,2020-07-22,1.364,1.4023222667153297,california,riverside,Hispanic
40,2020-07-23,1.366,1.4022622501621949,california,riverside,Hispanic
41,2020-07-24,1.366,1.40220223360906,california,riverside,Hispanic
45,2020-07-28,1.366,1.40196216739652,california,riverside,Hispanic
46,2020-07-29,1.368,1.401902150843385,california,riverside,Hispanic
47,2020-07-30,1.37,1.4018421342902498,california,riverside,Hispanic
49,2020-08-01,1.376,1.4017221011839802,california,riverside,Hispanic
54,2020-08-06,1.378,1.4014220184183053,california,riverside,Hispanic
55,2020-08-07,1.382,1.40136200186517,california,riverside,Hispanic
60,2020-08-12,1.382,1.4010619190994955,california,riverside,Hispanic
61,2020-08-13,1.384,1.4010019025463603,california,riverside,Hispanic
62,2020-08-14,1.384,1.4009418859932254,california,riverside,Hispanic
69,2020-08-21,1.39,1.4005217701212804,california,riverside,Hispanic
72,2020-08-24,1.392,1.4003417204618755,california,riverside,Hispanic
73,2020-08-25,1.394,1.4002817039087407,california,riverside,Hispanic
74,2020-08-26,1.396,1.400221687355606,california,riverside,Hispanic
75,2020-08-27,1.398,1.4001616708024707,california,riverside,Hispanic
76,2020-08-28,1.4,1.4001016542493359,california,riverside,Hispanic
79,2020-08-31,1.402,1.399921604589931,california,riverside,Hispanic
80,2020-09-01,1.402,1.3998615880367957,california,riverside,Hispanic
81,2020-09-02,1.404,1.399801571483661,california,riverside,Hispanic
