time,date,y,y_pred,state,county,ethnicity
4,2020-06-17,0.8780811273460515,-9.227429328615992,california,santaclara,White
5,2020-06-18,0.8814714019690092,-9.123322212903323,california,santaclara,White
6,2020-06-19,0.8865568139034458,-9.019215097190656,california,santaclara,White
7,2020-06-20,0.9035081870182344,-8.915107981477988,california,santaclara,White
8,2020-06-21,0.9170692855100654,-8.811000865765319,california,santaclara,White
9,2020-06-22,0.9357157959363328,-8.70689375005265,california,santaclara,White
10,2020-06-23,0.9492768944281638,-8.602786634339981,california,santaclara,White
11,2020-06-24,0.96961854216591,-8.498679518627315,california,santaclara,White
12,2020-06-25,0.9916553272151354,-8.394572402914646,california,santaclara,White
13,2020-06-26,1.0136921122643603,-8.290465287201977,california,santaclara,White
15,2020-06-28,1.057765682362811,-8.08225105577664,california,santaclara,White
23,2020-07-06,1.2747432582321057,-7.249394130075293,california,santaclara,White
25,2020-07-08,1.2916946313468942,-7.041179898649958,california,santaclara,White
26,2020-07-09,1.3137314163961196,-6.937072782937289,california,santaclara,White
27,2020-07-10,1.3764514969208377,-6.83296566722462,california,santaclara,White
29,2020-07-12,1.4306958908881608,-6.624751435799283,california,santaclara,White
30,2020-07-13,1.4747694609866115,-6.520644320086614,california,santaclara,White
31,2020-07-14,1.5103673445276675,-6.416537204373947,california,santaclara,White
32,2020-07-15,1.5493555026916817,-6.312430088661278,california,santaclara,White
33,2020-07-16,1.5629166011835125,-6.20832297294861,california,santaclara,White
34,2020-07-17,1.5646117384949914,-6.104215857235943,california,santaclara,White
35,2020-07-18,1.5849533862327376,-6.000108741523274,california,santaclara,White
36,2020-07-19,1.6290269563311883,-5.896001625810605,california,santaclara,White
37,2020-07-20,1.7019178607247794,-5.791894510097936,california,santaclara,White
38,2020-07-21,1.7646379412494972,-5.687787394385268,california,santaclara,White
39,2020-07-22,1.7866747262987226,-5.583680278672601,california,santaclara,White
40,2020-07-23,1.8205774725283,-5.479573162959932,california,santaclara,White
41,2020-07-24,1.866346179938229,-5.375466047247263,california,santaclara,White
42,2020-07-25,1.9053343381022432,-5.2713589315345954,california,santaclara,White
43,2020-07-26,1.9375419470203408,-5.167251815821927,california,santaclara,White
45,2020-07-28,1.9714446932499188,-4.95903758439659,california,santaclara,White
46,2020-07-29,2.0087377141024536,-4.854930468683921,california,santaclara,White
47,2020-07-30,2.0341647737746364,-4.750823352971254,california,santaclara,White
49,2020-08-01,2.0917994423649184,-4.542609121545916,california,santaclara,White
50,2020-08-02,2.156214660201115,-4.438502005833248,california,santaclara,White
54,2020-08-06,2.2884353704964657,-4.022073542982575,california,santaclara,White
55,2020-08-07,2.310472155545692,-3.9179664272699064,california,santaclara,White
56,2020-08-08,2.332508940594917,-3.8138593115572377,california,santaclara,White
60,2020-08-12,2.5206691821690708,-3.3974308487065645,california,santaclara,White
61,2020-08-13,2.5698281642019576,-3.293323732993896,california,santaclara,White
