time,y,y_pred
4,-0.6623902451820823,-1.4817987829528438
5,-0.5419486470921825,-1.4917327448004079
6,-0.5421239687967095,-1.5016667066479723
7,-0.7040375394066867,-1.5116006684955363
8,-0.7483445109434562,-1.5215346303431003
9,-0.5718759913482779,-1.5314685921906648
10,-0.768744238414995,-1.5414025540382288
11,-0.8483565298175588,-1.5513365158857928
12,-1.1288119290087464,-1.561270477733357
13,-0.7464148896905078,-1.5712044395809213
15,-0.9127706651506052,-1.5910723632760495
23,-1.3691669950686636,-1.6705440580565627
25,-1.3943014910655844,-1.6904119817516912
26,-1.435393509683924,-1.7003459435992552
27,-1.541016905606044,-1.7102799054468192
29,-1.5709442498621398,-1.7301478291419476
30,-1.6110424179871086,-1.7400817909895117
31,-1.7227450763370358,-1.7500157528370757
32,-1.767928656396441,-1.7599497146846401
33,-1.8174963615721744,-1.7698836765322041
34,-1.87893002792826,-1.7798176383797681
35,-1.900674249302223,-1.7897516002273326
36,-1.4778278571983865,-1.7996855620748966
37,-2.015182054924584,-1.8096195239224606
38,-2.110283983568777,-1.819553485770025
39,-1.698952909236238,-1.829487447617589
40,-2.2542523305705955,-1.839421409465153
41,-1.7665819974877153,-1.8493553713127175
42,-2.348360408721418,-1.8592893331602816
43,-2.326674267081247,-1.8692232950078456
45,-2.4611149972985085,-1.889091218702974
46,-2.507993714669392,-1.899025180550538
47,-2.6719530659999022,-1.908959142398102
49,-2.824747742968168,-1.9288270660932305
50,-2.9286760015788103,-1.9387610279407945
54,-3.28044278606812,-1.9784968753310515
55,-3.8055222994711166,-1.9884308371786155
56,-3.4888844306399256,-1.9983647990261795
4,1.378839860906798,3.7007884401601796
5,1.5581366264512444,3.690854478312615
6,1.5902231580587824,3.680920516465051
7,1.4528551757190191,3.670986554617487
8,1.4987295091529254,3.661052592769923
9,1.696937442206376,3.651118630922359
10,1.6224842586495491,3.6411846690747947
11,1.8337575298967583,3.6312507072272306
12,1.6018101800108502,3.6213167453796666
13,2.0576134454653694,3.611382783532102
15,2.0276958819315825,3.591514859836974
23,2.673925348187312,3.5120431650564607
25,2.6774861365991054,3.4921752413613323
26,2.6932015595630454,3.4822412795137683
27,2.809112268603476,3.4723073176662043
29,2.9925959313133217,3.452439393971076
30,3.1553311133306683,3.442505432123512
31,3.1719435689104456,3.432571470275948
32,3.305630877958289,3.4226375084283833
33,3.335870237406981,3.4127035465808193
34,3.3391365719554216,3.4027695847332553
35,3.4692630925914716,3.3928356228856913
36,3.991200431375118,3.382901661038127
37,3.6693592108810966,3.372967699190563
38,3.702423224083197,3.363033737342999
39,4.367672306576777,3.3530997754954344
40,4.03782614766911,3.3431658136478704
41,4.707961060959576,3.3332318518003063
42,4.236436325616189,3.323297889952742
43,4.404499019225452,3.313363928105178
45,4.620002435589887,3.2934960044100494
46,4.967399095770495,3.2835620425624854
47,5.014545364662316,3.2736280807149214
49,5.509564362648813,3.253760157019793
50,5.7397389424296765,3.243826195172229
54,6.612554858002922,3.204090347781972
55,6.304046087514465,3.194156385934408
56,6.957595887276702,3.184222424086844
4,-0.7663934390002011,-1.8877398437085293
5,-0.6426919614651495,-1.8976738055560938
6,-0.6426325718496256,-1.9076077674036578
7,-0.8188374539471477,-1.9175417292512218
8,-0.8700553699076388,-1.9274756910987862
9,-0.6976030217888872,-1.9374096529463503
10,-0.8920719975839728,-1.9473436147939143
11,-0.9734055053335766,-1.9572775766414787
13,-0.902237127168757,-1.9771455003366067
15,-1.0820757640140022,-1.9970134240317352
23,-1.6251066500664113,-2.076485118812248
25,-1.6592123342963891,-2.0963530425073764
26,-1.7130309222686009,-2.1062870043549404
27,-1.854773782443001,-2.1162209662025044
29,-1.921655120089336,-2.136088889897633
30,-1.98055627285394,-2.146022851745197
31,-2.109236383354217,-2.1559568135927614
32,-2.1827678750686608,-2.1658907754403254
33,-2.2405765554817383,-2.1758247372878894
34,-2.2957251742675706,-2.185758699135454
35,-2.3245107352430616,-2.195692660983018
36,-1.9311075742878347,-2.205626622830582
37,-2.5067718752534547,-2.2155605846781463
38,-2.632673144895441,-2.2254945465257103
39,-2.2247584242214207,-2.2354285083732743
40,-2.7993302528355146,-2.245362470220839
41,-2.341468257399101,-2.255296432068403
42,-2.9555846727287083,-2.265230393915967
43,-2.952805831870417,-2.2751643557635313
45,-3.0945486920448184,-2.2950322794586593
46,-3.12418916690974,-2.3049662413062237
47,-3.2896350232672398,-2.3149002031537873
49,-3.4348928589583148,-2.334768126848916
50,-3.5819558423872038,-2.34470208869648
54,-3.9395904098777854,-2.3844379360867367
55,-4.461436122871193,-2.3943718979343007
56,-4.145554546071277,-2.4043058597818647
4,-0.4845219087133359,-0.5819810447045856
5,-0.3118942976771939,-0.5919150065521497
6,-0.33568046050589073,-0.6018489683997138
7,-0.4960199750409233,-0.6117829302472779
8,-0.498311757500324,-0.6217168920948422
9,-0.3642759111601099,-0.6316508539424062
11,-0.5582458870816049,-0.6515187776375345
12,-0.8422126421322844,-0.6614527394850986
13,-0.3706998127248709,-0.6713867013326629
15,-0.4885020123347523,-0.6912546250277911
23,-0.5505367548609068,-0.7707263198083043
25,-0.5740971947828828,-0.7905942435034325
26,-0.6187005692607146,-0.8005282053509968
27,-0.7314677581383524,-0.8104621671985609
29,-0.7785886379823048,-0.8303300908936893
30,-0.8257095178262581,-0.8402640527412533
31,-0.9174337721480408,-0.8501980145888175
32,-0.9089783644227936,-0.8601319764363816
33,-0.935056309710892,-0.8700659382839457
34,-0.924083396619523,-0.87999990013151
35,-0.9105929781620326,-0.8899338619790741
36,-0.4602359447638342,-0.8998678238266382
37,-0.9938618247585688,-0.9098017856742023
38,-1.059056687978813,-0.9197357475217665
39,-0.5956606819365664,-0.9296697093693307
40,-1.1292865619313015,-0.9396036712168948
41,-0.6318086486891503,-0.9495376330644589
42,-1.2260458269853278,-0.959471594912023
43,-1.2075203977955944,-0.9694055567595873
45,-1.2276604407245664,-0.9892734804547155
46,-1.2377304621890524,-0.9992074423022796
47,-1.2974388688636125,-1.0091414041498439
49,-1.2485122057658935,-1.0290093278449721
50,-1.3612793946435318,-1.0389432896925364
54,-1.49328373482326,-1.0786791370827928
56,-1.6346463743551176,-1.098547060777921
