time,y,y_pred
1,0.1191540911755366,0.021544045514388023
2,2.364802174636971e-07,0.020326834453537404
3,3.29491606776422e-07,0.019109623392686778
4,1.2057353260264134e-07,0.01789241233183615
5,1.2078806360671382e-07,0.016675201270985526
6,2.7955450176975202e-08,0.015457990210134899
10,5.172635431094363e-09,0.010589145966732398
11,-7.271317936652365e-09,0.009371934905881773
12,4.920625351623187e-09,0.008154723845031148
14,-1.3153466094095736e-09,0.0057203017233298965
17,1.0786480597602124e-09,0.00206866854077802
19,-2.867111548177093e-09,-0.00036575358092322957
20,3.3429118362349186e-09,-0.0015829646417738555
22,-3.199855491686776e-09,-0.004017386763475107
23,2.6750835990796414e-09,-0.00523459782432573
25,-1.2014771400004065e-09,-0.007669019946026982
26,5.927166535357743e-10,-0.008886231006877608
1,-0.1191528319110843,-0.11915283191108435
