time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,0.2661771603766082,0.32534814938786927,california,imperial,Hispanic
2,2020-06-15,0.2986377896908287,0.34354819375041334,california,imperial,Hispanic
3,2020-06-16,0.3246062931422051,0.3617482381129574,california,imperial,Hispanic
4,2020-06-17,0.3310984190050493,0.3799482824755015,california,imperial,Hispanic
5,2020-06-18,0.37005117418211386,0.3981483268380455,california,imperial,Hispanic
6,2020-06-19,0.3765433000449579,0.4163483712005896,california,imperial,Hispanic
10,2020-06-23,0.3895275517706462,0.48914854865076585,california,imperial,Hispanic
11,2020-06-24,0.4025118034963344,0.5073485930133099,california,imperial,Hispanic
12,2020-06-25,0.4219881810848667,0.525548637375854,california,imperial,Hispanic
14,2020-06-27,0.4739251879876195,0.561948726100942,california,imperial,Hispanic
17,2020-06-30,0.5453385724789046,0.6165488591885743,california,imperial,Hispanic
19,2020-07-02,0.5907834535188133,0.6529489479136623,california,imperial,Hispanic
20,2020-07-03,0.6232440828330339,0.6711489922762064,california,imperial,Hispanic
22,2020-07-05,0.6881653414614749,0.7075490810012945,california,imperial,Hispanic
23,2020-07-06,0.7336102225013836,0.7257491253638386,california,imperial,Hispanic
25,2020-07-08,0.7660708518156042,0.7621492140889268,california,imperial,Hispanic
26,2020-07-09,0.7790551035412924,0.7803492584514709,california,imperial,Hispanic
1,2020-06-14,0.02787023728998731,0.027870237289992772,california,imperial,Non-Hispanic
