time,y,y_pred
1,1.5838810055094008,3.05536980340539
2,1.057364474220436,3.054962582974504
3,1.1542025723282432,3.054555362543618
4,2.6683655920239318,3.054148142112731
5,1.8463332635438547,3.053740921681845
6,1.8653886666908213,3.053333701250959
7,1.897302558668143,3.052926480820073
8,1.2634140947314227,3.052519260389186
9,1.8816919490728583,3.0521120399583
10,1.8762145468427387,3.051704819527414
11,1.8823333767338049,3.051297599096527
12,1.908281655267559,3.050890378665641
13,1.9391784692596803,3.050483158234755
14,1.972044096067182,3.050075937803868
15,1.9696489812757312,3.049668717372982
16,1.3062073106031864,3.049261496942096
17,3.015380382032044,3.04885427651121
19,2.1148481087283386,3.048039835649437
22,2.1163305310821903,3.046818174356778
23,2.120648376437813,3.046410953925892
25,2.1480394036794843,3.045596513064119
26,2.189774896916396,3.045189292633233
27,2.247690427562256,3.044782072202347
28,2.359367997544373,3.04437485177146
29,2.430003518406325,3.043967631340574
30,2.545606846301463,3.043560410909688
31,2.7118733133354604,3.043153190478801
32,2.8618498533605496,3.042745970047915
33,3.0671399261402867,3.042338749617029
34,3.2477980609656028,3.041931529186143
35,3.365445651290836,3.041524308755256
36,3.4835315130986952,3.04111708832437
37,3.6801656120386332,3.040709867893484
38,3.782195153038789,3.040302647462597
39,3.8974840228830407,3.039895427031711
40,3.9275330797231622,3.039488206600825
41,2.9622104295358906,3.039080986169938
42,4.263717643001201,3.038673765739052
43,4.264525715106169,3.038266545308166
45,4.470927194311908,3.037452104446393
46,4.841823972656042,3.037044884015507
47,5.048466659030237,3.036637663584621
49,5.4270074997227775,3.035823222722848
50,5.495202809544066,3.035416002291962
54,6.077377482799357,3.033787120568417
55,6.198629804886337,3.03337990013753
56,5.0385770062498585,3.032972679706644
60,6.6647045689662985,3.031343797983099
1,-0.7589153010935683,-1.345260247517498
2,-1.4007181752134512,-1.345667467948384
3,-1.4375421244093696,-1.34607468837927
4,0.05037897578342365,-1.346481908810157
5,-0.7928702237840991,-1.346889129241043
6,-0.7993499822756873,-1.347296349671929
7,-0.800625439607709,-1.347703570102816
8,-1.4418995232267675,-1.348110790533702
9,-0.8314949514940642,-1.348518010964588
10,-0.8645429780120346,-1.348925231395475
11,-0.8921294306712793,-1.349332451826361
12,-0.9017098699778271,-1.349739672257247
