time,date,y,y_pred,state,county,ethnicity
4,2020-06-17,-0.660994256498943,-9.597981874963237,california,santaclara,White
5,2020-06-18,-0.5569312352833199,-9.598084926771108,california,santaclara,White
6,2020-06-19,-0.5598996430762967,-9.598187978578979,california,santaclara,White
7,2020-06-20,-0.6999977546460652,-9.598291030386848,california,santaclara,White
8,2020-06-21,-0.7468403041098336,-9.59839408219472,california,santaclara,White
9,2020-06-22,-0.5912788583175416,-9.59849713400259,california,santaclara,White
10,2020-06-23,-0.7549017938288012,-9.598600185810461,california,santaclara,White
11,2020-06-24,-0.8513405321385461,-9.59870323761833,california,santaclara,White
12,2020-06-25,-1.129308531935463,-9.598806289426202,california,santaclara,White
13,2020-06-26,-0.7549171338119107,-9.598909341234073,california,santaclara,White
15,2020-06-28,-0.9061486921032292,-9.599115444849813,california,santaclara,White
23,2020-07-06,-1.3918668874507365,-9.599939859312778,california,santaclara,White
25,2020-07-08,-1.4192115228367206,-9.60014596292852,california,santaclara,White
26,2020-07-09,-1.465632205470508,-9.600249014736391,california,santaclara,White
27,2020-07-10,-1.5277463307206944,-9.60035206654426,california,santaclara,White
29,2020-07-12,-1.6144437819831017,-9.600558170160003,california,santaclara,White
30,2020-07-13,-1.646881499295077,-9.600661221967874,california,santaclara,White
31,2020-07-14,-1.707929452482979,-9.600764273775743,california,santaclara,White
32,2020-07-15,-1.7736409507753368,-9.600867325583614,california,santaclara,White
33,2020-07-16,-1.8285373199665176,-9.600970377391485,california,santaclara,White
34,2020-07-17,-1.8993265602017584,-9.601073429199356,california,santaclara,White
35,2020-07-18,-1.959523109738144,-9.601176481007226,california,santaclara,White
36,2020-07-19,-1.5167854631327395,-9.601279532815097,california,santaclara,White
37,2020-07-20,-2.008668667124,-9.601382584622968,california,santaclara,White
38,2020-07-21,-2.152327717114245,-9.601485636430839,california,santaclara,White
39,2020-07-22,-1.6812904822617338,-9.601588688238708,california,santaclara,White
40,2020-07-23,-2.24739730572444,-9.60169174004658,california,santaclara,White
41,2020-07-24,-1.7586685133067843,-9.60179479185445,california,santaclara,White
42,2020-07-25,-2.3086159227098597,-9.601897843662321,california,santaclara,White
43,2020-07-26,-2.303589955371782,-9.60200089547019,california,santaclara,White
45,2020-07-28,-2.425729966360836,-9.602206999085933,california,santaclara,White
46,2020-07-29,-2.5716613443069507,-9.602310050893804,california,santaclara,White
47,2020-07-30,-2.649927213625213,-9.602413102701673,california,santaclara,White
49,2020-08-01,-2.84196095658474,-9.602619206317415,california,santaclara,White
50,2020-08-02,-2.9708374122064614,-9.602722258125286,california,santaclara,White
54,2020-08-06,-3.3319131602151693,-9.603134465356769,california,santaclara,White
55,2020-08-07,-3.803172833470001,-9.603237517164638,california,santaclara,White
56,2020-08-08,-3.5314676368709663,-9.60334056897251,california,santaclara,White
60,2020-08-12,-3.8990209564883234,-9.603752776203992,california,santaclara,White
61,2020-08-13,-3.9465078111843948,-9.603855828011863,california,santaclara,White
62,2020-08-14,-4.166960031583746,-9.603958879819734,california,santaclara,White
64,2020-08-16,-4.243264220574957,-9.604164983435474,california,santaclara,White
69,2020-08-21,-4.630729651108527,-9.604680242474828,california,santaclara,White
70,2020-08-22,-4.1703963261560295,-9.604783294282699,california,santaclara,White
71,2020-08-23,-4.275533189425492,-9.604886346090568,california,santaclara,White
72,2020-08-24,-4.3196220995070505,-9.60498939789844,california,santaclara,White
73,2020-08-25,-4.814724914323749,-9.60509244970631,california,santaclara,White
74,2020-08-26,-5.4174957933897945,-9.605195501514181,california,santaclara,White
75,2020-08-27,-4.925798593179163,-9.60529855332205,california,santaclara,White
76,2020-08-28,-5.000407644858899,-9.605401605129922,california,santaclara,White
77,2020-08-29,-5.068236147292714,-9.605504656937793,california,santaclara,White
79,2020-08-31,-4.618932719852163,-9.605710760553533,california,santaclara,White
80,2020-09-01,-4.664716767245202,-9.605813812361404,california,santaclara,White
81,2020-09-02,-5.2174695906352895,-9.605916864169275,california,santaclara,White
82,2020-09-03,-4.844455012202843,-9.606019915977146,california,santaclara,White
83,2020-09-04,-4.91058837732518,-9.606122967785016,california,santaclara,White
84,2020-09-05,-5.453170376846397,-9.606226019592887,california,santaclara,White
85,2020-09-06,-5.680387806508553,-9.606329071400758,california,santaclara,White
86,2020-09-07,-5.032699623684093,-9.606432123208629,california,santaclara,White
88,2020-09-09,-5.518483018283435,-9.60663822682437,california,santaclara,White
90,2020-09-11,-5.63125183445033,-9.606844330440111,california,santaclara,White
91,2020-09-12,-5.264174071603834,-9.60694738224798,california,santaclara,White
92,2020-09-13,-5.3108095226483885,-9.607050434055852,california,santaclara,White
93,2020-09-14,-6.125518585598619,-9.607153485863723,california,santaclara,White
94,2020-09-15,-5.337095655963641,-9.607256537671594,california,santaclara,White
95,2020-09-16,-6.512109602506008,-9.607359589479463,california,santaclara,White
96,2020-09-17,-5.512592222646808,-9.607462641287334,california,santaclara,White
97,2020-09-18,-5.945811020607196,-9.607565693095205,california,santaclara,White
98,2020-09-19,-6.004312432832105,-9.607668744903076,california,santaclara,White
99,2020-09-20,-5.656732584063393,-9.607771796710946,california,santaclara,White
100,2020-09-21,-6.503656925923276,-9.607874848518817,california,santaclara,White
101,2020-09-22,-6.001781231852218,-9.607977900326688,california,santaclara,White
102,2020-09-23,-6.078085420843428,-9.608080952134559,california,santaclara,White
103,2020-09-24,-5.693204881230629,-9.608184003942428,california,santaclara,White
104,2020-09-25,-5.798334074508535,-9.6082870557503,california,santaclara,White
105,2020-09-26,-5.8119028429919215,-9.60839010755817,california,santaclara,White
106,2020-09-27,-6.265463288690058,-9.608493159366041,california,santaclara,White
107,2020-09-28,-6.799561931662321,-9.60859621117391,california,santaclara,White
108,2020-09-29,-5.928905667441733,-9.608699262981782,california,santaclara,White
109,2020-09-30,-5.908564019703988,-9.608802314789653,california,santaclara,White
110,2020-10-01,-6.843658511735437,-9.608905366597524,california,santaclara,White
111,2020-10-02,-6.335846002078424,-9.609008418405393,california,santaclara,White
112,2020-10-03,-6.384176590434457,-9.609111470213264,california,santaclara,White
113,2020-10-04,-6.023879376833878,-9.609214522021135,california,santaclara,White
114,2020-10-05,-6.462183586728702,-9.609317573829006,california,santaclara,White
115,2020-10-06,-7.077671830626618,-9.609420625636876,california,santaclara,White
116,2020-10-07,-6.083239862701856,-9.609523677444747,california,santaclara,White
117,2020-10-08,-6.5283246218425965,-9.609626729252618,california,santaclara,White
118,2020-10-09,-6.431686455105192,-9.609729781060489,california,santaclara,White
119,2020-10-10,-6.510537185059397,-9.609832832868358,california,santaclara,White
120,2020-10-11,-6.5224108162313055,-9.60993588467623,california,santaclara,White
121,2020-10-12,-6.215521932929644,-9.6100389364841,california,santaclara,White
122,2020-10-13,-6.257915705699722,-9.610141988291971,california,santaclara,White
123,2020-10-14,-7.359172004213871,-9.61024504009984,california,santaclara,White
124,2020-10-15,-6.267250465900188,-9.610348091907712,california,santaclara,White
125,2020-10-16,-6.271492144174662,-9.610451143715583,california,santaclara,White
126,2020-10-17,-6.3189713288791785,-9.610554195523454,california,santaclara,White
127,2020-10-18,-6.739480431999255,-9.610657247331323,california,santaclara,White
129,2020-10-20,-6.37410547645579,-9.610863350947065,california,santaclara,White
131,2020-10-22,-6.732722892727998,-9.611069454562806,california,santaclara,White
134,2020-10-25,-6.721723675182276,-9.611378609986419,california,santaclara,White
136,2020-10-27,-6.894681370894,-9.61158471360216,california,santaclara,White
138,2020-10-29,-6.653082119054713,-9.611790817217901,california,santaclara,White
141,2020-11-01,-7.103267630112995,-9.612099972641513,california,santaclara,White
143,2020-11-03,-6.789605867556974,-9.612306076257253,california,santaclara,White
145,2020-11-05,-7.10753998835369,-9.612512179872995,california,santaclara,White
148,2020-11-08,-7.332233887027513,-9.612821335296607,california,santaclara,White
150,2020-11-10,-7.064363841856082,-9.613027438912349,california,santaclara,White
151,2020-11-11,-8.133512241342338,-9.613130490720218,california,santaclara,White
155,2020-11-15,-8.201386763725482,-9.6135426979517,california,santaclara,White
156,2020-11-16,-8.101389002331338,-9.613645749759572,california,santaclara,White
157,2020-11-17,-8.528678654697327,-9.613748801567443,california,santaclara,White
158,2020-11-18,-8.67790442804835,-9.613851853375314,california,santaclara,White
162,2020-11-22,-9.057339048829169,-9.614264060606796,california,santaclara,White
163,2020-11-23,-9.198771790812867,-9.614367112414666,california,santaclara,White
166,2020-11-26,-9.093489189056626,-9.614676267838279,california,santaclara,White
169,2020-11-29,-9.531973648076606,-9.61498542326189,california,santaclara,White
4,2020-06-17,1.3802358495899374,21.25414223118595,california,santaclara,Hispanic
5,2020-06-18,1.543154038260107,21.25403917937808,california,santaclara,Hispanic
