time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,2.3794473985418416,26.88764441741581,california,sonoma,hispanic
2,2020-06-15,0.008779897733884212,26.888177756387933,california,sonoma,hispanic
4,2020-06-17,2.3638679395264797,26.88924443433218,california,sonoma,hispanic
5,2020-06-18,0.007787292862804662,26.889777773304303,california,sonoma,hispanic
6,2020-06-19,1.7469142797317259,26.890311112276425,california,sonoma,hispanic
8,2020-06-21,1.8218887446885308,26.891377790220673,california,sonoma,hispanic
9,2020-06-22,2.3677174714420355,26.891911129192792,california,sonoma,hispanic
10,2020-06-23,1.8874691445534275,26.892444468164918,california,sonoma,hispanic
11,2020-06-24,2.0032274491880777,26.89297780713704,california,sonoma,hispanic
14,2020-06-27,3.1273255422200235,26.894577824053407,california,sonoma,hispanic
17,2020-06-30,3.13350984428525,26.896177840969777,california,sonoma,hispanic
19,2020-07-02,3.296761723132468,26.89724451891402,california,sonoma,hispanic
23,2020-07-06,3.3936736375153864,26.899377874802514,california,sonoma,hispanic
25,2020-07-08,3.4988715838415247,26.90044455274676,california,sonoma,hispanic
26,2020-07-09,3.6045356107110136,26.90097789171888,california,sonoma,hispanic
27,2020-07-10,2.5152690037051317,26.901511230691007,california,sonoma,hispanic
30,2020-07-13,3.93903191629262,26.903111247607374,california,sonoma,hispanic
31,2020-07-14,4.091723436831328,26.903644586579496,california,sonoma,hispanic
32,2020-07-15,4.157187316560388,26.904177925551622,california,sonoma,hispanic
33,2020-07-16,4.333567364137464,26.90471126452374,california,sonoma,hispanic
34,2020-07-17,4.253982710807467,26.905244603495866,california,sonoma,hispanic
35,2020-07-18,2.9875764916251035,26.90577794246799,california,sonoma,hispanic
37,2020-07-20,4.7238432758748585,26.906844620412233,california,sonoma,hispanic
40,2020-07-23,5.0537304849415055,26.908444637328603,california,sonoma,hispanic
42,2020-07-25,4.625584828780427,26.909511315272848,california,sonoma,hispanic
43,2020-07-26,5.1938764374295445,26.91004465424497,california,sonoma,hispanic
45,2020-07-28,5.693726351736367,26.911111332189215,california,sonoma,hispanic
46,2020-07-29,6.1508083084814125,26.91164467116134,california,sonoma,hispanic
47,2020-07-30,5.825409308360968,26.912178010133463,california,sonoma,hispanic
61,2020-08-13,9.2196872865103,26.91964475574318,california,sonoma,hispanic
69,2020-08-21,10.403526670316511,26.923911467520163,california,sonoma,hispanic
75,2020-08-27,12.04689493372035,26.927111501352904,california,sonoma,hispanic
79,2020-08-31,13.060305531743028,26.929244857241393,california,sonoma,hispanic
80,2020-09-01,13.60239687928389,26.92977819621352,california,sonoma,hispanic
82,2020-09-03,13.988413254913844,26.930844874157764,california,sonoma,hispanic
83,2020-09-04,14.231832387770236,26.931378213129886,california,sonoma,hispanic
87,2020-09-08,15.022944569553546,26.93351156901838,california,sonoma,hispanic
90,2020-09-11,15.704016668224074,26.935111585934745,california,sonoma,hispanic
93,2020-09-14,16.101935567441128,26.936711602851112,california,sonoma,hispanic
96,2020-09-17,16.652312946925214,26.938311619767482,california,sonoma,hispanic
97,2020-09-18,15.229361307855664,26.938844958739605,california,sonoma,hispanic
100,2020-09-21,17.482050070298687,26.940444975655975,california,sonoma,hispanic
103,2020-09-24,17.73917997256413,26.94204499257234,california,sonoma,hispanic
109,2020-09-30,18.603925545883868,26.94524502640508,california,sonoma,hispanic
111,2020-10-02,19.187093125300407,26.946311704349327,california,sonoma,hispanic
122,2020-10-13,20.43347465057389,26.952178433042675,california,sonoma,hispanic
129,2020-10-20,22.335612833010753,26.955911805847535,california,sonoma,hispanic
131,2020-10-22,22.97584174007727,26.956978483791783,california,sonoma,hispanic
143,2020-11-03,24.68528397942932,26.963378551457257,california,sonoma,hispanic
148,2020-11-08,27.23247881247816,26.966045246317872,california,sonoma,hispanic
156,2020-11-16,28.521101770985688,26.970311958094854,california,sonoma,hispanic
158,2020-11-18,30.69146110575715,26.9713786360391,california,sonoma,hispanic
1,2020-06-14,-0.8610202938252012,-8.90434183333154,california,sonoma,white
4,2020-06-17,-1.113435331011019,-8.902741816415173,california,sonoma,white
6,2020-06-19,-1.7864524864540607,-8.901675138470928,california,sonoma,white
8,2020-06-21,-1.8245827959707213,-8.90060846052668,california,sonoma,white
9,2020-06-22,-1.4214986325225991,-8.900075121554558,california,sonoma,white
10,2020-06-23,-1.950400507851516,-8.899541782582435,california,sonoma,white
11,2020-06-24,-1.977104034037365,-8.899008443610313,california,sonoma,white
14,2020-06-27,-1.0670462125821694,-8.897408426693943,california,sonoma,white
17,2020-06-30,-1.1067116951488285,-8.895808409777576,california,sonoma,white
19,2020-07-02,-1.1407246271086255,-8.894741731833328,california,sonoma,white
23,2020-07-06,-1.2852544742957182,-8.892608375944839,california,sonoma,white
25,2020-07-08,-1.2281446114401215,-8.89154169800059,california,sonoma,white
26,2020-07-09,-1.3162465808772217,-8.891008359028469,california,sonoma,white
27,2020-07-10,-2.4329146778763624,-8.890475020056346,california,sonoma,white
30,2020-07-13,-1.538450538030545,-8.88887500313998,california,sonoma,white
31,2020-07-14,-1.5240269831199025,-8.888341664167854,california,sonoma,white
32,2020-07-15,-1.6022854498731116,-8.887808325195731,california,sonoma,white
33,2020-07-16,-1.5532646062156934,-8.88727498622361,california,sonoma,white
34,2020-07-17,-1.6896078058859816,-8.886741647251487,california,sonoma,white
35,2020-07-18,-3.0530383894640787,-8.886208308279365,california,sonoma,white
