time,date,y,y_pred,state,county,ethnicity
0,2020-06-13,1.61545345666506,1.7278065167784182,california,None,Hispanic
1,2020-06-14,1.61723515119275,1.727545338308058,california,None,Hispanic
2,2020-06-15,1.62300145577097,1.7272841598376978,california,None,Hispanic
4,2020-06-17,1.63558969664579,1.7267618028969771,california,None,Hispanic
5,2020-06-18,1.63891015751801,1.726500624426617,california,None,Hispanic
6,2020-06-19,1.64439363318175,1.7262394459562567,california,None,Hispanic
8,2020-06-21,1.64767370619755,1.7257170890155362,california,None,Hispanic
9,2020-06-22,1.6468391236904698,1.7254559105451759,california,None,Hispanic
10,2020-06-23,1.6479490103365002,1.7251947320748158,california,None,Hispanic
11,2020-06-24,1.6584576980303505,1.7249335536044554,california,None,Hispanic
12,2020-06-25,1.6626320930111298,1.7246723751340953,california,None,Hispanic
13,2020-06-26,1.66516060465074,1.724411196663735,california,None,Hispanic
14,2020-06-27,1.66430046184724,1.7241500181933747,california,None,Hispanic
16,2020-06-29,1.66275078105044,1.7236276612526544,california,None,Hispanic
18,2020-07-01,1.66277194636871,1.7231053043119338,california,None,Hispanic
19,2020-07-02,1.6620224849981695,1.7228441258415734,california,None,Hispanic
21,2020-07-04,1.6578861392027802,1.7223217689008532,california,None,Hispanic
22,2020-07-05,1.65479710589298,1.7220605904304929,california,None,Hispanic
23,2020-07-06,1.65101422734656,1.7217994119601325,california,None,Hispanic
25,2020-07-08,1.6454397735538602,1.721277055019412,california,None,Hispanic
26,2020-07-09,1.6464190149052802,1.721015876549052,california,None,Hispanic
27,2020-07-10,1.6462426401035202,1.7207546980786916,california,None,Hispanic
29,2020-07-12,1.64569444283632,1.7202323411379712,california,None,Hispanic
30,2020-07-13,1.6480992035401398,1.7199711626676109,california,None,Hispanic
31,2020-07-14,1.64939852719614,1.7197099841972507,california,None,Hispanic
32,2020-07-15,1.64926968531115,1.7194488057268904,california,None,Hispanic
33,2020-07-16,1.6516286805718,1.71918762725653,california,None,Hispanic
34,2020-07-17,1.66129393775108,1.71892644878617,california,None,Hispanic
36,2020-07-19,1.66411012389005,1.7184040918454495,california,None,Hispanic
37,2020-07-20,1.6647737995463798,1.7181429133750892,california,None,Hispanic
38,2020-07-21,1.66667608929083,1.7178817349047288,california,None,Hispanic
39,2020-07-22,1.6650675619386202,1.7176205564343687,california,None,Hispanic
40,2020-07-23,1.6654012514912298,1.7173593779640086,california,None,Hispanic
41,2020-07-24,1.66692052558121,1.7170981994936483,california,None,Hispanic
42,2020-07-25,1.66795826009516,1.716837021023288,california,None,Hispanic
43,2020-07-26,1.67383951638607,1.7165758425529276,california,None,Hispanic
45,2020-07-28,1.67508174179086,1.7160534856122074,california,None,Hispanic
46,2020-07-29,1.67489846988365,1.715792307141847,california,None,Hispanic
