time,y,y_pred,state,county
1,1.3004484304932735,1.1707244234721115,california,alameda
3,1.3408071748878925,1.1696979922162238,california,alameda
5,1.3228699551569505,1.1686715609603362,california,alameda
9,1.3497757847533631,1.1666186984485607,california,alameda
11,1.3632286995515694,1.165592267192673,california,alameda
12,1.4080717488789238,1.1650790515647291,california,alameda
15,1.3991031390134527,1.1635394046808976,california,alameda
62,1.3632286995515694,1.1394182701675368,california,alameda
69,1.3766816143497758,1.1358257607719298,california,alameda
73,1.3497757847533631,1.1337728982601545,california,alameda
74,1.3497757847533631,1.1332596826322106,california,alameda
75,1.3632286995515694,1.1327464670042668,california,alameda
78,1.3408071748878925,1.1312068201204353,california,alameda
1,0.9771241830065359,0.9262172642434339,california,alameda
3,0.9477124183006536,0.9251908329875461,california,alameda
4,0.9411764705882352,0.9246776173596023,california,alameda
62,0.8169934640522876,0.8949111109388591,california,alameda
64,0.8300653594771242,0.8938846796829715,california,alameda
69,0.823529411764706,0.8913186015432522,california,alameda
73,0.8104575163398693,0.8892657390314769,california,alameda
74,0.8267973856209151,0.888752523403533,california,alameda
78,0.8137254901960784,0.8866996608917576,california,alameda
1,0.5510835913312693,0.6730988702320042,california,alameda
4,0.5851393188854489,0.6715592233481726,california,alameda
11,0.5913312693498451,0.6679667139525658,california,alameda
12,0.6130030959752322,0.6674534983246219,california,alameda
13,0.6346749226006191,0.666940282696678,california,alameda
15,0.6687306501547987,0.6659138514407903,california,alameda
62,0.6965944272445821,0.6417927169274296,california,alameda
69,0.7089783281733746,0.6382002075318226,california,alameda
73,0.7120743034055728,0.6361473450200472,california,alameda
76,0.7027863777089783,0.6346076981362156,california,alameda
78,0.6934984520123839,0.633581266880328,california,alameda
1,2.1272727272727274,1.5593230792164865,california,alameda
4,2.1272727272727274,1.557783432332655,california,alameda
12,2.0272727272727282,1.5536777073091042,california,alameda
16,2.018181818181818,1.5516248447973289,california,alameda
62,2.0090909090909093,1.5280169259119116,california,alameda
69,1.9181818181818184,1.5244244165163048,california,alameda
71,1.9545454545454544,1.5233979852604171,california,alameda
73,2.0090909090909093,1.5223715540045295,california,alameda
76,2.0272727272727282,1.520831907120698,california,alameda
78,2.0727272727272728,1.51980547586481,california,alameda
1,1.148235294117647,0.8637316007993667,california,imperial
2,1.151764705882353,0.8632183851714229,california,imperial
3,1.152941176470588,0.8627051695434791,california,imperial
4,1.1541176470588237,0.8621919539155352,california,imperial
5,1.156470588235294,0.8616787382875913,california,imperial
6,1.156470588235294,0.8611655226596475,california,imperial
10,1.1576470588235297,0.8591126601478721,california,imperial
11,1.1576470588235297,0.8585994445199283,california,imperial
12,1.1588235294117648,0.8580862288919844,california,imperial
14,1.16,0.8570597976360967,california,imperial
17,1.1623529411764706,0.8555201507522652,california,imperial
19,1.163529411764706,0.8544937194963775,california,imperial
20,1.1647058823529413,0.8539805038684336,california,imperial
22,1.1658823529411766,0.852954072612546,california,imperial
23,1.1658823529411766,0.8524408569846021,california,imperial
25,1.1670588235294117,0.8514144257287144,california,imperial
26,1.1670588235294117,0.8509012101007706,california,imperial
1,0.8603582976007105,0.9945760992273402,california,losangeles
2,0.8631415598069868,0.9940628835993965,california,losangeles
3,0.8673210998601976,0.9935496679714526,california,losangeles
4,0.8673884417119461,0.9930364523435087,california,losangeles
5,0.8674178846875886,0.992523236715565,california,losangeles
6,0.8689813169016866,0.992010021087621,california,losangeles
7,0.8748453192897638,0.9914968054596771,california,losangeles
8,0.8774270939155489,0.9909835898317334,california,losangeles
9,0.8776582850656924,0.9904703742037895,california,losangeles
10,0.8834470806731133,0.9899571585758458,california,losangeles
11,0.8819338912402475,0.9894439429479018,california,losangeles
12,0.8839962961587093,0.9889307273199579,california,losangeles
13,0.8852521772418414,0.9884175116920142,california,losangeles
14,0.8870780261596252,0.9879042960640703,california,losangeles
15,0.8930916732335172,0.9873910804361263,california,losangeles
16,0.8935958296183845,0.9868778648081826,california,losangeles
17,0.8973498048346955,0.9863646491802387,california,losangeles
19,0.9014182140797128,0.9853382179243511,california,losangeles
22,0.90673392517747,0.9837985710405195,california,losangeles
23,0.9177528717990951,0.9832853554125756,california,losangeles
25,0.9269960070686504,0.9822589241566879,california,losangeles
26,0.9367062003790309,0.981745708528744,california,losangeles
27,0.9455024074907116,0.9812324929008003,california,losangeles
28,0.9491703134789238,0.9807192772728563,california,losangeles
29,0.9492174515559676,0.9802060616449126,california,losangeles
30,0.9497125178764264,0.9796928460169687,california,losangeles
31,0.9523121933778204,0.9791796303890248,california,losangeles
32,0.9556444843716679,0.9786664147610811,california,losangeles
33,0.9632453804567096,0.9781531991331371,california,losangeles
34,0.969261508739894,0.9776399835051932,california,losangeles
35,0.9713024282560708,0.9771267678772495,california,losangeles
36,0.9711977634733988,0.9766135522493056,california,losangeles
37,0.9707769035362313,0.9761003366213619,california,losangeles
38,0.9754769385460248,0.9755871209934179,california,losangeles
39,0.9789362472386608,0.975073905365474,california,losangeles
40,0.98085815185894,0.9745606897375303,california,losangeles
41,0.9836495358887578,0.9740474741095864,california,losangeles
42,0.9882662505545612,0.9735342584816424,california,losangeles
45,0.9904612963213586,0.9719946115978111,california,losangeles
46,0.9979129643360128,0.9714813959698672,california,losangeles
47,0.9967171540370448,0.9709681803419232,california,losangeles
49,1.0017701734314612,0.9699417490860356,california,losangeles
50,1.002620496110776,0.9694285334580917,california,losangeles
54,1.014968171650764,0.9673756709463164,california,losangeles
55,1.0166818450440354,0.9668624553183724,california,losangeles
56,1.0188095434862392,0.9663492396904287,california,losangeles
60,1.0255747312175467,0.9642963771786532,california,losangeles
1,1.1110967558558675,1.102551954377956,california,losangeles
2,1.1099569838236951,1.1020387387500121,california,losangeles
3,1.1053795136330138,1.1015255231220684,california,losangeles
4,1.1088376452472706,1.1010123074941245,california,losangeles
5,1.1122579111934596,1.1004990918661806,california,losangeles
6,1.114148459601222,1.0999858762382368,california,losangeles
7,1.1132545615304237,1.099472660610293,california,losangeles
8,1.111485168619781,1.098959444982349,california,losangeles
9,1.108535591294212,1.0984462293544053,california,losangeles
10,1.0918751872349148,1.0979330137264613,california,losangeles
11,1.086152978670606,1.0974197980985174,california,losangeles
12,1.0926777779058758,1.0969065824705737,california,losangeles
14,1.0834798436042412,1.0958801512146858,california,losangeles
15,1.0572455179938671,1.0953669355867421,california,losangeles
16,1.0569427929713304,1.0948537199587984,california,losangeles
17,1.0568152250449176,1.0943405043308545,california,losangeles
19,1.0535796421923125,1.0933140730749669,california,losangeles
22,1.0500303673555105,1.0917744261911353,california,losangeles
23,1.0467274953588497,1.0912612105631914,california,losangeles
25,1.0395495664748111,1.0902347793073037,california,losangeles
26,1.030108172603846,1.0897215636793598,california,losangeles
27,1.0193476618159012,1.0892083480514159,california,losangeles
28,1.0155828493446315,1.0886951324234722,california,losangeles
29,1.0177884133397843,1.0881819167955284,california,losangeles
30,1.0184505855819137,1.0876687011675843,california,losangeles
31,1.021071196509793,1.0871554855396406,california,losangeles
32,1.016994259209976,1.0866422699116969,california,losangeles
33,1.0037646391038322,1.086129054283753,california,losangeles
34,0.9968666970551879,1.085615838655809,california,losangeles
35,0.9946461647763314,1.0851026230278653,california,losangeles
36,0.9968162599453928,1.0845894073999214,california,losangeles
37,0.9997636922182028,1.0840761917719774,california,losangeles
38,0.9950308339795544,1.0835629761440337,california,losangeles
39,0.9905280752801336,1.0830497605160898,california,losangeles
40,0.98599805129519,1.0825365448881459,california,losangeles
41,0.9773142021916054,1.0820233292602022,california,losangeles
42,0.9723349807954346,1.0815101136322582,california,losangeles
43,0.9720799666173514,1.0809968980043143,california,losangeles
45,0.9688213140689096,1.0799704667484267,california,losangeles
46,0.9578544061302682,1.0794572511204827,california,losangeles
47,0.9596650949887376,1.078944035492539,california,losangeles
49,0.9512302401127698,1.0779176042366514,california,losangeles
50,0.9479705610773302,1.0774043886087075,california,losangeles
54,0.9301854034394048,1.0753515260969322,california,losangeles
55,0.9306782662793441,1.0748383104689883,california,losangeles
