time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,0.9885239954579441,-10.542736067688747,california,sacramento,White
2,2020-06-15,1.0002921382610148,-10.403033096427851,california,sacramento,White
3,2020-06-16,1.0017631561113989,-10.263330125166952,california,sacramento,White
4,2020-06-17,1.0120602810640855,-10.123627153906057,california,sacramento,White
5,2020-06-18,1.0238284238671564,-9.98392418264516,california,sacramento,White
6,2020-06-19,1.0297124952686918,-9.844221211384262,california,sacramento,White
7,2020-06-20,1.0532487808748332,-9.704518240123367,california,sacramento,White
8,2020-06-21,1.0767850664809748,-9.56481526886247,california,sacramento,White
9,2020-06-22,1.0914952449848132,-9.425112297601572,california,sacramento,White
10,2020-06-23,1.122386619842874,-9.285409326340675,california,sacramento,White
11,2020-06-24,1.1444518875986318,-9.145706355079778,california,sacramento,White
12,2020-06-25,1.162104101803238,-9.006003383818882,california,sacramento,White
13,2020-06-26,1.2018215837636017,-8.866300412557985,california,sacramento,White
15,2020-06-28,1.2312419407712791,-8.58689447003619,california,sacramento,White
16,2020-06-29,1.2827275655347132,-8.447191498775293,california,sacramento,White
17,2020-06-30,1.3150899582431577,-8.307488527514396,california,sacramento,White
19,2020-07-02,1.3724596544081278,-8.028082584992603,california,sacramento,White
20,2020-07-03,1.4974961716907549,-7.888379613731706,california,sacramento,White
22,2020-07-05,1.54162670720227,-7.608973671209911,california,sacramento,White
23,2020-07-06,1.635771849626836,-7.469270699949016,california,sacramento,White
25,2020-07-08,1.6607791530833609,-7.189864757427221,california,sacramento,White
26,2020-07-09,1.7196198670987153,-7.050161786166324,california,sacramento,White
27,2020-07-10,1.7946417774682917,-6.910458814905429,california,sacramento,White
28,2020-07-11,1.8358302772790391,-6.770755843644531,california,sacramento,White
30,2020-07-13,1.8902579377432407,-6.491349901122737,california,sacramento,White
31,2020-07-14,1.944685598207444,-6.35164692986184,california,sacramento,White
32,2020-07-15,2.0094103836243327,-6.211943958600944,california,sacramento,White
33,2020-07-16,2.063838044088535,-6.072240987340047,california,sacramento,White
34,2020-07-17,2.1653382757650204,-5.93253801607915,california,sacramento,White
36,2020-07-19,2.216823900528455,-5.653132073557355,california,sacramento,White
37,2020-07-20,2.3006719180003343,-5.51342910229646,california,sacramento,White
38,2020-07-21,2.408056221078355,-5.373726131035562,california,sacramento,White
39,2020-07-22,2.481607113597548,-5.234023159774665,california,sacramento,White
40,2020-07-23,2.5492739347152042,-5.094320188513769,california,sacramento,White
41,2020-07-24,2.6287088986359315,-4.9546172172528715,california,sacramento,White
42,2020-07-25,2.6434190771397703,-4.814914245991975,california,sacramento,White
43,2020-07-26,2.7463903266666394,-4.675211274731078,california,sacramento,White
45,2020-07-28,2.8846660046027206,-4.395805332209284,california,sacramento,White
46,2020-07-29,2.9067312723584786,-4.256102360948387,california,sacramento,White
47,2020-07-30,2.9361516293661563,-4.1163993896874915,california,sacramento,White
49,2020-08-01,3.0302967717907214,-3.836993447165697,california,sacramento,White
50,2020-08-02,3.0405938967434083,-3.6972904759048006,california,sacramento,White
54,2020-08-06,3.333326448969794,-3.1384785908612125,california,sacramento,White
60,2020-08-12,3.598109662038886,-2.3002607632958316,california,sacramento,White
61,2020-08-13,3.845240660903372,-2.1605577920349344,california,sacramento,White
62,2020-08-14,3.96292208893408,-2.020854820774037,california,sacramento,White
69,2020-08-21,4.411582533301154,-1.0429340219477599,california,sacramento,White
72,2020-08-24,4.766097835243659,-0.623825108165069,california,sacramento,White
73,2020-08-25,4.811699388605559,-0.4841221369041717,california,sacramento,White
74,2020-08-26,4.8470038170147705,-0.3444191656432749,california,sacramento,White
75,2020-08-27,4.888192316825519,-0.2047161943823781,california,sacramento,White
76,2020-08-28,4.970569316447014,-0.06501322312148128,california,sacramento,White
