time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,3.645694026325823,10.79528698985845,california,sonoma,hispanic
2,2020-06-15,3.727203445613597,11.01583916867455,california,sonoma,hispanic
4,2020-06-17,3.9050421786051,11.456943526306748,california,sonoma,hispanic
5,2020-06-18,3.912452125813079,11.67749570512284,california,sonoma,hispanic
6,2020-06-19,3.9643217562689337,11.89804788393894,california,sonoma,hispanic
8,2020-06-21,4.090290858804583,12.339152241571131,california,sonoma,hispanic
9,2020-06-22,4.245899750172148,12.55970442038723,california,sonoma,hispanic
10,2020-06-23,4.297769380628003,12.780256599203323,california,sonoma,hispanic
11,2020-06-24,4.475608113619507,13.000808778019422,california,sonoma,hispanic
14,2020-06-27,4.7571861075227195,13.662465314467713,california,sonoma,hispanic
17,2020-06-30,4.860925368434431,14.324121850916004,california,sonoma,hispanic
19,2020-07-02,5.112863573505726,14.765226208548196,california,sonoma,hispanic
23,2020-07-06,5.431491303448838,15.647434923812586,california,sonoma,hispanic
25,2020-07-08,5.527820617152568,16.088539281444778,california,sonoma,hispanic
26,2020-07-09,5.801988663847804,16.309091460260877,california,sonoma,hispanic
27,2020-07-10,5.8390383998877,16.52964363907697,california,sonoma,hispanic
30,2020-07-13,6.5355734374377565,17.191300175525264,california,sonoma,hispanic
31,2020-07-14,6.70600222322128,17.41185235434136,california,sonoma,hispanic
32,2020-07-15,6.8690210617968255,17.632404533157455,california,sonoma,hispanic
33,2020-07-16,7.0542697419963085,17.85295671197355,california,sonoma,hispanic
34,2020-07-17,7.1431891084920585,18.073508890789647,california,sonoma,hispanic
35,2020-07-18,7.2691582110277055,18.294061069605746,california,sonoma,hispanic
37,2020-07-20,7.639655571426674,18.735165427237938,california,sonoma,hispanic
40,2020-07-23,8.306550820144814,19.39682196368623,california,sonoma,hispanic
42,2020-07-25,8.499209447552275,19.837926321318424,california,sonoma,hispanic
43,2020-07-26,8.76596754703953,20.05847850013452,california,sonoma,hispanic
45,2020-07-28,9.42545284854969,20.499582857766715,california,sonoma,hispanic
46,2020-07-29,10.121987886099744,20.72013503658281,california,sonoma,hispanic
47,2020-07-30,10.603634454618401,20.940687215398906,california,sonoma,hispanic
61,2020-08-13,14.760614838294794,24.02841771882426,california,sonoma,hispanic
69,2020-08-21,16.405623118466206,25.792835149353035,california,sonoma,hispanic
75,2020-08-27,19.680819784393066,27.116148222249617,california,sonoma,hispanic
79,2020-08-31,21.155399278780944,27.998356937514004,california,sonoma,hispanic
80,2020-09-01,22.140922257442192,28.2189091163301,california,sonoma,hispanic
82,2020-09-03,22.792997611744376,28.660013473962294,california,sonoma,hispanic
83,2020-09-04,23.17831486655929,28.88056565277839,california,sonoma,hispanic
87,2020-09-08,24.430595944707804,29.762774368042777,california,sonoma,hispanic
90,2020-09-11,25.43093881778501,30.424430904491068,california,sonoma,hispanic
93,2020-09-14,26.112653960919108,31.08608744093936,california,sonoma,hispanic
96,2020-09-17,26.87587852334098,31.747743977387646,california,sonoma,hispanic
97,2020-09-18,27.616873244138908,31.968296156203746,california,sonoma,hispanic
100,2020-09-21,28.202259073569284,32.62995269265203,california,sonoma,hispanic
103,2020-09-24,28.74318521975177,33.291609229100324,california,sonoma,hispanic
109,2020-09-30,29.89172703698856,34.614922301996906,california,sonoma,hispanic
111,2020-10-02,30.75869086032214,35.0560266596291,california,sonoma,hispanic
122,2020-10-13,33.707849849097904,37.48210062660616,california,sonoma,hispanic
129,2020-10-20,35.893784275451814,39.02596587831884,california,sonoma,hispanic
131,2020-10-22,37.10160567035243,39.467070235951034,california,sonoma,hispanic
143,2020-11-03,38.287197223629114,42.1136963817442,california,sonoma,hispanic
148,2020-11-08,40.93254837687774,43.21645727582467,california,sonoma,hispanic
156,2020-11-16,44.2077450428046,44.980874706353454,california,sonoma,hispanic
158,2020-11-18,45.52671564582492,45.421979063985646,california,sonoma,hispanic
1,2020-06-14,0.4052263339587798,-28.314390590449538,california,sonoma,white
4,2020-06-17,0.42773890806760095,-27.652734054001247,california,sonoma,white
6,2020-06-19,0.4309549900831468,-27.211629696369055,california,sonoma,white
8,2020-06-21,0.4438193181453303,-26.770525338736864,california,sonoma,white
9,2020-06-22,0.4566836462075138,-26.549973159920764,california,sonoma,white
10,2020-06-23,0.4598997282230596,-26.329420981104672,california,sonoma,white
11,2020-06-24,0.4952766303940642,-26.108868802288573,california,sonoma,white
