time,y,y_pred
1,2.1708164823057827,3.880897826411633
2,2.3127957721943644,3.88970887298819
3,2.08613991450642,3.8985199195647473
4,2.4616967126442084,3.9073309661413043
5,2.2393366801895254,3.916142012717861
6,2.3575634521163047,3.9249530592944186
9,2.0798111723697,3.95138619902409
10,2.1392717294801984,3.960197245600647
11,2.4073689209122424,3.969008292177204
12,2.845701428654328,3.9778193387537613
13,3.0001561436721165,3.986630385330318
16,3.085086318519208,4.01306352505999
17,2.3109485412529516,4.0218745716365465
19,3.361677925326988,4.039496664789661
20,3.465382352789774,4.048307711366218
23,3.721334821549264,4.074740851095889
25,4.107539095902096,4.092362944249004
26,3.824704682233133,4.1011739908255604
27,3.871267600292751,4.109985037402118
30,4.040947814972316,4.136418177131789
31,4.064855126118096,4.145229223708347
32,3.5637147068511803,4.154040270284903
33,3.5625149036338013,4.1628513168614605
34,4.223992067615498,4.171662363438018
37,4.382411745350968,4.198095503167689
38,4.451761901058023,4.206906549744246
39,4.5614265227095325,4.215717596320803
40,4.138765088176903,4.2245286428973605
41,4.774596444742701,4.233339689473917
45,5.065783408316326,4.268583875780146
46,5.801655916123841,4.277394922356702
47,5.300696241388796,4.28620596893326
49,5.376577919472322,4.303828062086374
54,5.820985488229848,4.34788329496916
55,5.239781883449719,4.356694341545716
60,6.369616076250802,4.400749574428502
61,6.507523499492117,4.409560621005059
62,4.66649170334242,4.418371667581616
69,7.257655087352967,4.480048993617516
72,7.445062498290984,4.506482133347187
73,6.6213137906784825,4.515293179923744
74,7.723880824991536,4.5241042265003015
1,-0.03984091560903247,-0.780036966242332
2,-0.037603017565369434,-0.7712259196657748
3,-0.3141368400641724,-0.7624148730892176
4,-0.053593738318187256,-0.7536038265126607
5,-0.3723481012431318,-0.7447927799361035
6,-0.4114493924282308,-0.7359817333595465
9,-0.8270747175987077,-0.7095485936298752
10,-0.8404369387163458,-0.700737547053318
11,-0.6594113377349413,-0.6919265004767611
12,-0.34586632843731513,-0.6831154539002039
13,-0.31845886348900754,-0.6743044073236467
16,-0.2894812438356831,-0.6478712675939754
17,-1.1452905467700778,-0.6390602210174184
19,-0.3243487803989282,-0.6214381278643041
20,-0.31490207377623713,-0.6126270812877471
23,-0.25535151024295244,-0.5861939415580758
25,0.08667242497946015,-0.5685718484049617
26,-0.2766124632973286,-0.5597608018284045
27,-0.2956600789586901,-0.5509497552518473
30,-0.27271271763608285,-0.5245166155221762
