time,y,y_pred
4,-0.6623902451820823,-1.687729008539097
5,-0.5419486470921825,-1.6898441855436004
6,-0.5421239687967095,-1.691959362548104
7,-0.7040375394066867,-1.6940745395526073
8,-0.7483445109434562,-1.696189716557111
9,-0.5718759913482779,-1.6983048935616145
10,-0.768744238414995,-1.7004200705661179
11,-0.8483565298175588,-1.7025352475706215
12,-1.1288119290087464,-1.7046504245751248
13,-0.7464148896905078,-1.7067656015796284
15,-0.9127706651506052,-1.7109959555886354
23,-1.3691669950686636,-1.7279173716246634
25,-1.3943014910655844,-1.7321477256336701
26,-1.435393509683924,-1.7342629026381737
27,-1.541016905606044,-1.7363780796426773
29,-1.5709442498621398,-1.7406084336516843
30,-1.6110424179871086,-1.7427236106561876
31,-1.7227450763370358,-1.7448387876606912
32,-1.767928656396441,-1.7469539646651946
33,-1.8174963615721744,-1.7490691416696982
34,-1.87893002792826,-1.7511843186742018
35,-1.900674249302223,-1.7532994956787051
36,-1.4778278571983865,-1.7554146726832087
37,-2.015182054924584,-1.757529849687712
38,-2.110283983568777,-1.7596450266922157
39,-1.698952909236238,-1.761760203696719
40,-2.2542523305705955,-1.7638753807012226
41,-1.7665819974877153,-1.7659905577057262
42,-2.348360408721418,-1.7681057347102296
43,-2.326674267081247,-1.770220911714733
45,-2.4611149972985085,-1.7744512657237401
46,-2.507993714669392,-1.7765664427282435
47,-2.6719530659999022,-1.778681619732747
49,-2.824747742968168,-1.782911973741754
50,-2.9286760015788103,-1.7850271507462574
54,-3.28044278606812,-1.7934878587642715
55,-3.8055222994711166,-1.795603035768775
56,-3.4888844306399256,-1.7977182127732785
4,1.378839860906798,3.4973690074424058
5,1.5581366264512444,3.495253830437902
6,1.5902231580587824,3.4931386534333986
7,1.4528551757190191,3.491023476428895
8,1.4987295091529254,3.4889082994243914
9,1.696937442206376,3.486793122419888
10,1.6224842586495491,3.4846779454153847
11,1.8337575298967583,3.4825627684108813
12,1.6018101800108502,3.480447591406378
13,2.0576134454653694,3.478332414401874
15,2.0276958819315825,3.4741020603928674
23,2.673925348187312,3.457180644356839
25,2.6774861365991054,3.4529502903478324
26,2.6932015595630454,3.450835113343329
27,2.809112268603476,3.4487199363388252
29,2.9925959313133217,3.4444895823298185
30,3.1553311133306683,3.4423744053253147
31,3.1719435689104456,3.4402592283208113
32,3.305630877958289,3.438144051316308
33,3.335870237406981,3.4360288743118046
34,3.3391365719554216,3.433913697307301
35,3.4692630925914716,3.4317985203027974
36,3.991200431375118,3.429683343298294
37,3.6693592108810966,3.4275681662937902
38,3.702423224083197,3.425452989289287
39,4.367672306576777,3.4233378122847835
40,4.03782614766911,3.42122263528028
41,4.707961060959576,3.4191074582757763
42,4.236436325616189,3.416992281271273
43,4.404499019225452,3.4148771042667696
45,4.620002435589887,3.4106467502577624
46,4.967399095770495,3.408531573253259
47,5.014545364662316,3.4064163962487557
49,5.509564362648813,3.4021860422397485
50,5.7397389424296765,3.400070865235245
54,6.612554858002922,3.3916101572172312
55,6.304046087514465,3.389494980212728
56,6.957595887276702,3.387379803208224
4,-0.7663934390002011,-2.0926263112349135
5,-0.6426919614651495,-2.0947414882394173
6,-0.6426325718496256,-2.0968566652439207
7,-0.8188374539471477,-2.0989718422484245
8,-0.8700553699076388,-2.101087019252928
9,-0.6976030217888872,-2.103202196257431
10,-0.8920719975839728,-2.1053173732619346
11,-0.9734055053335766,-2.107432550266438
13,-0.902237127168757,-2.111662904275445
15,-1.0820757640140022,-2.1158932582844523
23,-1.6251066500664113,-2.13281467432048
25,-1.6592123342963891,-2.137045028329487
26,-1.7130309222686009,-2.1391602053339906
27,-1.854773782443001,-2.141275382338494
29,-1.921655120089336,-2.145505736347501
30,-1.98055627285394,-2.1476209133520046
31,-2.109236383354217,-2.149736090356508
32,-2.1827678750686608,-2.1518512673610113
33,-2.2405765554817383,-2.153966444365515
34,-2.2957251742675706,-2.1560816213700185
35,-2.3245107352430616,-2.158196798374522
36,-1.9311075742878347,-2.1603119753790256
37,-2.5067718752534547,-2.162427152383529
38,-2.632673144895441,-2.1645423293880324
39,-2.2247584242214207,-2.1666575063925357
40,-2.7993302528355146,-2.1687726833970395
41,-2.341468257399101,-2.170887860401543
42,-2.9555846727287083,-2.1730030374060463
43,-2.952805831870417,-2.17511821441055
45,-3.0945486920448184,-2.179348568419557
46,-3.12418916690974,-2.18146374542406
47,-3.2896350232672398,-2.1835789224285636
49,-3.4348928589583148,-2.1878092764375707
50,-3.5819558423872038,-2.1899244534420745
54,-3.9395904098777854,-2.198385161460088
55,-4.461436122871193,-2.200500338464592
56,-4.145554546071277,-2.202615515469095
4,-0.4845219087133359,-0.7817742531163873
5,-0.3118942976771939,-0.7838894301208907
6,-0.33568046050589073,-0.7860046071253943
7,-0.4960199750409233,-0.7881197841298978
8,-0.498311757500324,-0.7902349611344013
9,-0.3642759111601099,-0.7923501381389048
11,-0.5582458870816049,-0.7965804921479117
12,-0.8422126421322844,-0.7986956691524152
13,-0.3706998127248709,-0.8008108461569187
